3D Saamri
Does Humor Belong in Music? (video)
Savira Sullu
Making Overtures: The Story of a Community Orchestra
Meendum Oru Kaathal Kathai
Parking (1985 film)
The Color Purple (film)
The City and the Dogs
The Last Polka
Into the Night (film)
The Supergrass
Subway (film)
Parameshi Prema Prasanga
Ithu Nalla Thamasha
Red Sonja (film)
Andha Oru Nimidam
The Lost Tribe (1985 film)
Katha Ithuvare
Rebel (1985 film)
Soldiers in Hiding
Naavadakku Paniyedukku
Emīla nedarbi
We Were So Beloved
From One Friday to the Next
Mera Saathi
Osomatsu-kun
Pacha Velicham
Anticasanova
Gaon Tasa Changla Pan Veshila Tangla
American Ninja
Aagaya Thamaraigal
The Satin Slipper (film)
Onathumbikkoru Oonjaal
Police Academy 2: Their First Assignment
Porky's Revenge!
Morons from Outer Space
King Solomon's Mines (1985 film)
Unfinished Business (1985 Australian film)
Healers of the Dead Sea
Jeevante Jeevan
The Red Countess
The Trap (1985 film)
Guilty Conscience (film)
Ghulami
Gulag (film)
Deilig er fjorden!
Lavaa
Mickey's Revue
Maujaan Dubai Diyaan
Desperately Seeking Susan
The Holcroft Covenant (film)
Police (1985 film)
Movers & Shakers
Legend of the Gold of Babylon
Navagraha Nayagi
Déjà Vu (1985 film)
The Party Animal
The Wash (1985 film)
The Quiet Earth (film)
El caso Matías
The Practice of Love
The Innocent (1985 film)
Uyirthezhunnelppu
Flesh and Bullets
Perfect (film)
Three Men and a Cradle
Nirakkoottu
Kaanathaya Penkutty
Mamatheya Madilu
Ente Ammu Ninte Thulasi Avarude Chakki
Tampopo
Let Me Tell Ya 'bout Black Chicks
Détective (1985 film)
La Cruz invertida
O-Bi, O-Ba: The End of Civilization
A Street to Die
Pithamaha
Terry on the Fence
Blood Circus (film)
Kattula Kondaiah
Angadikkappurathu
The Assam Garden
Brazil: Cinema, Sex and the Generals
Tokyo-Ga
Three for Happiness
Reel Horror
Beasts of Prey
Beyond the Walls
Archana Aaradhana
Private Resistance
Damul
Ayanum
Faasle
Shocking Asia II: The Last Taboos
Onningu Vannengil
Fright Night
Japanil Kalyanaraman
Fran (film)
Rangam
Makan Ente Makan
The Mutilator
When Father Was Away on Business
An Impudent Girl
Man Hunt (1985 film)
Mr. Vampire II
Displaced Persons (film)
Avaete, Seed of Revenge
Formula for a Murder
Doea Tanda Mata
Thozhil Allengil Jail
After Hours (film)
Sesame Street Presents Follow That Bird
Khuddar (1985 film)
Yemaatrathe Yemaaraathe
Category:1985 television films
Daengbyeot
Chidambara Rahasiyam (film)
Les Rois du gag
Mud, Bloody Mud
The Trip to Bountiful
No Surrender (film)
Too Scared to Scream
Doraemon: Nobita's Little Star Wars
La Nuit porte-jarretelles
The Tango of Our Childhood
Huey Long (film)
Első kétszáz évem
Hero (1985 film)
Aakhir Kyon?
Dim Sum: A Little Bit of Heart
Uthami
Not Quite Paradise
Pale Rider
Spies Like Us
A Room with a View (1985 film)
The Dream (1985 film)
That's Dancing!
The Long Way Home (1985 film)
Babayi-Abbayi
Manya Mahajanangale
Kaakki Sattai
Thinkalaazhcha Nalla Divasam
Por una tierra nuestra
Prizzi's Honor
Vampires in Havana
One Night with Blue Note
Def-Con 4
Thammil Thammil
Do not go, girls, get married
Naane Raja Naane Mandhiri
Gotcha! (1985 film)
Uyarum Njan Nadake
Kutravaaligal
The Official Story
Vellarikka Pattanam
Yudh (film)
Kanashii kibun de joke
Legend (1985 film)
Gaayathridevi Ente Amma
Cheekh
Ade Kannu
Strawberry Shortcake Meets the Berrykins
Pighalta Aasman
Sarfarosh (1985 film)
Transylvania 6-5000 (1985 film)
Engal Kural
Saagar (1985 film)
Poove Poochooda Vaa
Crossover Dreams
Latino (film)
Kali Basti
Teen Wolf
No End (film)
National Lampoon's European Vacation
Madakkayathra
Chinna Veedu
Hurlevent
School Spirit
Live & Smokin'
Marie (film)
The Blue Man (film)
An Early Frost
Une Femme ou Deux
Cavegirl (film)
The Care Bears Movie
Get Out of My Room
Ore Rektham
Weird Science (film)
Nyayam Meere Cheppali
Sällskapsresan 2 – Snowroller
Torchlight (film)
Kuća na pijesku
Hay unos tipos abajo
Manicheppu Thurannappol
Private Sessions (film)
Bombay: Our City
The Repenter
Deadly Intruder
Alamo Bay
Bridge Across Time
Why Me? (1985 film)
Idaya Kovil
The Mothers of Plaza de Mayo
Tex e il signore degli abissi
Le Guerbag
Affectionately Yours (1985 film)
Tranches de vie
Haqeeqat (1985 film)
Bandham
Water (1985 film)
Bootleg (1985 film)
Kamla (film)
Remo Williams: The Adventure Begins
In the Name of the People (1985 film)
Chattamtho Poratam
Blackout (1985 film)
Pyar Jhukta Nahin
Hello Yaar Pesurathu
Robbery Under Arms (1985 film)
Aram + Aram = Kinnaram
Gavilán o Paloma (film)
Death in a French Garden
Head Office
Battle of Moscow (film)
The Two Lives of Mattia Pascal
The Atlanta Child Murders (miniseries)
Come and See
Seventeen (1985 film)
Madman at War
Jenny's War
Mr. Love
Bliss (1985 film)
Missing in Action 2: The Beginning
Heart of a Champion: The Ray Mancini Story
Stitches (1985 film)
The Statue of Liberty (film)
Ek Chitthi Pyar Bhari
Insaaf Main Karoonga
B.B. King "Into the Night"
St. Elmo's Fire (film)
Shri Datta Darshanam
Sugamana Raagangal
Mugila Mallige
Madhuvidhu Theerum Mumbe
Jaago (1985 film)
Next Summer
Manevri na petiya etazh
Young Lady Chatterley II
Heaven Help Us
Wills & Burke
The Wizard of the Strings
Death Wish 3
All Mixed Up (film)
I Was a Teenage TV Terrorist
Maha Purusha
Saandham Bheekaram
Cool Jazz and Coconuts
Arjun (1985 film)
The Hills Have Eyes Part II
The Dead Father (film)
King David (film)
Nee Bareda Kadambari
The Way It Is (film)
Nooravathu Naal
Santhosha Kanavukal
The Falcon and the Snowman
The Purple Rose of Cairo
Pattabhishekam (1985 film)
Martin's Day
Veeradhi Veera
Reckless Disregard
Bayen Hath Ka Khel
Terror y encajes negros
Wives – Ten Years After
Cocaine Wars
Santa Claus: The Movie
Sri Raghavendrar
Sravanthi
Night Train to Terror
La Virgen gaucha
Underworld (1985 film)
Meri Jung
La Gran Fiesta
Invasion U.S.A. (1985 film)
Oru Malarin Payanam
Sindhu Bhairavi (film)
Just One of the Guys
Boycott (1985 film)
Burke & Wills
The Pied Piper (1986 film)
The Return of the Living Dead
Vergeßt Mozart
Sylvester (film)
Orikkal Oridathu
Ivide Ee Theerathu
Rendez-vous (1985 film)
Cut and Run (film)
Vilichu Vilikettu
Mother (1985 film)
Tuff Turf
Babu (1985 film)
Zamana (1985 film)
Fool for Love (film)
James Joyce's Women
Trikal
Barbarian Queen
Miranda (1985 film)
Ormikkaan Omanikkaan
Zone Troopers
Kannaram Pothi Pothi
Yaadon Ki Kasam
Wild Geese II
Chavi (film)
Here Come the Littles
Do Dilon Ki Dastaan
Anne of Green Gables (1985 film)
Before Stonewall
Adhyayam Onnu Muthal
Uuno Epsanjassa
Wodzek
The Assault of the Present on the Rest of Time
The Emerald Forest
Mixed Blood (film)
Basic Training (1985 film)
Volunteers (film)
Kinky Business
The Angelic Conversation (film)
Bank Clerks
Secret Admirer
Thanga Mama 3D
Crime Wave (1985 film)
Police Story (1985 film)
Love Hotel (1985 film)
A Successful Man
Maa Kasam (1985 film)
Boggy Creek II: And the Legend Continues
Category:1985 horror films
Mayuri (film)
Durgaa
Mad Max Beyond Thunderdome
Neethiyin Marupakkam
The Naked Country
Trancers
Ölüm Yolu
Virgin Forest
Prathikara Jwala
Keats and His Nightingale: A Blind Date
Mounanombaram
Principal Olivil
Turtle Diary
Dreamchild
The Shooting Party
Nail Gun Massacre
The Perfectionist
Eeran Sandhya
Lakshmi Vandhachu
Self Defense (film)
Desert Hearts
Revolution (1985 film)
Lune de miel
Aitbaar
Bhavani Junction
My Science Project
Mukhyamanthri (1985 film)
Kattu Rani
Muthal Mariyathai
Vellam
Awara Baap
Mera Jawab
The Sure Thing
The Death of the White Stallion
Secrets Secrets
Aa Neram Alppa Dooram
1919 (film)
Bindhu
Soundaryappinakkam
A Journey Through Fairyland
Big Deal After 20 Years
After Darkness
Chidambaram (film)
My American Cousin
One Magic Christmas
Haru no Kane
The Coca-Cola Kid
Ee Lokam Evide Kure Manushyar
Massage for Relaxation
Uyarndha Ullam
The Dame in Color
Bigfoot and the Muscle Machines
Derborence (film)
Girls Just Want to Have Fun (film)
When Night Falls (1985 film)
The Assisi Underground (film)
Hackers: Wizards of the Electronic Age
Thou Shalt Not Kill... Except
Target (1985 film)
Mask (film)
Canada's Sweetheart: The Saga of Hal C. Banks
Kiss of the Spider Woman (film)
Pratighatana
Night in Jinling
A Simple Death
Tirugubatu
Scalpel, Please
Revenge (1985 film)
The Heavenly Kid
Manoel's Destinies
Iniyum Kadha Thudarum
Koodum Thedi
Hail Mary (film)
Moving Violations
Ordeal by Innocence (film)
The Canadian Conspiracy
Life Is Beautiful (1985 film)
Adieu Bonaparte
The Dog Who Stopped the War
Creator (film)
Njan Piranna Nattil
Code of Silence (film)
Butterfly and Flowers
Wild Dogs (film)
The Unknown Soldier (1985 film)
Dheivatheyorthu
A View to a Kill
Certain Fury
Space Rage
Avenging Angel (1985 film)
The Jewel of the Nile
Black Mail (1985 film)
Private Resort
Phenomena (film)
Vijetha
Joan Lui
Ee Sabdam Innathe Sabdam
Kathodu Kathoram
The Empty Beach
Kusume Rumal
Do You Remember Love (film)
Giri Baale
Partir, revenir
A Nightmare on Elm Street 2: Freddy's Revenge
Adieu Blaireau
Lui è peggio di me
Hum Naujawan
Restless Natives
Brewster's Millions (1985 film)
White Nights (1985 film)
Bhago Bhut Aaya
Howling II: Your Sister Is a Werewolf
Oru Sandesam Koodi
Meendum Parasakthi
Fast Forward (film)
My Life as a Dog
Saaheb
Daemon (film)
Stick (film)
Lava (1985 film)
The Time to Live and the Time to Die
Les Nanas
Warriors of the Apocalypse
White Fire
Vande Mataram (1985 film)
Ram Teri Ganga Maili
The Makioka Sisters (film)
The Burmese Harp (1985 film)
Naanu Nanna Hendthi
Tangos, the Exile of Gardel
Those Merry Souls
Zabardast
Pillai Nila
Scene No. 7
Paisa Yeh Paisa
Category:1985 animated films
Category:Lists of 1985 films by country or language
Muhurtham Pathnonnu Muppathinu
Revenge of the Stolen Stars
Breaking All the Rules (film)
Mountain Strawberries 2
Parole de flic
Chronos (film)
Naagam (1985 film)
Vampire Hunter D (1985 film)
Mischief (film)
Ayanam
Night Magic
Hour of the Star
Lust in the Dust
Early Spring Story
Divine Horsemen: The Living Gods of Haiti
Sannaham
Urimai
L'Amour braque
Vision Quest
Ente Kaanakkuyil
Hors-la-loi (1985 film)
La donna delle meraviglie
Sincerely Charlotte
The Dirt Bike Kid
Dust (1985 film)
The Man with One Red Shoe
Video ranger 007
Fever Pitch (1985 film)
Blood Debts
Final Offer
The Witching Hour (1985 film)
Dangerous for Your Life!
I Was a Zombie for the F.B.I.
New Wave Hookers
Pyari Behna
Sitamgar
Anthasthu
On the Loose (1985 film)
Avidathepole Ivideyum
The Black Cannon Incident
Peyton Place: The Next Generation
Dhoomam
Puzhayozhukum Vazhi
Ghulami (1985 Punjabi film)
Rendu Rella Aaru
Salma (1985 film)
Bridge to Terabithia (1985 film)
Accident (1985 film)
Sweet Dreams (1985 film)
90 Days (film)
Woman in a Hat
Ambada Njaane!
Rainbow Brite and the Star Stealer
Joey (1985 film)
Deep Winter
Permeke (film)
Jungle Raiders (1985 film)
Wes Craven's Chiller
Happy Ghost II
Guest from the Future
Lamb (1985 film)
Yuvataram Pilicindi
Yesterday (1985 film)
Better Off Dead (film)
Fetish & Dreams
Demons (film)
Billy the Kid and the Green Baize Vampire
Seduction: The Cruel Woman
Chain Jayapal
Chillu Kottaram
Pagal Nilavu
Oka Radha Iddaru Krishnulu
Eoudong
Jagged Edge (film)
Shiva Kotta Sowbhagya
Quo Vadis? (miniseries)
Le Temps des bouffons
Tyagi (film)
Fright Show
Orion's Belt (film)
Seven Minutes in Heaven (film)
Kaiyum Thlayum Purathidaruthe
Hold-Up (film)
Parker (1984 film)
Son Darbe
Ghare Baire (film)
Clue (film)
Sanjog (1985 film)
Times Square Comes Alive
Bad Medicine (film)
Vagabond (film)
Bhalobasa Bhalobasa (1985 film)
Tora-san's Island Encounter
Private Practices: The Story of a Sex Surrogate
Fletch (film)
Festa di laurea
Fatto su misura
Klanta Aparahna
Oriana (film)
Wizards of the Lost Kingdom
Kids Don't Tell
Treasure Island (1985 film)
Choodatha Pookal
The Annihilators (film)
Bharyabhartala Bandham
Adultery Tree
Oonche Log
Buddies (1985 film)
I Am an ESP
Seigi Choujin vs. Ancient Choujin
Divine Waters
Akalathe Ambili
Paara (film)
Nerariyum Nerathu
Thingyan Moe
Pas în doi
Broken Rainbow (film)
Re-Animator
The Mystery of Alexina
40 Quadratmeter Deutschland
Needhiyin Nizhal
The Knight of the Dragon
Flesh and Blood (1985 film)
Udaya Geetham
Agnes of God (film)
Screwballs II
Starchaser: The Legend of Orin
Family Life (1985 film)
Molly's Pilgrim
Mine (film)
Mussolini and I
Tea in the Harem
Nasoor
Prime Risk
Ee Thalamura Ingane
The Mass Is Ended
Mussolini: The Untold Story
Blues metropolitano
Hee Man: Master of None
Friday the 13th: A New Beginning
Dekha Pyar Tumhara
Mulamoottil Adima
Mexican, You Can Do It
Trouble in Mind (film)
Sofia Kovalevskaya (film)
Vannu Kandu Keezhadakki
Cat's Eye (1985 film)
Time to Die (1985 film)
Snehicha Kuttathinu
Disciples of the 36th Chamber
Schmutz (film)
Veli (film)
Light Blast
Love at First Sight (1985 film)
A.K. (film)
Getting It (film)
Dhoom Dhadaka
Avidathe Poele Ivideyum
Captain Sánchez's Crime
Boeing Boeing (1985 film)
Avan (1985 film)
Ek Se Bhale Do
Kala Suraj
Hell Hole (film)
Once Bitten (1985 film)
Category:1985 direct-to-video films
What Waits Below
The Detached Mission
Beer (film)
Walking the Edge
Faces of Death III
Blade in Hong Kong
The Feather Fairy
Meraa Ghar Mere Bachche
Final Justice (1984 film)
The Adventures of a Two-Minute Werewolf
Kingpin (1985 film)
Fiebre de Amor (film)
Hot Moves
Finnegan Begin Again
American Flyers
How Poets Are Losing Their Illusions
Prince Jack
Yathra
Galaxy Invader
Appointment with Fear (film)
A Single Life (1985 film)
Screamplay
Karpoora Deepam
Challenge of a Lifetime
Annai Bhoomi 3D
Nana (1985 film)
Rockin' Road Trip
Ankahee (1985 film)
Commando (1985 film)
Dance with a Stranger
Pathamudayam
List of Captain Tsubasa episodes
Nermai
Dario Argento's World of Horror
Jaan Ki Baazi
A Summer to Remember
Smooth Talk
The Secret of the Sword
Almanac of Fall
The Blue Yonder
The Rings
Paartha Gnabagam Illayo (film)
Züğürt Ağa
The Tale of the Wonderful Potato
Emmett Stone
Andata e ritorno
Came a Hot Friday
Aval Sumangalithan
Aan Paavam
Wetherby (film)
Oduvil Kittiya Vartha
Guruji Oru Vakku
Brigade des mœurs
Cocoon (film)
Crveni i crni
Mr. Vampire
Shadey
The Midnight Hour
Mask of Murder
After Winter: Sterling Brown
The Beach Boys: An American Band
The Last Dragon
Maha Shaktimaan
Janam
Otto – Der Film
The Beach Boys: Good Vibrations Tour
Lonely Heart
Naam Iruvar (1985 film)
Geethanjali (1985 film)
Key Exchange
Jaanoo
Flores robadas en los jardines de Quilmes
Tomboy (1985 film)
Aaj Ka Daur
Lost in America
Sammelanam
Teri Meherbaniyan
Return (1985 film)
Karishma Kudrat Kaa
Tawaif (film)
Mingo y Anibal en la mansion embrujada
The Protector (1985 film)
Yes, Madam
Count to Ten (film)
Fraternity Vacation
Chorakku Chora
To Live and Die in L.A. (film)
Yamata no Orochi no Gyakushū
Soft and Hard
Return to Waterloo (film)
My Sweet Little Village
The Epic of Gilgamesh, or This Unnameable Little Broom
The Ring (1985 film)
Little Treasure
Geraftaar
Hemavin Kadhalargal
Angry Harvest
Bring on the Night (film)
The Breakfast Club
Puli Varunne Puli
Janakeeya Kodathi
Goodbye, New York
Pumping Iron II: The Women
Sorekara (film)
Padikkadha Pannaiyar
Love Letters with Intent
Shiva Ka Insaaf
God's Country (1985 film)
Eternal Fire (film)
Mangamma Sapatham (1985 film)
Pee-wee's Big Adventure
Pizza Connection (film)
Lifeforce (film)
Balidaan (1985 film)
No Man's Land (1985 film)
Half Life: A Parable for the Nuclear Age
Mohabbat (1985 film)
The Pickwick Papers (1985 film)
Idanilangal
D'Annunzio (film)
Silverado (film)
Anyay Abichar
Anveshana
Paramparça
Leave All Fair
Ezhu Muthal Onpathu Vare
Chicken with Vinegar
Oru Kudakeezhil
Ottayan
Two Tickets to India
Adiós, Roberto
Shoah (film)
The Rigorous Fate
Live by the Bay
Harem (film)
My Lucky Stars
Back to the Future
Bond 303
Engirunthalum Vazhga
The Woman and the Stranger
The Adventures of Sergio Mallandro
The Heifer
Ilamai
Bâton rouge (film)
Among Wolves
Leonora (film)
Malibu Express
The Last Assault
Rocky IV
Be-Bop High School
Chiranjeevi (1985 film)
Debshishu
Summer Rental
Wrong World
Savage Dawn
Witness to War: Dr. Charlie Clements
The Berlin Affair
The Peanut Butter Solution
The Bad Seed (1985 film)
Hell Train (film)
The Adventures of Mark Twain (1985 film)
Nanna Prathigne
Aghaat
Ram Tere Kitne Nam
Khamosh
Biohazard (film)
Unfinished Business (1985 American film)
Bidugadeya Bedi
Typhoon Club (film)
Fire Festival (film)
Hard Choices (film)
Ek Saudagar
Danger Has Two Faces
Baadal
Real Genius
Thirteen at Dinner (film)
Wafadaar
Teo el pelirrojo
Godzilla 1985
Thendrale Ennai Thodu
Twinkle, Twinkle Lucky Stars
Hell Squad (1985 film)
Mard (1985 film)
Mala Noche
Relatives (1985 film)
Yama—Attack to Attack
Hi-Tops (film)
A Sense of Freedom
Gakidama
My Dearest Son
Aatmabalam
Aduthathu Albert
Padikkadavan (1985 film)
Angel's Egg
Karm Yudh (1985 film)
Lover Boy (1985 film)
Bhale Thammudu (1985 film)
The Most Charming and Attractive
Westler
Seburi monogatari
The Goonies
The Unwritten Law (film)
Pudhu Yugam
Azhiyatha Bandhangal
Ajeya
Nee Thanda Kanike
Mortimer Griffin and Shalinsky
Savage Fury
Angara (film)
The Doctor and the Devils
Flight 222 (film)
Jwaalamukhi
