George White's Scandals (film)
Tadbir
Draftee Daffy
Blind Desire
He Who Died of Love
Heavenly Slug
Trente et Quarante (film)
Tell It to a Star
Here Come the Co-Eds
Detour (1945 film)
Road to Alcatraz
Great Stagecoach Robbery
The Last Judgment (1945 film)
My First Love (1945 film)
Kurukshetra (1945 film)
Anchors Aweigh (film)
She Wouldn't Say Yes
Glamour Gal
Sing Your Way Home
Adventures of Kitty O'Day
The Woman in Green
Ramayani
The Story of G.I. Joe
Crime, Inc.
Johnny Angel
Gangs of the Waterfront
Chand Chakori
Meet Sexton Blake
D-Day -1
Radio Stars on Parade
A Royal Scandal (film)
Down with Misery
Children of Paradise
Two Angels and a Sinner
Now — The Peace
Under Western Skies
The Phantom of 42nd Street
Murder, He Says
Girl No. 217
Life on a Thread
Main Street After Dark
Strawberry Roan
Kolberg (film)
Micro-Phonies
Swingin' on a Rainbow
Swell Guy
The Great Flamarion
Handling Ships
Klingende toner
The Great Morgan
Swooning the Swooners
The Dolly Sisters (film)
La perla (film)
On Stage Everybody
Bugambilia
José do Telhado (1945 film)
Caesar and Cleopatra (film)
Fear No Evil (1945 film)
Boule de suif (film)
An Angel Comes to Brooklyn
His Young Wife
Over 21
Rustlers' Hideout
Northwest Trail
High Powered
Rockin' in the Rockies
Target Tokyo
Don't Fence Me In (film)
The Hitler Gang
Wake Up to Life
Two Anonymous Letters
Library of Congress (film)
Keep Your Powder Dry
Trail of Kit Carson
I'll Sing No More
Incendiary Blonde
A Place of One's Own
Strange Illusion
The Purple Monster Strikes
Navajo Kid
Delightfully Dangerous
Bedside Manner (film)
Paduka Pattabhishekam
Mildred Pierce (film)
Fury in the Pacific
Remember These Faces
The Unseen (1945 film)
Three Pests in a Mess
The Town (1945 film)
Ziegfeld Follies (film)
Mamá Inés
Dead of Night
Kungliga patrasket
Burma Rani
Two O'Clock Courage
The Fatal Witness
6th Marine Division on Okinawa
Son of Lassie
Along Came Jones (film)
Gun Smoke (film)
Brief Encounter
Zombies on Broadway
The White Gorilla
Action at Anguar
Hasta que perdió Jalisco
The Red Meadows
Gaoon Ki Gori (1945 film)
Adventures of Rusty
The Echo Murders
Salty O'Rourke
The Last Chance (1945 film)
Dui Purush (1945 film)
The Bellman (film)
Nob Hill (film)
Hitchhike to Happiness
Humayun (film)
The Big Show-Off
South of the Rio Grande
The Tiger Woman (1945 film)
You Came Along
Betrayal from the East
Allotment Wives
The Great John L.
Tee for Two
The Scarlet Clue
El Capitán Malacara
Rozina, the Love Child
Here Is Germany
The Caribbean Mystery
Star in the Night
Man Alive (1945 film)
Rome, Open City
Lost Kisses (1945 film)
La señora de enfrente
Appointment in Tokyo
Lunegarde (film)
The Men Who Tread on the Tiger's Tail
She Went to the Races
Resan bort
German Concentration Camps Factual Survey
The Man from Morocco
Adultery (1945 film)
The Cisco Kid Returns
Três Dias Sem Deus
Cornered (1945 film)
Diamond Horseshoe
Black Market Babies
The House is Empty
Bandits of the Badlands
Junior Miss (film)
Trouble Chasers
The Missing Corpse
The Agitator
Getting Gertie's Garter
Our Vines Have Tender Grapes
Guest Wife
Majestic Hotel Cellars
Tuesday in November
The Cloth Peddler (1945 film)
Wonder Man (film)
Brenda Starr, Reporter (film)
Thrill of a Romance
Waterloo Road (film)
West of the Pecos (1945 film)
The Spanish Main
Dick Tracy (1945 film)
Category:1945 animated films
Zeenat (film)
The Naughty Nineties
Las Abandonadas
La porta del cielo
Girl with Grey Eyes
Mr. Muggs Rides Again
Thunderhead, Son of Flicka
Veer Kunal
Shadows of Death
Soldiers without Uniforms
Nosotros
Cured Duck
Sanshiro Sugata Part II
Pink String and Sealing Wax
First Yank into Tokyo
Espoir: Sierra de Teruel
My Japan
Salome, Where She Danced
Paris Underground (film)
What Next, Corporal Hargrove?
Scared Stiff (1945 film)
G. I. Honeymoon
Back to Bataan
Twice Blessed (1945 film)
Don Chicago
It's a Pleasure (film)
Doll Face
In Old New Mexico
Madonna of the Seven Moons
The Royal Mounted Rides Again
The Horn Blows at Midnight
The Man in Half Moon Street
The Valley of Decision
Club Havana
The Monster and the Ape
Blithe Spirit (film)
Danger Signal
For You Alone
Eve Knew Her Apples
Confidential Agent
Renegades of the Rio Grande
Viennese Girls
Saint Candida (film)
The True Glory
The Affairs of Susan
Saalivaahanan
The Stilwell Road (film)
Perfect Strangers (1945 film)
The Circus Cavalcade
Hitler Lives
Hello Moscow!
Two Down and One to Go
Apology for Murder
The Body Snatcher (film)
The Stork Club (1945 film)
A Cage of Nightingales
Pride of the Marines
Kiss and Tell (1945 film)
Utah (film)
Kitty (1945 film)
The Fight for the Sky
Earl Carroll Vanities
State Fair (1945 film)
The Last Bomb
Manhunt of Mystery Island
Docks of New York
Sensation Hunters (1945 film)
Flor de durazno
Oregon Trail (film)
The Topeka Terror
The Turning Point (1945 film)
Along the Navajo Trail (film)
Stairway to Light
The Cherokee Flash
If a Body Meets a Body
Bachpan (1945 film)
Give Me the Stars
Pillow to Post
Quiet Please!
Hemareddy Mallamma
Mama Loves Papa (1945 film)
Federal Operator 99
A Woman of No Importance (1945 film)
Les Dames du Bois de Boulogne
Brewster's Millions (1945 film)
Voice of the Whistler
Lone Star Ranger (1945)
Phool (1945 film)
It Happened in the Donbass
Gentle Annie (film)
Yolanda and the Thief
Gaon Ki Gori
¡Ay qué rechulo es Puebla!
Badi Maa
Sherlock Holmes and the House of Fear
Boston Blackie Booked on Suspicion
The Southerner (film)
Sri Valli (1945 film)
Hollywood Victory Caravan
Target Invisible
Swan Song (1945 film)
Albeli
Johnny Frenchman
Booby Dupes
Adventure (1945 film)
Club verde
A Sporting Chance (1945 film)
Escape in the Desert
The Clock (1945 film)
Via Mala (1945 film)
The Hour of Truth
Journey Together
Song of Mexico
Linnaisten vihreä kamari
Saga of the Franklin
The Man in the Saddle (1945 film)
Criminal Court
Las seis suegras de Barba Azul
The Phantom Speaks
La Grande Meute
Great Day (1945 film)
Bamboo (film)
Vandring med månen
Her Highness and the Bellboy
Rhapsody in Blue (film)
Los últimos de Filipinas
29 Acacia Avenue
Bewitched (1945 film)
Counter-Attack
Phantom of the Plains
Affæren Birte
A Song for Miss Julie
Old Mother Riley at Home
Bring on the Girls (film)
The Way to the Stars
Meera (1945 film)
The Woman Who Came Back
Cuando en el cielo pasen lista
Circumstantial Evidence (1945 film)
Shady Lady (1945 film)
Ek Din Ka Sultan
San Antonio (film)
Know Your Enemy: Japan
I Didn't Do It
Trap Happy Porky
Jungle Queen (serial)
The House I Live In (1945 film)
Home Sweet Home (1945 film)
Wanderer of the Wasteland (1945 film)
The Frozen Ghost
The Army Nurse
The Picture of Dorian Gray (1945 film)
Jealousy (1945 film)
Woody Dines Out
A Game of Death
The Enemy Strikes
Song of Old Wyoming
Rough Riders of Cheyenne
Tarzan and the Amazons
The War Is Over (1945 film)
La selva de fuego
Out of the Depths (1945 film)
Rigoberto
Prosťáček
Mr. and Mrs. America
The Atom Strikes!
The Strange Affair of Uncle Harry
Savage Pampas (1945 film)
The Law Rides Again
Where Do We Go from Here? (film)
Wings for This Man
Řeka čaruje
Sheriff of Cimarron
Corpus Christi Bandits
Your Job in Germany
Carnival Sunday
Camino de Sacramento
Come Out Fighting (1945 film)
The Fleet That Came to Stay
The Thin Man Goes Home
In the Aleutians – Isles of Enchantment
Hangover Square (film)
The Bells of St. Mary's
Follow That Woman
De kloge og vi gale
Dangerous Partners
Within These Walls (film)
Okinawa Bulletins
I Live in Grosvenor Square
Fenlands (film)
A Diary for Timothy
Scotland Yard Investigator
I'll Be Your Sweetheart
Flame of Barbary Coast
Island Target
The Lady Confesses
Week-End at the Waldorf
I Know Where I'm Going!
Dakota (film)
The Seventh Veil
Eadie Was a Lady
The Jungle Captive
Indian News Parade
They Were Sisters
The Bullfighters
China Sky (film)
I Love a Mystery (film)
Captain Tugboat Annie
La casa de la zorra
His Brother's Ghost
Out of This World (1945 film)
The Enchanted Forest
A Tree Grows in Brooklyn (film)
The Road to Babel
The Battle of San Pietro
A Thousand and One Nights (1945 film)
Those Endearing Young Charms (film)
Navy Nurse
Captain Eddie
Our Job in Japan
El Recuerdo de aquella noche
Paris Frills
Mischievous Susana
