47 Natkal
The Love Suicides at Sonezaki (1981 film)
A Lonely Woman
Das Boot
Game of Death II
Savaal
The Animals Film
Night by the Seashore
Permanent Vacation (1980 film)
Station (film)
Tora-san's Love in Osaka
Dwandha Yudham
This House Possessed
Main Aur Mera Haathi
The Great Muppet Caper
Outlaw: The Saga of Gisli
Office Lady Rope Slave
Paravathi Parameshwarulu
Zoot Suit (film)
Aakhri Mujra
Harry's War (1981 film)
Cheaper to Keep Her (film)
Oridathoru Phayalvaan
La mujer del ministro
Around the World with Dot
Dead & Buried
Marianne and Juliane
Bianco, rosso e Verdone
Der Bockerer
Don't Go Near the Park
The Opportunities of Rosa
Surfacing (film)
Maria, Mirabela
Carnival Magic (film)
Smash Palace
Pierino contro tutti
Ręce do góry
Kilungaatha Changalakal
Thee (1981 film)
Urge to Build
Kaloopasana
Ricomincio da tre
Kazhugu (1981 film)
Longe é a cidade
Die Fälschung
Dragonslayer
Tattoo (1981 film)
Rail Payanangalil
The Night the Lights Went Out in Georgia (film)
A Thousand Little Kisses
Visitors from the Galaxy
Jeene Ki Arzoo
Sher Khan (1981 film)
Nice Dreams
Den grønne heisen
An Eye for an Eye (1981 film)
Dreszcze
Kirayi Rowdylu
Nightmare (1981 film)
Chattaniki Kallu Levu
Mohana Punnagai
The Postman Always Rings Twice (1981 film)
Kudumbam Oru Kadambam
El Crack (1981 film)
Dog in Boots
Silvestre (film)
Kondaveeti Simham
Loophole (1981 film)
Arikkari Ammu
Mad Max 2
Sizzle Beach, U.S.A.
Sreeman Sreemathi
Jail Yatra
High Risk (1981 film)
The White Lions
Asso (film)
A War Story
Prisoners (1981 film)
Le Grand Paysage d'Alexis Droeven
Krodhi
Sahhas
Private Lessons (1981 film)
Trokadero
Lola (1981 film)
Sailor Suit and Machine Gun (film)
Skokie (film)
Jeevakke Jeeva
Beau-père
Aadavaallu Meeku Joharlu
Faces of Death II
Oorukichchina Maata
Ms. 45
47 Rojulu
Docteur Jekyll et les femmes
Four Friends (1981 film)
Saturday the 14th
Our Short Life
Fracchia la belva umana
Learn How to Read and Write, Son
Karaiyellam Shenbagapoo
My Bloody Valentine (film)
Carnival Scenes
Sphinx (film)
Naseeb (1981 film)
Crazy Fruit
I Love You (1981 film)
Chasing Girls
The Duel of the Century
Kalankini Kankabati
Mojado Power
Ranuva Veeran
Play Dead (1981 film)
Smokey Bites the Dust
Kagero-za
Thenum Vayambum
Enter Another Dragon
Arunata pera
Swan Lake (1981 film)
Ahimsa (1981 film)
Flor de Liza
Kamakalawa
Le Maître d'école
I fichissimi
Armaan (1981 film)
A Friend Is a Treasure
Ahista Ahista (1981 film)
Sois belle et tais-toi (1981 film)
Parvathy (film)
Nidra (1981 film)
The Grandmother (film)
Rocky (1981 film)
The Fall of Italy
Netrikkann
Zorro, The Gay Blade
Great White (film)
Longing for My Native Country
Lion of the Desert
Cannibal Ferox
Southbound Train
Alison's Birthday
Asa Branca: Um Sonho Brasileiro
Kolilakkam
The Fantastic All-Electric Music Movie
Il tango della gelosia
Avala Hejje
An Intimate Story
Itha Oru Dhikkari
My Name Is Anna Magnani
Condorman
Polyester (film)
Roohi (film)
Reds (film)
See What I Say
Crime at the Chinese Restaurant
Asthamikkatha Pakalukal
Katilon Ke Kaatil
Evilspeak
The Hand (film)
Jadhikkoru Needi
The Killing of Angel Street
Lovespell
The Melody Haunts My Memory
Chu Chu and the Philly Flash
Thakilu Kottampuram
Category:Lists of 1981 films by country or language
Clash of the Titans (1981 film)
The Big Stuffed Dog
Thaalam Manasinte Thaalam
Deprisa, Deprisa
Under the Rainbow
Heartaches (film)
Piso pisello
Neige (film)
Anupama (1981 film)
Les Paumées du Petit Matin
Kaalia
Eyes of a Stranger (1981 film)
The Chinese Stuntman
Kettévált mennyezet
Tajurba
Abhinayam
Premabhishekam (1981 film)
Lunch Wagon
Imagine the Sound
Un étrange voyage
Thaaraavu
Les Uns et les Autres
Centrespread
Manasi
Seethakoka Chiluka (1981 film)
Don't Go in the Woods (1981 film)
Grendel Grendel Grendel
Beware of Pickpockets
The Falcon (film)
Eaux profondes
Fiffty Fiffty
Guha (film)
La gatta da pelare
Jaka Sembung
Sankarlal
Pinneyum Pookkunna Kaadu
Kodumudikal
Zamane Ko Dikhana Hai
Bhula Na Dena
Shakka (film)
The Olsen Gang Long Gone
Rasmus på luffen
Ali in Wonderland
Aakali Rajyam
Naga Kala Bhairava
Against Wind and Tide: A Cuban Odyssey
Willful Murder
Neberte nám princeznú
Dream On!
Roadgames
Your Neighbor's Son
Shaolin Prince
The Story of Woo Viet
Keralida Simha
Thanneer Thanneer
Nightdreams
Mulher Objeto
History of the World, Part I
Circle of Power
Zübük
Poocha Sanyasi
Shodh
Pyaasa Sawan
Gallipoli (1981 film)
Laparwah
Enchanted Journey
My Darling, My Dearest
Outland (film)
Shaukeen
Kadathu
Malevil (film)
Randu Mukhangal
Christiane F. – We Children from Bahnhof Zoo
The Saimaa Gesture
Raggedy Man
Windwalker (film)
Agni Pareeksha (1981 film)
The Legend of the Lone Ranger
Ooriki Monagadu
Gangster Wars
Prema Geethangal
Orikkal Koodi
Enne Snehikkoo Enne Maathram
Sally and Freedom
Momentos
S.O.B. (film)
Say a Word for the Poor Hussar
Americas in Transition
Bloody Moon
Merry-Go-Round (1981 film)
Peacetime in Paris
In the Shadow of the Sun
Beyroutou el lika
For Your Height Only
An American Werewolf in London
People on the Top
Vaadaka Veettile Athidhi
Aalemane
Haqdaar
Scarlet Prostitute: Stabbing
Roar (1981 film)
All Night Long (1981 film)
Ghamandee
Ammakkorumma
Meendum Kokila
Kudrat
The Professional (1981 film)
The Howling (film)
Aparna (1981 film)
Sazaye Maut
The Decline of Western Civilization
Bulundi
De la misteriosa Buenos Aires
Chashme Buddoor (1981 film)
Image of the Beast (film)
Dhanwan (1981 film)
Sadomania
Buriki no kunsho
Alaigal Oivathillai
La Chèvre
High Voltage (1981 film)
Archana Teacher
Kaattu Kallan
Burned at the Stake
Ira Thedunna Manushyar
Venal (film)
Rollover (film)
The Four Seasons (1981 film)
Avatharam (1981 film)
Crisis at Central High
Temporary Paradise
Professor Pyarelal
Sogni d'oro
The Devil and Max Devlin
Continental Divide (film)
Elephant Parts
Oppol
Waitress!
Kaahalam
Waiting for Love (film)
The Tender Tale of Cinderella Penguin
Panikos sta scholeia
See China and Die
Saptapadi (1981 film)
Vayal
Aambal Poovu
The Day After Trinity
Karimpoocha
Dreadnaught (film)
Kings and Desperate Men
Prachanda Putanigalu
National Heritage (film)
Invited People
Simhada Mari Sainya
Excalibur (film)
Cannibal Terror
Veshangal
Gamín
Anima – Symphonie phantastique
First Monday in October (film)
Firebird 2015 AD
The Devil at Your Heels
If You Go Down in the Woods Today
Montenegro (film)
Come-Back!
Vortex (1981 film)
Jeppe på bjerget (film)
Killing Heat
King of the Mountain (film)
A Lover For Two
The Incubus (film)
Honky Tonk Freeway
Hard Country (film)
Ariyappedatha Rahasyam
The Girl with the Red Hair
Stations of the Elevated
Varning för Jönssonligan
Strange Behavior
Chan Varyam
Uno contro l'altro, praticamente amici
The Beyond (film)
Sign of the Beast
Inseminoid
Barsaat Ki Ek Raat
Aas Paas
A Policewoman in New York
Pour cent briques, t'as plus rien...
Manolesta
Ritmo, amor y primavera
The Homeless One
The Man Who Saw Tomorrow
The Dragon, the Young Master
Odd Squad (film)
Vilayati Babu
Hit Back
Hamsa Geetham
Car Crash (film)
Ghostkeeper
Il Marchese del Grillo
Demonoid (film)
Ek Duuje Ke Liye
Dirty Tricks (film)
Piranha II: The Spawning
Ghost Story (film)
Peter and Paul
Yesterday (1981 film)
Porky's
Saahasam (1981 film)
Only When I Laugh (film)
Prem Geet
Ojamanga Yamada-kun
Oothikachiya Ponnu
The Evil Dead
Cerromaior
Il ficcanaso
Dard (1981 film)
The Black Cat (1981 film)
Der Mann im Pyjama
Taxi Driver (1981 film)
Köszönöm, megvagyunk
Green Ice
The Tyrant's Heart
Within the Woods
Full Moon High
The Demon (1981 film)
Pratisodh
The Boat Is Full
Student Bodies
Close Harmony (1981 film)
Mandala (film)
Sattam Oru Iruttarai (1981 film)
On Golden Pond (1981 film)
Grambling's White Tiger
Geetha (film)
Rubberface
The Plouffe Family (film)
The Mafia Triangle
The Gate of Youth (1981 film)
Thief (film)
Tyagayya (1981 film)
Find a Way, Comrade
Nakhuda (film)
Cancerum Laingeekia Rogangalum
Guardafronteras
The Sixth
My Young Auntie
Tharattu
Lifepod (1981 film)
Seduction (1981 film)
Edo Porn
Ogo Bodhu Shundori
Eye of the Needle (film)
Zombie Lake
Frankenstein Island
Antha Ezhu Naatkal
The Wings of the Dove (1981 film)
La Pulga en la oreja
Sivappu Malli
Father and Son (1981 film)
Little Ida
Eyewitness (1981 film)
Goodbye Pork Pie
Do You Remember Dolly Bell?
Bollenti spiriti
Madame X (1981 film)
Lion vs. Lion
Prince of the City (film)
Los Pasajeros del jardín
Priest of Love
Not a Love Story: A Film About Pornography
Menudo: La Película
Sathya Sundharam
Home Sweet Home (1981 film)
Kisapmata
Gran valor en la facultad de medicina
Halloween II (1981 film)
Chanwa Ke Take Chakor
Agni Yudham
The Little Fox
Sredni Vashtar (film)
El Violinista
Nenjile Thunivirunthal
Shikake-nin Baian
The Brave Archer 3
The Pretenders (film)
La disubbidienza
A Personal History of the Australian Surf
The Last Chase
Faktas
Tirugu Leni Manishi
Valarthumrugangal
Category:1981 animated films
Kofuku (film)
The Outsider (1981 film)
Dakhal
Escape to Victory
Chehre Pe Chehra
Porno Holocaust
Strange Affair (film)
Jeedar
Cutter's Way
Sambhavam
Mystics in Bali
The Survivor (1981 film)
Paternity (film)
Mane Mane Kathe
Njan Ninne Marakkilla
Ilaneer
The Promising Boy
Kadal Meengal
Bushido Blade (film)
Fantasma d'amore
Category:1981 horror films
Shock Treatment
Maowid ala ashaa
La provinciale (1981 film)
Violet (1981 film)
What Am I for Momotaro
Murder Obsession
The High Country
Going Ape!
Puberty Blues
Doraemon: The Records of Nobita, Spaceblazer
Erattai Manithan
So Fine (film)
Mareyada Haadu
El Salvador: Another Vietnam
Riding High (1981 film)
Hum Se Badkar Kaun
Charlie Chan and the Curse of the Dragon Queen
O, Sport, You – the Peace!
Havina Hede
The House by the Cemetery
Such Late, Such Warm Autumn
Amy (1981 film)
Spaghetti a mezzanotte
The Underground Man (film)
Emmanuelle in Soho
Anjatha Nenjangal
Category:1981 direct-to-video films
Athra Puttar
Nee Nanna Gellalare
Zamach stanu
Sharda (1981 film)
American Pop
Chanchattam (1981 film)
Attimari
Peter-No-Tail (1981 film)
Night School (1981 film)
Tree Dzhamal
Enakkaga Kaathiru
Chamaram
Kranti
Winter of Our Dreams
The Prowler (1981 film)
Journey for Survival
Mientras me dure la vida
Airhawk
The Pit (film)
Tora-san's Promise
The Last Duel (film)
Adaptatziya
Yaarana (1981 film)
Vida Parayum Munpe
Silsila (film)
Aakkramanam
The Incredible Shrinking Woman
Rani Kasula Rangamma
The Burning (film)
Hoodwink (1981 film)
Savage Harvest (1981 film)
Three Brothers (1981 film)
Great White Death
Texas Lightning (film)
Enga Ooru Kannagi
Gaali Maathu
Threshold (1981 film)
The Woman Next Door
Madly in Love
Agni Poolu (film)
Kaalam (1981 film)
Ram Lakshman
Putt Jattan De
Las Vacaciones del amor
Kill and Kill Again
Garde à Vue
Suddenly at Midnight
Gregory's Girl
Murder in Texas
True Confessions (film)
Fruits of Passion
36 Chowringhee Lane
Tuck Everlasting (1981 film)
The Entity
Naram Garam
Circle of Two
Crossover (1980 film)
My Dinner with Andre
Aarathi (film)
Mephisto (1981 film)
Something Like It
The Lady of the Camellias (1981 film)
For Your Eyes Only (film)
Burial Ground (film)
Lady Chatterley's Lover (1981 film)
Garjane
Fire on the Mountain (1981 film)
Chakra (film)
Bitter Harvest (1981 film)
Death of a Prophet
Ibo, o sangue do silêncio
Be-Shaque
Time for Revenge
Mire qué lindo es mi país
Gunmen's Blues
They All Laughed
Cattle Annie and Little Britches
Umrao Jaan (1981 film)
The Prodigal Son (1981 film)
Choice of Arms
Le Pont du Nord
Kargus
God's Angry Man
Nizhal Yudham
Aankhon Ke Saamne
The Guy with the Secret Kung Fu
Just Another Missing Kid
The Emperor and His Brother
Pennies from Heaven (1981 film)
The Pulque Tavern
If I Were for Real
Eijanaika (film)
The Pale Light of Sorrow
Kaliyugaya (film)
The Other Hell
The Fox and the Hound
O Pão e o Vinho
Taxi zum Klo
Neighbors (1981 film)
Munnettam
The Inventor
Sentimental (film)
The Hound of the Baskervilles (1981 film)
Cradle Song (1981 film)
Vidiyum Varai Kaathiru
Grihalakshmi (film)
The Imp (1981 film)
Maravillas (film)
Venom (1981 film)
Ta chvíle, ten okamžik
Greeshmam
Christmas Mountain
Dark Night of the Scarecrow
Maha Prachandaru
Wizja lokalna 1901
Comin' at Ya!
How Sleep the Brave
Greeshma Jwala
Take It or Leave It (film)
Day of the Idiots
On the Right Track
Laawaris (film)
Chan Suraj
Diva (1981 film)
Khuda Kasam (1981 film)
Modern Problems
Khoon Ka Rishta
Guru Shishyaru
Eight Minutes to Midnight: A Portrait of Dr. Helen Caldicott
Absurd (film)
Satyam Shivam
Blind Chance
Sneham Oru Pravaaham
Security Unlimited
Semana santa en Acapulco
The Oil, the Baby and the Transylvanians
Inaye thedi
Kallan Pavithran
The Skin
Kathayariyathe
Mudda Mandaram
Waqt Ki Deewar
Family Relations
Sundelbolong
Der Neger Erwin
Omen III: The Final Conflict
Les Babas Cool
Julia Julia
Teheran 43
Rise and Fall of Idi Amin
Enrai
Dusha
Göta kanal eller Vem drog ur proppen?
Swapna (1981 film)
No Place to Hide (1981 film)
Maan Gaye Ustaad
The Day the Loving Stopped
Opera ve vinici
This Is Elvis
Yo Ho Ho
Choothaattam
Capcana mercenarilor
Preethisi Nodu
Sameera
The Chosen (1981 film)
Pedda Gedda
Memoirs of a Survivor (film)
Harjaee
Stade 81
Kahani Ek Chor Ki
Vazhikal Yaathrakkar
Nobody's Perfekt
Fico d'India
Sadgati
Taps (film)
Kalthoon
Raiders of the Lost Ark
Body and Soul (1981 film)
Danda Gopuram
Maniyan Pilla Adhava Maniyan Pilla
The Mystery of Oberwald
Muddy River (film)
The Sea Prince and the Fire Child
Quest for Fire (film)
Al-Mashbouh
Bhaari Bharjari Bete
Tarzan, the Ape Man (1981 film)
Woman Who Exposes Herself
Reisender Krieger
Theekkali
Burning Rubber
Nighthawks (film)
Category:1981 television films
Puli Bidda
The Creature Wasn't Nice
The Fall of the Rebel Angels (film)
Chaste and Pure
Manassinte Theerthayathra
Live Exposure
The True Story of Ah Q (film)
Scream (1981 film)
Anokha Daaj
Le bahut va craquer
Pictures (film)
Bürgschaft für ein Jahr
Tree of Knowledge (film)
Lili Marleen (film)
Palangal
Aszparuh
Lenin in Paris
Fantasies (film)
The Vulture (1981 film)
There Is a Ghost in My Bed
Bush Pilot: Reflections on a Canadian Myth
Wakadaishō series
Portrait of a Woman, Nude
No Mercy, No Future
Wolfen (film)
Sannata
Freak Orlando
Chaatta
Agony (film)
A Deer of Nine Colors
Splendor in the Grass (1981 film)
Galaxy of Terror
Terror Among Us
Ticket to Heaven
Ek Hi Bhool
Love Story (1981 film)
Vabank
Antha (film)
The Territory
Buddy Goes West
Looks and Smiles
Prema Natakam
Swarangal Swapnagal
Return of the Sentimental Swordsman
Thillu Mullu (1981 film)
Kalyug (1981 film)
Do Dil Diwane
Gehra Zakhm
Tales of Ordinary Madness
Il minestrone
Shaolin and Wu Tang
Indru Poi Naalai Vaa
Kanneer Pookkal
The War of the Worlds: Next Century
Radha Kalyanam (1981 film)
Lovely But Deadly
Nessuno è perfetto
Arayannam
Blestemul pământului, blestemul iubirii
Bala Nagamma (1981 film)
The Good Soldier (1981 film)
Phra Rod Meree
The Monster's Christmas
The Games of Countess Dolingen
Chinna Mul Peria Mul
Burning an Illusion
Dhanya (film)
Comfort and Indifference
Elippathayam
Zhizn i priklyucheniya chetyrekh druzei 3/4
Raja Paarvai
Palaivana Solai (1981 film)
The Fan (1981 film)
Ghungroo Ki Awaaz
Outbreak of Hostilities
They Don't Wear Black-tie
The French Lieutenant's Woman (film)
Light Years Away
Khoon Aur Paani
Sanchari
Idhayam Pesugirathu
The Amateur (1981 film)
Bloody Birthday
Los pasajeros del jardín
Per Aspera Ad Astra (film)
Mouna Geethangal
Fangio: Una vita a 300 all'ora
Death Hunt
Garjanai
Soldier Girls
Run Rebecca, Run
Il turno (film)
Forest of Love
The Battle for the Republic of China
Rich and Famous (1981 film)
Night Riders (1981 film)
Agnisaram
Adima Changala
Gas (1981 film)
Blood Beach
Silent Minority
Chanel Solitaire
Buddy Buddy
Los Viernes de la eternidad
Time Bandits
Gekkenbriefje
The Dragon's Snake Fist
A Sense of Freedom
Angels of Iron
Miss, Please Be Patient
Muzhiki!
Cosa de locos
Maadi Veettu Ezhai
The Pride of Jesse Hallam
Urukku Mushtikal
Vernon, Florida (film)
Avali Javali
Our Daughter
Arthur (1981 film)
The Witch Hunt
Escape from Galaxy 3
Hotel America
Race for the Yankee Zephyr
Winnie the Pooh Discovers the Seasons
Francisca (film)
Chariots of Fire
Caveman (film)
Man of Iron
Thushaaram
Tik Tik Tik
Nandu (film)
Friday the 13th Part 2
Mommie Dearest (film)
Grateful Dead: Dead Ahead
Final Exam (film)
Underground Aces
