Le Secret de Mayerling
Diamond City (film)
The Set-Up (1949 film)
The Red Danube
Velaikaari
Un cuerpo de mujer
Ratnakumar
The Walls of Malapaga
Joe Palooka in the Counterpunch
Sands of Iwo Jima
The Third Man
Aoi sanmyaku
Dos pesos dejada
Shahida (film)
La Doctora quiere tangos
Forbidden (1949 film)
Portrait of an Assassin
Lachhi (1949 film)
They Live by Night
Without Honor (1949 film)
Lalita (1949 film)
Roller Derby Girl
Children of Chance (1949 film)
The Big Wheel (film)
The Spider and the Fly (1949 film)
Michurin (film)
The Devil's Henchman
Bad Men of Tombstone
Aparadhi (1949 film)
Jalisco Sings in Seville
The Little Orphan
Dhoomketu
Undertow (1949 film)
Alias Nick Beal
The Last Bandit
Death is a Caress
Flaming Fury (1949 film)
The Reckless Moment
Amar Kahani
The Lone Wolf and His Lady
Hideout (film)
Akireta musume-tachi
Stagecoach Kid
Hold That Baby!
Hellfire (film)
Intruder in the Dust (film)
They Met in Guayaquil
How I Discovered America
A Kiss for Corliss
The Golden Stallion (1949 film)
Kul Bayt Lahu Rajel
Fighting Fools
Boys from the Streets
Johnny Allegro
The Green Promise
Patanga (1949 film)
The Doctor and the Girl
Train of Events
Apoorva Sagodharargal (1949 film)
Arson, Inc.
A Letter to Three Wives
The House Across the Street
The Small Back Room
Old Mother Riley's New Venture
Ventarrón (film)
Silent Barricade
Dva ohně
The Fountainhead (film)
El Hombre de las sorpresas
Any Number Can Play
Calamity Jane and Sam Bass
Chicago Deadline
Frontier Investigator
The Trap (1949 film)
Corrientes, Street of Dreams
Master Minds
The Perfect Woman
Edward, My Son
Siren of Atlantis
The Big Steal
The Bad Lord Byron
The Yacht Isabel Arrived This Afternoon
John Loves Mary
El Abandonado
That Dangerous Age
The Beautiful Blonde from Bashful Bend
Currito of the Cross (1949 film)
Strange Bargain
Las Aventuras de Jack
The Adventures of Sanmao the Waif
Shabnam (1949 film)
Kane no naru oka: Dai san hen, kuro no maki
The Bride Can't Wait
La Malquerida
I Cheated the Law
Anna Lucasta (1949 film)
State Department: File 649
Adam and Evelyne
Adam and Eve (1949 film)
Border Incident
Fools Rush In (1949 film)
Red, Hot and Blue (film)
Conspirator (1949 film)
Le Parfum de la dame en noir (1949 film)
Trouble Backstairs (1949 film)
I Shot Jesse James
Millionnaires d'un jour
Rumbo (film)
Duke of Chicago
Odoru ryū kyūjō
Forgotten Women (1949 film)
Swiss Tour
Kampen mod uretten
Les amants de Vérone
Adventures of Sir Galahad
Manhattan Angel
Canadian Pacific (film)
The Man on the Eiffel Tower
Slightly French
African Jim
Ivan Pavlov (film)
Yo no elegí mi vida
Vent'anni
My Dream Is Yours
The Quiet Duel
Narasinha Avatar
El Paso (film)
The Chiltern Hundreds (film)
Chicken Every Sunday
Satan's Cradle
Blue Scar
We Were Strangers
Tough Assignment
Woman in Hiding
Search for Danger
Dicen que soy mujeriego
Once Upon a Dream (1949 film)
The Walking Hills
El Hijo de la calle
Tuna Clipper
Fúlmine (film)
Bandit King of Texas
Flamingo Road (film)
One Last Fling
Scene of the Crime (1949 film)
Oh, You Beautiful Doll (film)
Lust for Gold
Vagabond Loafers
I'm Not Mata Hari
Number 17 (1949 film)
No me quieras tanto...
Bhakta Kumbara (film)
A Night of Fame
The Mystery of the Yellow Room (1949 film)
Fascinación
Down to the Sea in Ships (1949 film)
The Big Sombrero (film)
Landfall (film)
Trail of the Yukon
Under Capricorn
The Wyoming Bandit
Diez segundos
The Guitar of Gardel
Drooler's Delight
So Dear to My Heart
Tell It to the Judge
Rendezvous in July
Murder at the Windmill
Rimfire (film)
Vertigine d'amore
Cita en las estrellas
Green Grass of Wyoming
Distant Journey
Afrita hanem
Tromba (film)
Whirlpool (1949 film)
Jeet (1949 film)
The Great Lover (1949 film)
Lola Casanova
El extraño caso de la mujer asesinada
Riders of the Range (1949 film)
Negra consentida
Night Unto Night
Caught (1949 film)
Obsession (1949 film)
Post Office Investigator
A Morgadinha dos Canaviais
Nagakannika
Take One False Step
The Crooked Way
Abbott and Costello Meet the Killer, Boris Karloff
Arctic Manhunt
Nodo jimankyō jidai
Red Stallion in the Rockies
The Daring Caballero
My Home Village
Rustlers (1949 film)
Riders of the Whistling Pines
Dear Mr. Prohack
Battleground (film)
Ghazal Al Banat
The Fighting Kentuckian
Mr. Soft Touch
In a Corner of Spain
Vellinakshatram (1949 film)
Bengawan Solo (1949 film)
Nilam (film)
Pheray
The Jack of Diamonds
Aiye
Edición extra
Saints and Sinners (1949 film)
The Sad Whistle
It's a Great Feeling
Flickan från tredje raden
Johnny Stool Pigeon
The Great Madcap
The Battle of Stalingrad (film)
The Sun Comes Up
Passport to Pimlico
Daybreak in Udi
Chains (1949 film)
Amma (1949 film)
The Judge Steps Out
Kalaavida
Streets of San Francisco (film)
Sitt al-Bayt
Father Was a Fullback
Gigi (1949 film)
The Lady Takes a Sailor
Daulat (1949 film)
The Lovable Cheat
1848 (film)
Once More, My Darling
Waga Koi wa Moenu
Pantalones cortos
Dear Wife
Bad Boy (1949 film)
Kaneez (1949 film)
Rayito de luna
Roseanna McCoy
Rondini in volo
For Scent-imental Reasons
The Wolf Hunters (1949 film)
That Forsyte Woman
Goofy Gymnastics
The Gal Who Took the West
Poet's Pub
The Great Gatsby (1949 film)
Flaxy Martin
Federal Agents vs. Underworld, Inc
Christopher Columbus (1949 film)
Red Light (film)
No Way Back (1949 film)
A Family Like Many Others
Challenge to Lassie
The Barkleys of Broadway
Motorcycles (film)
Bride for Sale
Private Angelo (film)
San Antone Ambush
The Woman on Pier 13
Nahwa al-Majd
No me defiendas compadre
Jolson Sings Again
Holiday in Havana
Omoo-Omoo, the Shark God
The Glass Mountain (film)
Dance of Fire (film)
The Pearlers
Navajo Trail Raiders
Thirst (1949 film)
El Gran campeón
Look for the Silver Lining (film)
Somewhere in Politics
The Lady Gambles
Yo maté a Juan Charrasqueado
Encounter at the Elbe
Fuelin' Around
A Woman's Secret
My Friend Irma (film)
Gunasundari Katha
The Duchess of Benameji (film)
The Fan (1949 film)
Follow Me Quietly
The Return of José do Telhado
Jour de Fête
The Threat (film)
Ek Thi Ladki
Ghost of Zorro
Stampede (film)
A Kiss in the Dark
Cover Up (1949 film)
Powder River Rustlers
Golden Madonna
Une si jolie petite plage
Bride of Vengeance
Dos almas en el mundo
Le Point du jour
The Last Illusion
Keep an Eye on Amelia
Kursi al-I`tiraf
Girls in Gingham
That Luzmela Girl (film)
La otra y yo
From Man to Man
My Own True Love
Vazhkai
I Like Only You
Make Mine Laughs
Mighty Joe Young (1949 film)
Un Pecado Por Mes
The Big Cat (film)
La dama del collar
The Fighting O'Flynn
Floodtide
The Kissing Bandit (film)
Mana Desam
The Fighting Redhead
South of St. Louis
East Side, West Side (1949 film)
Andaz (1949 film)
Hello, Fraulein!
The Passionate Friends
Traveller's Joy
Too Late for Tears
Outpost in Morocco
Radar Patrol vs. Spy King
Task Force (film)
The Gay Amigo
Canta y no llores...
Champion (1949 film)
Madame Bovary (1949 film)
The Wolf of the Sila
Yes Sir, That's My Baby (film)
Barsaat (1949 film)
Bicycle Thieves
We Want a Child!
Samson and Delilah (1949 film)
William Tell (1949 film)
Lost Boundaries
Rope of Sand
Encounter with Werther
Una Gallega en México
Sicilian Uprising
A Kingdom For a Horse
Twelve O'Clock High
Happy Flight (1949 film)
The Detective Goes the Wrong Way
C-Man (film)
It Happens Every Spring
Warning to Wantons
Avivato
Al-Yateematain
Nallathambi
Malaya (film)
The Window
Jeevitham (1950 film)
Port of New York (film)
The Case of Charles Peace
It's Not Cricket (1949 film)
Paper Orchid
Daughter of the Jungle
The Captain from Loyola
The Girl from Jones Beach
Dick Barton Strikes Back
Mission in Tangier
Blood of the Beasts
I Was a Male War Bride
A Dangerous Profession
Miss Pilgrim's Progress
The Stratton Story
Begone Dull Care
The Interrupted Journey
Miss Grant Takes Richmond
Heaven over the Marshes
Into the Straight
Malice in the Palace
The Farm of Seven Sins
Holiday Affair
The Great Sinner
Kind Hearts and Coronets
Mrs. Mike (film)
Tulsa (film)
Laila Majnu (1949 film)
Never Fear
Bagdad (film)
Two Knights from Brooklyn
Apna Desh (1949 film)
Chinatown at Midnight
The Huggetts Abroad
Yo quiero ser hombre
Bari Behen
Lies of Love
The Devil's Sleep
Song of Surrender
Alarm Bells (film)
Miss Mink of 1949
They Always Return at Dawn
Always Leave Them Laughing
Fighting Man of the Plains
By the Sweat of Your Brow
Aaltoska orkaniseeraa
Signorinella
Prince of Foxes (film)
Category:Lists of 1949 films by country or language
