The Big Bankroll
Raising the Wind (1961 film)
The Last of the Vikings
Information Received
Please, Not Now!
Sabarimala Ayyappan
An Angel Has Arrived
The Return of Doctor Mabuse
Vacations in Acapulco
My Friend, Kolka!
The Naked Edge
Vagdanam
One-Eyed Jacks
A French Mistress
Tres Romeos y una Julieta
The Great Heroes
Do Raste
Do Raste Pakistani Movie
Liar Wanted
The Forger of London
The Best of Enemies
The Flight that Disappeared
Angel Baby (1961 film)
Jab Pyar Kisi Se Hota Hai
Gun Street (film)
Come September
Yasak Aşk
Kaiwara Mahathme
Breakfast at Tiffany's (film)
Quinto año nacional
During One Night
Chronicle of Flaming Years
Hledá se táta
You Have to Run Fast
Snow White and the Three Stooges
The Dead One (1961 film)
Drei Mann in einem Boot
Marines, Let's Go
The Secret Ways
The Lions Are Loose
Arappavan
The Two Marshals
The Game of Truth
O skliros andras
20,000 Eyes
The Musketeers (film)
Marco Polo (1961 film)
A Woman Is a Woman
Das Riesenrad
Man with a Shotgun
The Silent Hedonist
Teenagers (film)
On the Double (film)
Rebel Without Claws
The Clue of the New Pin (1961 film)
Shola Aur Shabnam (1961 film)
Kurulu Bedda
The Trojan Horse (film)
Mariandl
The Last Hungry Cat
Det store varpet
Sua Eccellenza si fermò a mangiare
The Sins of Rachel Cade
Too Late Blues
Jack the Giant Killer
Seniman Bujang Lapok
Everyman (film)
Five Minutes to Live
Pecado de amor
Voyage to the Bottom of the Sea
X-15 (film)
Strip Tease Murder
Teen Kanya
The Murder Men (film)
Sanctuary (1961 film)
Raja Satyavrata
Sampoorna Ramayana
Puteri Gunong Ledang (film)
Far til fire med fuld musik
The Dead Eyes of London
The President (1961 film)
El analfabeto
Valley of the Dragons (1961 film)
The Hellfire Club (film)
A Flower of Evil
Savage Guns (1961 film)
Christmas Rathri
Mary Had a Little...
Wild in the Country
Martin in the Clouds
The Connection (1961 film)
The Three Musketeers (1961 film)
Thaai Sollai Thattadhe
Wings of Chance
The Snake Woman
Aquamania
La Belle Américaine
Gold of the Seven Saints
Spare the Rod
The Kitchen (1961 film)
Five Golden Hours
The Singer Not the Song
The Long Rope (film)
That Forward Center Died at Dawn
Mąż swojej żony
Unniyarcha (film)
De Laatste Passagier
The Misfits (film)
King of Kings (1961 film)
What a Whopper
Mouse into Space
Léon Morin, Priest
Tintin and the Golden Fleece
The Breaking Point (1961 film)
The Children's Hour (film)
Flower Drum Song (film)
Three Blondes in His Life
Pirate of the Black Hawk
Only the Wind
Some Like It Cool
Marutha Nattu Veeran
Ursus (film)
Petticoat Pirates
The Long and the Short and the Tall (film)
Leoni al sole
All Hands on Deck (film)
Boy Who Caught a Crook
The Gentle Terror
A Thunder of Drums
Man-Trap
Tremor (film)
What a Carve Up! (film)
Night Without Pity
The Houseguest and My Mother
Guddi (1961 film)
The Bacchantes (film)
The Man in the Back Seat
El caballo blanco (film)
The Roman Spring of Mrs. Stone
Flame in the Streets
Sri Valli (1961 film)
The Explosive Generation
The Vengeance of Ursus
The Honeymoon Machine
Jhinder Bandi
Atlas (film)
Sabaash Mapillai
Peters baby
Guantes de oro
Usha Parinayam
Tomboy and the Champ
Young People (1961 film)
The Canadians (1961 film)
The Lovemakers (film)
Breaking the Language Barrier
At Five O'Clock in the Afternoon
Two Rode Together
Sword of the Conqueror
Masam Masam Manis
Immortal Love
A Revolutionary Family
The Salonika Terrorists
The Scarlet Dove
Gold of Rome
Eve and the Handyman
Offbeat (film)
Totò, Peppino e... la dolce vita
Taste of Fear
Two Wives at One Wedding
Romanoff and Juliet (film)
Blast of Silence
Auguste (film)
Clear Skies (film)
Look in Any Window
Season in Salzburg (1961 film)
The Young Savages
The Curse of the Werewolf
The Fiercest Heart
A Cold Wind in August
The Purple Hills
Atlantis, the Lost Continent
Mothra (film)
Nefertiti, Queen of the Nile
Watch it, Sailor!
The Big Show (1961 film)
The Happy Thieves
Seven Women from Hell
Gharana (1961 film)
La Notte
La colpa e la pena
Vechera na khutore bliz Dikanki
Palum Pazhamum
Babes in Toyland (1961 film)
Duel of Champions
The Mishap
Manapanthal
Rabindranath Tagore (film)
Fury at Smugglers' Bay
Girl with a Suitcase
And Love Has Vanished
Return to Peyton Place (film)
Category:Lists of 1961 films by country or language
On the Tiger's Back
Libertad bajo palabra
Poeten og Lillemor i forårshumør
Tres de la Cruz Roja
Underworld U.S.A.
Støv på hjernen (1961 film)
Gorgo (film)
House of Mystery (1961 film)
Hercules and the Conquest of Atlantis
A Song About the Gray Pigeon
Bridge to the Sun
A Story of David
Accattone
Nude in Charcoal
The Silent Call
Good Night, My Love
Ring of Fire (1961 film)
Nebeski odred
Town Without Pity
Wandering Detective: Black Wind in the Harbor
Judgment at Nuremberg
Velugu Needalu
The Story of Joseph and His Brethren
Harry and the Butler
Ada (film)
The Thief of Bagdad (1961 film)
La Tutf'e al-Shams
Aas Ka Panchhi
The Errand Boy
Kappalottiya Thamizhan
The Curse of the Crying Woman
Wise Guys (1961 film)
Le cave se rebiffe
Rag Doll (film)
Everything's Ducky
Havoc in Heaven
Punar Jenmam
Garibaldi (film)
Debatik (film)
Dersu Uzala (1961 film)
Two Living, One Dead
Blueprint for Robbery
A Raisin in the Sun (1961 film)
Black Tights
The Young Doctors (film)
Panithirai
Prey for the Shadows
Triumph of the Son of Hercules
Dancing in the Rain (film)
The Tartars
Captain Fracasse
Thirudadhe
Battle at Bloody Beach
Madame (1961 film)
Una Americana en Buenos Aires
Sreća dolazi u 9
Dangerous Afternoon
Misty (film)
A Matter of Morals
The Marriage of Mr. Mississippi
Bankraub in der Rue Latour
The Choppers
The Devil's Messenger
The Terror of the Tongs
Fanny (1961 film)
Fate Takes a Hand
Le Tracassin
Hamlet (1961 film)
Nikki, Wild Dog of the North
The Colossus of Rhodes (film)
Nazrana (1961 film)
The Mongols (film)
The Liar (1961 film)
Chronique d'un été
Payroll (film)
The Emperor's New Clothes (1961 film)
World in My Pocket
Pit of Darkness
Wife Number 13
Claudelle Inglish
Night Tide
Don Camillo: Monsignor
Then Nilavu
Johnny Nobody
The Little Shepherd of Kingdom Come
La Maestra enamorada
The Seven Revenges
By Love Possessed (film)
Psycosissimo
The Girls (1961 film)
Terminus (1961 film)
A Train Leaves in Every Hour
Striped Trip
Rebelde con causa
The Romance of a Gaucho (film)
Down and Outing
Old Mac
The Second Time Around (film)
On the Fiddle
April (1961 film)
White Slave Ship
Santo Contra los Zombis
The Centurion (film)
Via Mala (1961 film)
The Man in Gray
The Innocents (1961 film)
Three Faces of Sin
The Curse of the Doll People
The Downhill
The Pleasure of His Company
When the Clock Strikes
Vanina Vanini (film)
Jnaanasundari
Igre na skelama
The Red Detachment of Women (1961 film)
Usha Parinayam (1961 film)
Little Presents
The Knife (film)
The Two Little Bears
Anatomy of a Psycho
Tiro al piccione
Der Arzt von Bothenow
Amorina
Arasilangkumari
Le Gros et le Maigre
The Assassin (1961 film)
L'onorata società
Santo contra el cerebro del mal
The Great Impostor
Greyfriars Bobby (film)
Secret of Deep Harbor
Tonight a City Will Die
We Were Young
The Dress (1961 film)
Kauf dir einen bunten Luftballon
Komal Gandhar
Invasion of the Neptune Men
Armored Command
The Miracle of Father Malachia
The Dream of Lieschen Mueller
Guns of the Black Witch
The Ladies Man
Plácido (film)
Professor Mamlock (1961 film)
Bhabhi Ki Chudiyan
The Last Judgment (1961 film)
Ssaki
Pava Mannippu
Bootleggers (1961 film)
Il Posto
The Girl on the Boat (film)
Hercules in the Valley of Woe
Black Gravel
The Absent-Minded Professor
The Abominable Snow Rabbit
Doctor Blood's Coffin
The Wonders of Aladdin
No My Darling Daughter
Girl on Approval
Gidget Goes Hawaiian
The Story of Osaka Castle
Seven Keys (film)
The Sinister Urge (film)
Pirates of Tortuga
Flight of the Lost Balloon
Madison Avenue (film)
A Touch of Magic
Viridiana
Don't Bother to Knock (1961 film)
Bhakta Kuchela (1961 film)
Creature from the Haunted Sea
Project Hope (film)
Enter Inspector Duval
The Hoodlum Priest
Hey, Let's Twist!
Enclosure (film)
Teenage Millionaire
The Trunk
Two Loves
Category:1961 horror films
Werewolf in a Girls' Dormitory
Never Back Losers
Nude on the Moon
Puss in Boots (1961 film)
Reptilicus
A Taste of Honey (film)
Bachelor in Paradise (film)
Question 7
Tu ne tueras point
The Key (1961 film)
Kaanal Neer
Slave of Rome
Flitterwochen ohne Ehemann
Darclee
Rzeczywistość (film)
Allures (film)
Ánimas Trujano (film)
The Shadow of the Cat
Out of the Shadow (1961 film)
Mr. India (1961 film)
Daigaku no Wakadaishō
The Long Absence
Very Important Person (film)
Paris Belongs to Us
So Evil, So Young
Ghosts of Rome
Tonight or Never (1961 film)
The Right Approach
Nagarjuna (film)
Fire and Ashes (film)
Sudar na paralelama
The Outsider (1961 film)
Wandering Detective: Tragedy in Red Valley
Bloodlust!
The Hustler (film)
Mr. Topaze
The Hellions (film)
The Passionate Demons
The Magic Fountain
A Matter of WHO
When the Trees Were Tall
The Devil's Daffodil
The Last Time I Saw Archie
Patricia mía
Day by Day, Desperately
Le ambiziose
Pigs and Battleships
The Big Gamble (1961 film)
Paris Blues
Robert and Bertram (1961 film)
Zabak
The Deadly Companions
The Cossacks (1961 film)
Juana Gallo
Akiko (film)
The Marriage-Go-Round
Girl from Hong Kong
Golden Gloves (1961 film)
I Will Not Confess
Posse from Hell
Die Liebe und der Co-Pilot
Category:1961 animated films
Maciste alla corte del Gran Khan
Ursus in the Valley of the Lions
Woe to the Young
Murder in Eden (film)
A Difficult Life
Totòtruffa 62
The Gambler Wore a Gun
Over the Odds
Jagadeka Veeruni Katha
The Secret Partner
Napoléon II l'Aiglon
Surogat
Category:1961 television films
Back Street (1961 film)
Bad Boys (1961 film)
Pustolov pred vratima
Pocketful of Miracles
I Like Mike (film)
The Young Ones (1961 film)
Kaasua, komisario Palmu!
Susan Slade
Y el cuerpo sigue aguantando
Mr. Sardonicus
Summer and Smoke (film)
Splendor in the Grass
Exo oi kleftes
Cash on Demand
Seviştiğimiz Günler
Behind Closed Doors (1961 film)
Ljuvlig är sommarnatten
A Man Named Rocca
Something Wild (1961 film)
Parinam (1961 film)
The Day the Earth Caught Fire
Le Miracle des loups (1961 film)
The First Mass
Alba Regia (film)
Potraga za zmajem
My Wedding Night
Akō Rōshi (1961 film)
Ten Dark Women
The Shadows Grow Longer
Sennin Buraku
The Devil at 4 O'Clock
¡Suicídate, mi amor!
Three on a Spree
Freddy and the Millionaire
A Day for Lionhearts
Touch of Death (1961 film)
Twist Around the Clock
The Clown and the Kid
Middle Course
La Princesse de Clèves (film)
The Corsican Brothers (1961 film)
The Orderly (1961 film)
Parrish (film)
The Gleiwitz Case
Lunch Hour
Kittur Chennamma (film)
Memdidi
The Beast of Yucca Flats
Nothing Barred
From a Roman Balcony
My Baby is Black
Black Silk
Divorce Italian Style
Samson (1961 Polish film)
Hum Dono (1961 film)
Chhaya (film)
One, Two, Three
The Children of Golzow
The Pit and the Pendulum (1961 film)
Wrestling (1961 film)
The Exiles (1961 film)
The Continental Twist
Pohádka o staré tramvaji
Sri Shaila Mahathme
Very Nice, Very Nice
Barabbas (1961 film)
The Phantom Planet
The Mask (1961 film)
Romulus and the Sabines
The Wastrel
The Queen's Guards (film)
A Weekend with Lulu
The Guns of Navarone (film)
Naked as Nature Intended
The Cat and the Canary (1961 film)
Seetarama Kalyanam
Mudiyanaya Puthran
Mole Men Against the Son of Hercules
Bussen (film)
Nearly a Nasty Accident
Battle of the Worlds
Scarlet Sails (film)
Famous Love Affairs
Bomb in the High Street
The Wind of Change (film)
Yojimbo (film)
Los Inundados
Bhakta Cheta
The Fabulous Baron Munchausen
Wakadaishō series
Gunga Jumna
Freckles (1960 film)
Maciste nella terra dei ciclopi
The Count of Monte Cristo (1961 film)
The Frightened City
Mine tossede drenge
Maciste contro il vampiro
Junglee
Return of a Stranger (1961 film)
The Sinister Man
A Fever in the Blood
Veliko suđenje
The Steel Claw (film)
A Majority of One (film)
Part-Time Wife
The Impersonator
Auf Wiedersehen (film)
Erik the Conqueror
The Sergeant Was a Lady
Kabuliwala (1961 film)
The Pleasure Garden (1961 film)
Portrait of a Mobster
The Comancheros (film)
La Novia
My Husband, the Economic Miracle
The Strange Countess
La Fayette (film)
To exypno pouli
The Army Game (film)
A Bomb Was Stolen
The Grand Olympics
Sail a Crooked Ship
The Joy of Living
Fiend of Dope Island
The Long Shadow (film)
Carry On Regardless
Frontier Uprising
The Giant of Metropolis
Lover Come Back (1961 film)
Bungala Boys
All in a Night's Work (film)
Thirst (1961 film)
Alphabet of Fear
Antigone (film)
Don Frutos Gómez
Ramona (1961 film)
Goliath Against the Giants
Francis of Assisi (film)
Nelly's Folly
Kahl (film)
Girl in the Window
The George Raft Story
The Moises Padilla Story
Peace to Him Who Enters
Dans l'eau qui fait des bulles
Victim (1961 film)
The Rebel (1961 film)
Invasion Quartet
The Naked Witch
Operation Bottleneck
The London Scene (film)
The Third Alibi
Nallavan Vazhvan
Vijayanagarada Veeraputhra
Love in a Goldfish Bowl
Batasari
Oh Islam
Kantheredu Nodu
Ummini Thanka
The Last War (1961 film)
Diary of a Nudist
Dharmputra
