The Mirror Crack'd
A paso de cojo
Mupperum Deviyar
The Orchard End Murder
Night of the Juggler
Chandrahaasam
The Day Christ Died
Aasha (1980 film)
Anbe Odi Vaa
Bombay 405 Miles
Tanya's Island
Terror Train
Atlantic City (1980 film)
Union City (film)
The Jayne Mansfield Story
Choron Ki Baaraat
Alludu Pattina Bharatam
Así No Hay Cama Que Aguante
Devil Hunter (film)
Willie & Phil
Everything Happens to Me (1980 film)
The Horse of Pride
Taxi Chor
The Fiancee (film)
Cserepek
Frozen Scream
Thaliritta Kinakkal
The Degraded
Aayusu Nooru
Rishi Moolam
The Wildcats of St Trinian's
Altered States
Unfinished Supper
There Goes the Bride (1980 film)
Vilkkanundu Swapnangal
Exit Sunset Boulevard
Do Premee
The Idolmaker
Kochu Kochu Thettukal
Adhikaram
Toxic Zombies
Son of Man (1980 film)
Anand (1987 film)
1958 (film)
La liceale al mare con l'amica di papà
The Shining (film)
Divine Madness (film)
Love Brewed in the African Pot
Fatty Finn (film)
Werner Herzog Eats His Shoe
Kabut Sutra Ungu
The Magnificent Kick
The Long Days of Summer
Love in First Class
Chhutir Ghonta
It's My Turn (film)
Portrait of the Artist as a Young Bunny
Action (1980 film)
Cheech & Chong's Next Movie
Inspector Blunder
Fantozzi contro tutti
Morning Undersea
Sunday Lovers
Oru Varsham Oru Maasam
Vai Pandal
Theeram Thedunnavar
Rape and Marriage: The Rideout Case
I'm Getting a Yacht
Yari Dushmani
Shiki Natsuko
Escape from Hell (1980 film)
Qua la mano
The Psychotronic Man
Paalattu Kunjikannan
The Dogs of War (film)
My Bodyguard
Ladies' Choice (film)
Dui Prithibi
The Master (1980 film)
Ek Gunah Aur Sahi
The Hearse
The Big Red One
Moodu Pani
Mizhineerppoovukal
Disciples of Hippocrates
American Gigolo
In God We Tru$t
The Moth (1980 film)
Makara Vilakku (film)
Ab Ayega Mazaa
All Things Pass
The Last Witness (1980 film)
The First Deadly Sin
Bebbuli
Nijangal Nilaikkindrana
Scared to Death (1981 film)
The Gadfly (1980 film)
Girls (1980 film)
Halaal Ki Kamai
The Dollar Bottom
Albert Pinto Ko Gussa Kyoon Aata Hai
Legend of Tianyun Mountain
The Heiresses
Kill or Be Killed (film)
So Feared a Hell
Angadi (film)
Le bar du téléphone
Bare Behind Bars
Takkar (1980 film)
Loving Couples (1980 film)
Why Would I Lie?
Kottapeta Rowdy
Vandichakkaram
Makkala Sainya
Rosa de lejos
Schizoid (film)
A Praga
Can't Stop the Music
Arrebato
Khoj (1989 film)
Mosagadu
The Fog
Teddy Bear (1980 film)
Kai Veesamma Kai Veesu
L'avare (film)
Wholly Moses!
One-Trick Pony (film)
Middle Age Crazy
Down Where The Buffalo Go
Aakhri Insaaf
The Long Riders
Belønningen
The King and the Mockingbird
My Native Land (film)
Maedeli la brèche
Chaakara (film)
Hey Babe!
Departmental
Tendres Cousines
Without Warning (1980 film)
Shogun Assassin
Auto Raja
Aagamanam
Little Lord Fauntleroy (1980 film)
Bon Voyage, Charlie Brown (and Don't Come Back!!)
Shishirathil Oru Vasantham
The Hit (1981 film)
Ambigai Neril Vanthaal
Nakaw na pag-ibig
Phobia (film)
The Blue-Eyed Bandit
The Missing Link (film)
Koto (film)
The Cricket (film)
Silent Scream (1980 film)
It's the Same World
The Blood of Hussain
Arme, syndige menneske
The Scarlett O'Hara War
Locos por la música
When Time Ran Out
Haddina Kannu
The Jazz Singer (1980 film)
To All a Goodnight
The Raven's Dance
Hawk the Slayer
Heart Beat (film)
Je vous aime
Contraband (1980 film)
Departamento compartido
Navajeros
Días de ilusión
Saboot
The Nude Bomb
Chinnamanikkuyile
Kulla Kulli
Queridas amigas
Más allá de la aventura
Manjal Nila
The Return of the King (1980 film)
Simon (1980 film)
Janma Janmada Anubandha
Zigeunerweisen (film)
Battle Beyond the Stars
Manifestations of Shiva
The Sleep of Death
36 Deadly Styles
Loose Shoes
Shadow Warriors (TV series)
Malankattu
Thaye Neeye Thunai
The World of Strawberry Shortcake
Karl Hess: Toward Liberty
Palm Beach (film)
Kaalam (1981 film)
Bruce's Fist of Vengeance
The Youth of Peter the Great
Marmalade Revolution
Rhubarb Rhubarb
Kali Ghata (1980 film)
The Pilot (film)
Coal Miner's Daughter (film)
The Hidden Hero
Paul Jacobs and the Nuclear Gang
January 1 (1984 film)
Ellindalo Bandavaru
C'est pas moi, c'est lui
Sakthi (1980 film)
Rama Parushurama
Cannibal Apocalypse
Ilamai Kolam
Hridhayam Paadunnu
Crazy Crooks
Mother's Day (1980 film)
Arising from the Surface
Head On (1980 film)
Touched by Love
Oru Thalai Ragam
Klondike Fever
Who's Singin' Over There?
To Love the Damned
Alien Dead
L'insegnante al mare con tutta la classe
Velicham
Komberi Mookan
Tom Horn (film)
Operación Comando
Eagle's Wing
Stir (film)
Inimai Idho Idho
Kagemusha
Vi hade i alla fall tur med vädret
Kootu Puzhukkal
Nattuchakkeruttu
The Yellow Star: The Persecution of the Jews in Europe 1933-45
Nijinsky (film)
Ilamai Kaalangal
Natchathiram
Cardiac Arrest (film)
Comandos azules
Lightning Over Water
Nightmare City
Devi Dharisanam
Ivar (1980 film)
Ammayum Makalum
Ram Robert Rahim
The Coffin Affair
On Fertile Lands
Delitto a Porta Romana
Mangala Nayagi
Christmas Evil
The Man with the Carnation
Nothing Personal (1980 film)
Hide in Plain Sight
Aap To Aise Na The
Lorry (film)
Comandos azules en acción
Karz (film)
Girl with the Golden Panties
Avan Oru Ahankaari
Mela (1980 film)
Ival Eevazhi Ithu Vare
The Eruption of Mount St. Helens!
Honeysuckle Rose (film)
Prázdniny pro psa
Yamanukku Yaman
Raaja Raajathan
Minchina Ota (1980 film)
The Spooky Bunch
The Crime of Cuenca
Khubsoorat
Bandish (film)
The Sun Moon Legend
La ripetente fa l'occhietto al preside
A Fine, Windy Day
Alaya Deepam
Southern Crossing (film)
Jupiter's Thigh
Ganga Addara
Chu Liu Hsiang and Hu Tieh Hua
The Courage of Kavik the Wolf Dog
Mayadari Krishnudu
Vedikkettu
Smokey and the Bandit II
Thadaakam
Dedicatoria
I'm Photogenic
Saranam Ayyappa
The Candidate (1980 film)
Downtown 81
Panchapandavar
Baddegama (film)
The Legend of Sleepy Hollow (1980 film)
Der Preis fürs Überleben
Windows (film)
Gates of Heaven
Johnny (1980 film)
The Chain Reaction
Everlasting Chivalry
Out of the Blue (1980 film)
Erotic Nights of the Living Dead
Monster (1980 film)
2 Champions of Shaolin
Soorya Daaham
Kadalkkaattu
The Fiendish Plot of Dr. Fu Manchu
Sällskapsresan
Days of Dreams
Naan Potta Savaal
The Latin Immigrant
La moglie in bianco... l'amante al pepe
The Mountain Men
Vrijdag
Three Monks
Los Hijos de López
From the Life of the Marionettes
Brubaker
Pixote
The Burning Train
Fame (1980 film)
Dream Lovers
Thangachi
Challenger: An Industrial Romance
Saturn 3
Palermo or Wolfsburg
Humanoids from the Deep
Ishtamanu Pakshe
Urban Cowboy
By Hook or by Crook (1980 film)
Barefoot Gen Part 3: Battle of Hiroshima
Sparsh (film)
Rajaneegandhi
Die Laughing (film)
Zombie Holocaust
Life and Death (film)
Prakriti Manohari
Fantastica (film)
Car-napping
Meen (film)
La terrazza
Naayattu
Cocktail Molotov
La pagella
Gary Cooper, Who Art in Heaven
Kari Puranda Jeevithangal
Maria, My Darling (1980 Kannada film)
The Naxalites
Viens chez moi, j'habite chez une copine
La Boum
Antropophagus
Jari Bidda Jana
Yūgure made
Manjil Virinja Pookkal
Anbukku Naan Adimai
Stone Cold Dead
Mogudu Kaavali
Manila by Night
Airplane!
Kumari Pennin Ullathile
Ravichandra
Ullasa Paravaigal
Germany, Pale Mother
Defiance (1980 film)
Motel Hell
Reunion (1980 film)
Maniac (1980 film)
Alai Payum Nenjangal
Aarani Mantalu
Akaler Shandhaney
Payal Ki Jhankaar
Danger on Dartmoor
Special Treatment
We're Going to Eat You
The Hunter (1980 film)
Dead Man's Float
Fontamara (film)
Prostitute (film)
The Iron Hand of the Mafia
Jadup and Boel
Clan of the White Lotus
The Diary of Anne Frank (1980 film)
The Return (1980 film)
Hopscotch (film)
Aayiram Kannudayaal
Silver Dream Racer
Bangarada Jinke
AC/DC: Let There Be Rock
Gilda Live
Punnami Naagu
Alien Terror (film)
Manjina There
The Man with Bogart's Face
Silk Silk Silk
Neeyat (film)
Ananda Aradhanai
Thaimel Aanai
Shōgun (miniseries)
Thodisi Bewafaii
My Mother is Arb
Category:1980 direct-to-video films
Borrowing Matchsticks
New Year's Evil (film)
The Age of the Earth
George and Mildred (film)
Macabre (1980 film)
Headin' for Broadway
Nenjathai Killathe (1980 film)
9 to 5 (film)
The Attic (1980 film)
Hangar 18 (film)
Akalangalil Abhayam
Maria, My Darling (1980 Tamil film)
The Thin Line
Mr. Michael
Gramathu Athiyayam
Kanavugal Karpanaigal
Category:1980 horror films
Za trnkovým keřem
Guyana Tragedy: The Story of Jim Jones
Rockshow
Shalini Ente Koottukari
Karimpana
Nishana (1980 film)
Fighting Back: The Rocky Bleier Story
Hank Williams: The Show He Never Gave
Romance on Lushan Mountain
Seems Like Old Times (film)
Breaker Morant (film)
Any Which Way You Can
Kuttravali
The Monster Club
Rusi Kanda Poonai
Cruising (film)
Death Watch
Cute Girl
Frutilla
In the Pope's Eye
Dharma Raja (film)
Il Bisbetico Domato
Doorathu Idi Muzhakkam
La locandiera (film)
Those Lips, Those Eyes
Temptation Island (1980 film)
The Awakening (1980 film)
Kaalinga
He Knows You're Alone
Three Lederhosen in St. Tropez
Jaisi Karni Waisi Bharnii
The Beast to Die
Nenjathai Allitha
The Umbrella Coup
Crocodile (1980 film)
Dwik Vijayam
Swattu
Do Not Shoot at White Swans
Ponnagaram
Il lupo e l'agnello
The Warning (1980 film)
Galaxina
Category:1980 animated films
Bad Company (1980 film)
The Gong Show Movie
