Looking for Langston
An Innocent Man (film)
Twisted Obsession
Mazhavilkavadi
Relentless (1989 film)
Hit List (1989 film)
Aag Se Khelenge
Things (film)
Hajen som visste för mycket
Why Has Bodhi-Dharma Left for the East?
Evenings (film)
Ore Oru Gramathiley
Signs of Life (1989 film)
How Dark the Nights Are on the Black Sea
Chokher Aloy
Pheri Bhetaula
Candy Regentag
Kindari Jogi
Aviya's Summer
Catch Me If You Can (1989 film)
The Blasphemers' Banquet
Maharajavu
Pongi Varum Kaveri
Doctor Krishna
Blades (film)
Jurrat (film)
Crocodile Hunter (film)
Molester's Train: Get on from the Back!
Hider in the House (1989 film)
Tujhe Nahin Chhodunga
Do the Right Thing
Hisaab Khoon Ka
Rajadhi Raja (1989 film)
Margarit and Margarita
Loverboy (1989 film)
Paint It Black (film)
Parlons Grand-mère
Thunderground
Bagh Bahadur
Batwara
Big Man on Campus
The Abyss
Shag (film)
Category:1989 direct-to-video films
Another Chance (film)
Dazzling Dunks and Basketball Bloopers
How to Get Ahead in Advertising
Far from Home (1989 film)
Dark Tower (1987 film)
Last Exit to Brooklyn (film)
Vampire's Kiss
How to Make Love to a Negro Without Getting Tired
Eat a Bowl of Tea (film)
Music Box (film)
Poo Manam
Happy Together (1989 American film)
Mil Gayee Manzil Mujhe
Roger & Me
Savage Beach
Deep Blood
Dead Poets Society
Hongkongnalli Agent Amar
Kalat Nakalat
The Package (1989 film)
Category:1989 animated films
Bloodhounds of Broadway (1989 film)
Karunguyil Kundram
Little Nemo: Adventures in Slumberland
Guru (1989 film)
Roger Rabbit short films
Vetri Vizha
Crystal or Ash, Fire or Wind, as Long as It's Love
Vashyamanthram
Parinda
Best of the Best (1989 film)
The Fly II
The Cook, the Thief, His Wife & Her Lover
Ashi Hi Banwa Banwi
Immediate Family (film)
Samsara: Death and Rebirth in Cambodia
Crimes and Misdemeanors
Kireedam (1989 film)
Those Who Pay With Their Lives
Marhi Da Deeva (1989 film)
Wild Search
Ashokante Aswathikuttikku
Violent Cop (1989 film)
Trenchcoat in Paradise
Dad (film)
Lal Americayil
Coming Out (1989 film)
Jai Karnataka
Diamond Skulls
I, Madman
Ureme 6
Pooram (film)
Waller's Last Trip
Torrents of Spring (film)
The Adventures of Baron Munchausen
Breaking In
Kasam Suhaag Ki
Recollections of the Yellow House
Nair Saab
Chanakyan
Histoire(s) du cinéma
Ninaivu Chinnam
Under the Boardwalk (film)
Enemies, A Love Story (film)
Saturday's Warrior (film)
The 15 Year Old Girl
Granpa
Ninja Academy
Fortress of Amerikkka
The Boys in the Island
Rosalie Goes Shopping
The Big Picture (1989 film)
Jagratha
Balance (1989 film)
Vaai Kozhuppu
Herdsmen of the Sun
Triumph of the Spirit
Hell's Bells: The Dangers of Rock 'N' Roll
Nafrat Ki Aandhi
Ulsavapittennu
Slipstream (1989 film)
Unni (1989 film)
Deceit (1989 film)
Pet Sematary (film)
Blood and Sand (1989 film)
Sutradharulu
Pestalozzi's Mountain
Tripwire (film)
Mathilukal (film)
Ashoka Chakravarthy
Night Life (film)
Eye of the Eagle 2: Inside the Enemy
The Making of Me
I ragazzi di via Panisperna
Oru Vadakkan Veeragatha
The Dead Next Door
Do Qaidi
The Tenth One in Hiding
Ilaaka
Bajarse al moro
Fatal Vacation
Ghosts Can't Do It
Beverly Hills Brats
Malpractice (film)
Cheetah (1989 film)
Muthukkudayum Choodi
Manasukketha Maharasa
Chimère (film)
Taaqatwar
Kamillions
The Expendables (2000 film)
Hard to Be a God (1989 film)
Caged Fury (1989 film)
Tarka (film)
De Kassière
Wizards of the Lost Kingdom 2
When Harry Met Sally...
Going Overboard
Eight Taels of Gold
Idhu Unga Kudumbam
Naag Nagin
Ghostbusters II
Joan of Arc of Mongolia
Black Rain (1989 American film)
Dasharatham
The Last Ferry
Speaking Parts
Girlfriend from Hell
50 ans
Criminal Law (film)
Mahaadev (1989 film)
Crusoe (film)
The Horror Show
The Paper Wedding
Psycho Cop
The Flight of the Dove
Alexandria Again and Forever
Nagai Go no Kowai Zone: Kaiki
Homework (1989 film)
Life Is Cheap... But Toilet Paper Is Expensive
Siva (1989 Telugu film)
Thadavarayile Rajakkanmaar
Miss Pameela
Galiyon Ka Badshah (1989 film)
Lo que le Pasó a Santiago
Twister (1989 film)
Gurudevan (film)
Rathi (film)
Indrajith (1989 film)
Tale of Two Sisters
Tong Tana
Alicinte Anveshanam
Erik the Viking
Let It Ride (film)
Imagining America
Chinnappadass
Kiki's Delivery Service
Winter People
The Rainbow (film)
Apne Begaane
See No Evil, Hear No Evil
Moon Child (1989 film)
Anjaane Rishte
Amar Prem (1989 film)
A Princesa Xuxa e os Trapalhões
Juke-Bar
Little Misunderstandings
Cage (film)
Rajanadai
Family Business (film)
Who Shot Patakango?
Batman (1989 film)
Rathibhaavam
Attaku Yamudu Ammayiki Mogudu
Perdues dans New York
Meri Zabaan
Vážení přátelé, ano
Sea of Love (film)
The Beauty of the Alhambra
Mujrim
Les Maris, les Femmes, les Amants
Killer Crocodile
Fight for Us
Monsieur Hire
Nishane Baazi
Enga Ooru Mappillai
Before the Bat's Flight Is Done
Dav Pech
Étoile (film)
Damned River
La Ofrenda
Red Riding Hood (1989 film)
My Heart Is That Eternal Rose
Powwow Highway
Triads: The Inside Story
Kornblumenblau
Agni (1989 film)
Desh Ke Dushman
Born to Fight (1989 film)
Narcosatánicos Asesinos
Esquilache
Passion and Paradise
Gagana (film)
Freeze Die Come to Life
Arena (1989 film)
En Purushanthaan Enakku Mattumthaan
Return from the River Kwai
Sentenced to Death (film)
Clownhouse
Slunce, seno a pár facek
Wired (film)
Hrudaya Geethe
Riding the Edge
Kala Bazaar
Bahaar Aane Tak
Alienator
Fancy Dance (manga)
Bill & Ted's Excellent Adventure
Kunjikoonan (1989 film)
The Striker with Number 9
Ghair Khanooni
Tap (film)
Swagatham (1989 film)
Intergirl
Always (1989 film)
O Sangue
Mangetsu no Kuchizuke
Kasam Vardi Ki
Great Balls of Fire! (film)
Mohabat Ka Paigham
The First Time Is the Last Time
Lover Boy (film)
Leningrad Cowboys Go America
Aayiram Chirakulla Moham
The Johnstown Flood (1989 film)
Happy Together (1989 Hong Kong film)
Night Out (film)
Dark Heritage
84C MoPic
Reunion (1989 film)
Golden Horseshoes
Awara Zindagi
Kanoon Ki Awaaz
Padippura
Chances Are (film)
Khol De Meri Zuban
I Never Been in Vienna
Next of Kin (1989 film)
Merry Christmas... Happy New Year
Thaai Naadu
Nanjundi Kalyana
The Return of Swamp Thing
Nalaya Manithan
Casablanca Express
Bashu, the Little Stranger
Goddess Remembered
The Miracle in Valby
Sinbad of the Seven Seas
The Karate Kid, Part III
Masque of the Red Death (1989 film)
Willy Signori e vengo da lontano
Farewell to False Paradise
Outlaw of Gor
Pillaikkaga
Kuduz
Grand Cinema
Aakhri Badla
Massacre Play
Bert Rigby, You're a Fool
Baby Cakes (film)
Major League (film)
Rio Adio
News Attack
Phantom of the Mall: Eric's Revenge
Douthyam
Fear, Anxiety & Depression
Idu Saadhya
Death of a Tea Master
Khuli Khidki
Lost Angels
A Man Who Liked Funerals
Santosh (film)
That's Black Entertainment
Have You Seen Drum Recently?
Carnivel
Vaadaka Gunda
Main Tera Dushman
Angel Enforcers
That Summer of White Roses
Trust Me (1989 film)
Hathyar (1989 film)
Manika, une vie plus tard
Cutting Class
Charithram
Billoo Badshah
Gharana (1989 film)
Silent Night, Deadly Night 3: Better Watch Out!
A TV Dante
Gummibärchen küßt man nicht
Ontari Poratam
Rudranetra
The Killer (1989 film)
Parenthood (film)
Ek Din Achanak
Dr. Alien
Out Cold (1989 film)
A Visitor to a Museum
Leviathan (1989 film)
Gunhed (film)
Don't Let Them Shoot the Kite
Mind Games (film)
Vijay (1989 film)
Wilt (film)
Oru Sayahnathinte Swapnam
Yawara!
The Sacrament (1989 film)
Na-Insaafi
The Betty Boop Movie Mystery
Nigahen: Nagina Part II
Babar: The Movie
A Sign Days
Meat Love
Puppet Master (film)
Oh Schucks.... It's Schuster!
Spirits of the Air, Gremlins of the Clouds
Kodungallur Bhagavathi
Annakutty Kodambakkam Vilikkunnu
La Ciudad oculta
Who's Harry Crumb?
Meet the Applegates
Wicked Stepmother
A Cry for Help: The Tracey Thurman Story
The Iceman Cometh (1989 film)
Goonj (1989 film)
They Call Me Macho Woman!
Fire and Rain (film)
The Dead Pit
Jake Spanner, Private Eye
Brahmasthram (1989 film)
R.O.T.O.R.
The Forgotten One (film)
Wilde Harten
I'm Almost Not Crazy: John Cassavetes, the Man and His Work
Miracles (1989 film)
Little Golden Book Land
Donator
The Lottery (1989 film)
Transylvania Twist
Breaking Point (1989 film)
Anagha
Le casseur de pierres
Everybody's Baby: The Rescue of Jessica McClure
Do You Know the Muffin Man?
Queen of Hearts (1989 film)
Ramanujacharya (film)
Time to Kill (1989 film)
The Terror Within
I'm from Hollywood
The Favorite
Stepfather II
The Master (1989 film)
Speed Zone
L' Isola alla deriva
Dravidan (1989 film)
Private Access
Chandni
Bloodfist
Long Arm of the Law Part 3
Blowing Hot and Cold
In Country (film)
Devadas
When We Were Young (film)
Fine Food, Fine Pastries, Open 6 to 9
Bilangin ang Bituin sa Langit
Khayal Gatha
The Winter War (film)
Back to the Future Part II
Manidhan Marivittan
Aattinakkare
Marrakech Express
Roadkill (1989 film)
Who Do I Choose?
Glory (1989 film)
Dance of the Damned
Paganini (1989 film)
Swathi Chinukulu
Vettaiyaadu Vilaiyaadu (1989 film)
Der Todesking
Jeevitham Oru Raagam
Black Rain (1989 Japanese film)
Madhuri (film)
Kamilla and the Thief II
Annakili Sonna Kathai
Black Rose Is an Emblem of Sorrow, Red Rose Is an Emblem of Love
Alien Seed
Licence to Kill
Work Experience (film)
Termini Station (film)
Time of Miracles
Kill Me Again
Slaves of New York
Godzilla vs. Biollante
All Dogs Go to Heaven
Desperate for Love
New York Stories
Kaalal Pada
The Little Mermaid (1989 film)
Casualties of War
The House of Clocks
Andru Peytha Mazhaiyil
Santa Sangre
Rojo Amanecer
Dialing for Dingbats
The Bronx Executioner
Paanch Papi
Vadakkunokkiyantram
The Shining Arc
Inventory (film)
Yaaba
Kamla Ki Maut
The Return of the Musketeers
Samsara Sangeetham
Bryllupsfesten
Fat Man and Little Boy
The Trial of the Incredible Hulk
The Dull Ice Flower
Krishna Nee Kunidaga
Just Heroes
Perfect Match (1989 film)
Identity Crisis (film)
The Dream Team (film)
Clerk (1989 film)
Paandi Nattu Thangam
Purani Haveli (film)
V.I.P. (1988 film)
Sweet Home (film)
Brenda Starr (film)
Sundown: The Vampire in Retreat
Varnam (1989 film)
Limit Up (film)
Gandandre Gandu
Inspector Vikram
Her Alibi
She-Devil
Hendthighelbedi
Waltzing Regitze
The Mighty Quinn (film)
Golden Braid
Howling V: The Rebirth
Casino Raiders
Kuro Arirang
Amityville 4: The Evil Escapes
Les Jeux de société
Meet the Hollowheads
Cannibal Women in the Avocado Jungle of Death
Garibon Ka Daata
Rude Awakening (film)
Tango & Cash
Tabataba (film)
Dead Calm (film)
Rikyu (film)
How Hitler Lost the War
Decalogue I
Paattukku Oru Thalaivan
Visions of Ecstasy
Forever Mery
The Sweet House of Horrors
Edge of Sanity (film)
Interrogation (film)
Shehzaade
Mrugaya (1989 film)
Raakh
Bamma Maata Bangaru Baata
Daddy (1989 film)
Ram Lakhan
The Pitfall (1989 film)
The Icicle Thief
Khoj (1989 film)
Prabhatham Chuvanna Theruvil
The Wanderer in Bulgar
Utharam
Glass (1989 film)
Category:1989 horror films
Indiana Jones and the Last Crusade
Kai Veesamma Kai Veesu
American Stories, Food, Family and Philosophy
Dragon Ball Z: Dead Zone
Ivan and Alexandra
The Toxic Avenger Part II
Scenes from the Class Struggle in Beverly Hills
Unconquered (1989 film)
Mudra (1989 film)
Henry V (1989 film)
Khooni Murda
Leedvermaak
Born on the Fourth of July (film)
The Big Bang (1989 film)
Mortacci
Beyond the Sunset
Romero (film)
Adhipan
Skinheads (film)
Second Sight (film)
Blue Steel (1989 film)
Live Hard (film)
A City of Sadness
Worth Winning
Too Beautiful for You
Body Wars
Souten Ki Beti
The Story of Boys & Girls
Kadhal Enum Nadhiyinile
Tora-san, My Uncle
The Fall of Rock and Roll
Marquis (film)
Ancharakkulla Vandi
Future Force (film)
Laser Mission
Apna Desh Paraye Log
Meenakshi Thiruvilayadal
Elaan-E-Jung
Maine Pyar Kiya
Zakham
Steel Magnolias
My Best Pals
UHF (film)
The Delinquents (1989 film)
Uncle Buck
Bloody Brotherhood
Ten Little Indians (1989 film)
Buying Time
Sachché Ká Bol-Bálá
Himmelsheim
My Nights Are More Beautiful Than Your Days
Homer and Eddie
Agla Mausam
Cold Feet (1989 film)
L.A. Bounty
The Plot Against Harry
Fight and Love with a Terracotta Warrior
Fletch Lives
After Midnight (1989 film)
Night of the Ninja
Longtime Companion
Nowhere to Run (1989 film)
The Tall Guy
Chakkikotha Chankaran
The Toxic Avenger Part III: The Last Temptation of Toxie
The Final Days (film)
Communion (1989 film)
Mappillai (1989 film)
Warm Summer Rain
Category:1989 television films
Kanoon Apna Apna
Toofan (film)
The Defender (1988 film)
Valmont (film)
Houseboat Horror
My Dear Rosy
War Requiem (film)
Devil in the Flesh (1989 film)
Hell High
Magnús (film)
Bhadrachitta
Shaso
Nocturne Indien
DeepStar Six
Willy the Sparrow
Jigsaw (1989 film)
The Vineyard (film)
Karagattakaran
Apoorva Sagodharargal (1989 film)
Animal Behavior (film)
Miss Firecracker
Wild Orchid (film)
K-9 (film)
Try This One for Size
Kuarup (film)
Thangamana Raasa
Tetsuo: The Iron Man
Mone Mone
Parents (film)
Diploma za smrt
Tsuribaka Nisshi 2
À nous la rue
Prema (1989 film)
Close Escape
Moonstalker
Agnipravesham
Roselyne et les lions
Friday the 13th Part VIII: Jason Takes Manhattan
City Kids 1989
A Tale of Adam Mickiewicz's 'Forefathers' Eve'
Dragon Fight
Dost Garibon Ka
The Evil Below
The Journey to Melonia
Aag Ka Gola
Driving Miss Daisy
Island (1989 film)
Curfew (1989 film)
The Long Weekend (O' Despair)
Johnny Handsome
Lashkar (film)
I Want to Go Home (film)
Fear in Fun Park
Salim Langde Pe Mat Ro
Ladaai
The Punisher (1989 film)
Rapid Fire (1989 film)
Enne Petha Raasa
Tennessee Waltz (film)
Listen to Me (film)
The Architecture of Doom
Deva (1989 film)
L.A. Heat (film)
Bicycle Safety Camp
Goodnight, Sweet Marilyn
Ponmana Selvan
Pedicab Driver
C.H.U.D. II: Bud the C.H.U.D.
Up Your Alley (film)
Old Gringo
Crime Branch (film)
Aazhikkoru Muthu
Love Without Pity
High Desert Kill
Raaja Raajathan
Welcome Home (1989 film)
The Mahabharata (1989 film)
Demonstone
Saturday's Warrior
Noce Blanche
Star Trek V: The Final Frontier
Runaway Blues
Splendor (1989 film)
Street of No Return
Varnatheru
Love, Hate and Death
The Decalogue (TV series)
Thiruppu Munai
Society (film)
Leo Sonnyboy
Lankeswarudu
Beasties (film)
Jeena Teri Gali Mein
Ammavanu Pattiya Amali
Bade Ghar Ki Beti
Chettu Kinda Pleader
Touhean
Skin Deep (1989 film)
Liberty & Bash
And Then There Was Light
Eddie and the Cruisers II: Eddie Lives!
Aararo Aariraro
Avane Nanna Ganda
Layanam
Adam Surat
Penn & Teller Get Killed
Heart of the Angel
Gair Kanooni
See You in the Morning (film)
American Ninja 3: Blood Hunt
Beware! Children at Play
Mystery Train (film)
Weekend at Bernie's
Category:Lists of 1989 films by country or language
Gajapathi Garvabhanga
Lock Up (film)
Kickboxer (1989 film)
List of Captain Tsubasa episodes
Hum Intezaar Karenge
Solidão, Uma Linda História de Amor
Solaikuyil
Earth Girls Are Easy
Prayapoorthi Aayavarkku Mathram
The Iron Triangle (film)
The Cellar (film)
Lethal Weapon 2
Adharvam
Survival Quest
Tropical Snow
Minnamurra (film)
Krooran
A Better Tomorrow 3
Onti Salaga
A Fishy Story
Eeshwar (1989 film)
Asthikal Pookkunnu
The Palermo Connection
Bhukha
Eversmile, New Jersey
Lahure (film)
Sa Kuko Ng Agila
Under the Glacier
Pudhu Pudhu Arthangal
Anecdote (film)
The BFG (1989 film)
George's Island (film)
Mack the Knife (film)
The Hostage of Europe
Cameron's Closet
Majboor (1989 film)
Siva (1989 Tamil film)
Pipo y los cazadores
Cohen and Tate
Seven Warriors
Adam Clayton Powell (film)
The Women on the Roof
Dream a Little Dream
Offerings (film)
The 'Burbs
Spider's Web (film)
Mitti Aur Sona
American Blue Note
Boris Godunov (1989 film)
Francesco (film)
The Newcomer in The Cabbage
Ureme 5
Dirty Tennis
American Boyfriends
Un tour de manège
Poli Huduga
Cousins (1989 film)
My Mom's a Werewolf
Devět kruhů pekla
The Unnamable (film)
Little Cop
Artham
Tender Hooks
Shocker (film)
Harlem Nights
The Church (film)
Fine Gold (film)
A Hoof Here, a Hoof There
Blood Red
Mull (film)
Death Scenes
Crime Hunter
Chopper Chicks in Zombietown
Second Chances (film)
No Holds Barred (1989 film)
Tora-san Goes to Vienna
Untamagiru
Blind Fury
A Sting in the Tale
To Die For (1989 film)
Nick Knight (film)
C.B.I. Shankar
China White (film)
Aakhri Ghulam
My Left Foot
Two Town Rowdy
The End of the Night
The News (1989 film)
The War of the Roses (film)
Ondagi Balu
Thendral Sudum
Athaimadi Methaiadi
A More Perfect Union (film)
Leathernecks (film)
Climb Dance
Jönssonligan på Mallorca
Watercolor Painting in a Rainy Day
Gross Anatomy (film)
Yuddha Kaanda
Dédé (1989 film)
Defilada
Varusham Padhinaaru
Coming of Age: Adult Bat Mitzvah
Saaya (1989 film)
Jesus of Montreal
Prancer (film)
Bloodsuckers (1989 film)
Turner & Hooch
Chattahoochee (film)
Sex, Lies, and Videotape
Oonch Neech Beech
Pudhea Paadhai
S/Y Joy
Beverly Hills Bodysnatchers
Millennium (film)
Patlabor: The Movie
Doraemon: Nobita and the Birth of Japan
Staying Together (film)
The Reincarnation of Golden Lotus
Bankomatt
The Expendables (1989 film)
Cookie (film)
Christian (1989 film)
Adavilo Abhimanyudu
Checking Out (1989 film)
Arabesk (film)
Ade Raaga Ade Haadu
Eenam Thettatha Kattaru
Field of Dreams
Aksharathettu
Elves (film)
A Nightmare on Elm Street 5: The Dream Child
Trees Cry for Rain
Shirley Valentine (film)
Little Monsters
Tridev (film)
The Top of His Head
Parashuram (film)
The January Man
The Rose Garden (film)
In Too Deep (1989 film)
The Witches Cave
Silence Like Glass
Väter und Söhne – Eine deutsche Tragödie
Where the Spirit Lives
Countdown to War
Season (film)
Sons of Steel (1989 film)
Nightmare Beach
For All Mankind
Road House (1989 film)
’O Re
Fool's Mate (1989 film)
Love Lies (film)
Return of the Lucky Stars
A Dry White Season
Bugs & Daffy: The Wartime Cartoons
Peridaatha Kadha
Resurrected (film)
Main Azaad Hoon
Lauderdale (film)
Kindergarten (film)
Vicky Daada
The Firm (1989 film)
Bahurani (1989 film)
All's Fair (film)
Tongues Untied
We're No Angels (1989 film)
Jung Baaz
Driving Force (film)
Dost (1989 film)
New Year's Day (1989 film)
My Dear Subject
Empire of Ash
Angano... Angano... nouvelles de Madagascar
Geethanjali (1989 film)
Abhi To Main Jawan Hoon
Collision Course (1989 film)
Daata
Fever (1989 film)
Dr. Caligari (film)
Jaathakam
Danny, the Champion of the World (film)
Mahayanam
Vardi (film)
