Cat Girl
An der Via Egnatia – Historisches und Heutiges über Stadt und Messe
Rabbit Romeo
A Hatful of Rain
Miracle in Soho
Until They Sail
The Parson and the Outlaw
OSS 117 Is Not Dead
Jamboree (1957 film)
Dangerous Exile
At the Stroke of Nine
Panduranga Mahatyam (film)
Las Campanas de Teresa
Trooper Hook
Road to the Stars
Raintree County (film)
Bade Sarkar
Not of This Earth (1957 film)
Miriam (film)
Thaskaraveeran (1957 film)
The Hole (1957 film)
Heaven Knows, Mr. Allison
Faustina (1957 film)
Man from Tangier
Calypso Heat Wave
Campbell's Kingdom
The Spirit of St. Louis (film)
I Was a Teenage Frankenstein
April Love (film)
Bärenburger Schnurre
Affair in Havana
Blue Murder at St Trinian's
Hell on Devil's Island
La Bestia humana
The Tijuana Story
Top Secret Affair
Vienna, City of My Dreams (1957 film)
Five on a Treasure Island (film)
Laan mig din kone
Reform School Girl
Ghost Diver
Minnaminugu
The Steel Bayonet
Two Confessions
The Mad Bomberg (1957 film)
Young and Dangerous (1957 film)
Uncle Vanya (1957 film)
Vacanze a Ischia
Apache Warrior
Super Giant
Les Fanatiques
My Man Godfrey (1957 film)
Ghost Stories of Wanderer at Honjo
Kathputli (1957 film)
The Monolith Monsters
Asesinos, S.A.
Polonia-Express
A Face in the Crowd (film)
Tabasco Road
Crime of Passion (1957 film)
Revolt at Fort Laramie
Dai-bosatsu tōge (1957 film)
Chakravarthi Thirumagal
I Vampiri
The Vicious Circle (1957 film)
The Oklahoman (film)
Die Windrose
The Story of Mankind (film)
Operation Murder
Blonde in Bondage
Baagyavathi
The Window to Luna Park
Hellas ohne Götter
No Time for Tears (film)
Umi no yarodomo
Nausherwan-E-Adil
Love and Chatter
Mudhalali
Il Grido
Rivalen am Steuer
El Primer beso
La hija de Juan Simón
The Girl Without Pyjamas
La cabeza de Pancho Villa
Chicago Confidential
Guns Don't Argue
Queen Louise (1957 film)
Search for Paradise
Touché and Go
Bill Bergson Lives Dangerously (1957 film)
The One That Got Away (film)
Aunt Wanda from Uganda
Scandal in Bad Ischl
The Monster That Challenged the World
Sen'un Ajia no Joō
Barnacle Bill (1957 film)
Victor and Victoria (1957 film)
Second Fiddle (1957 film)
Hit and Run (1957 film)
El inquilino
Attack of the Crab Monsters
Stevnemøte med glemte år
Lizzie (film)
The Story of Esther Costello
Pal Joey (film)
Wo Du hin gehst
Gun Girls
Voodoo Woman
The Dalton Girls
Manamagan Thevai
The Brain from Planet Arous
Peppino, le modelle e chella là
The Passionate Stranger
Speaking of Murder
Stranger in Town (film)
Journey to Freedom
Town on Trial
El Ratón (film)
Tumsa Nahin Dekha (1957 film)
The Last Stagecoach West
Muscle Up a Little Closer
Slaughter on Tenth Avenue (film)
Spur in die Nacht
The River's Edge
The Tommy Steele Story
Johnny Trouble
Morderstwo
Portland Exposé
What's Opera, Doc?
The Unearthly
Gunfire at Indian Gap
Aasha (1957 film)
Quatermass 2
The Crucible (1957 film)
The Hypnotist (1957 film)
Tweet Zoo
Der Stern von Afrika
Band of Angels
Mahadhevi
The Aztec Mummy
A Merry Mix Up
Bitter Victory
A Unique Spring
Escapade (1955 film)
Zoku Aoi sanmyaku Yukiko no maki
Five Clues to Fortune
The Tin Star
The Black Scorpion (film)
Let's Be Happy
A King in New York
Just Once a Great Lady (1957 film)
West of Suez
Bettada Kalla
The Girl in Black Stockings
The Real End of the Great War
Legend of the Lost
En kvinde er overflødig
The Wayward Girl
The Guns of Fort Petticoat
Woman Basketball Player No. 5
The Storm Rider
A Teapicker's Song of Goodbye
Three Sundays to Live
Night Passage (film)
Three in One (1957 film)
Be Dear to Me
Don't Forget My Little Traudel
I colpevoli
Husbands in the City
The Black Devil (film)
Out (1957 film)
Die Schönste
The Strange One
Der schönste Tag meines Lebens
Tweety and the Beanstalk
Time Without Pity
Guttaperchevyy malchik (film, 1957)
Oh! Sabella
Raja Rajan (film)
Tarzan and the Lost Safari
Fortune Is a Woman
The Goose Girl (1957 film)
Mr. Sleeman Is Coming
Nooran
Monday or Tuesday (film)
Jurášek
Trouwe Kameraden
Ride Out for Revenge
Les Espions
The Lady Doctor
Cinco gallinas y el cielo
The Candlemaker (film)
Retour de manivelle
Panama Sal
Lissy (film)
Doctor at Large (film)
Typhon sur Nagasaki
Hear Me Good
Morning Call (film)
Go Fly a Kit
Quand la femme s'en mêle
Katzgraben
Space Ship Sappy
Zwischen Himmel und Erde
Adauchi sōzenji baba
Naya Daur (1957 film)
The Man in the Raincoat
La sombra del otro
Small Hotel
Father of Four and Uncle Sofus
Williamsburg: the Story of a Patriot
The Invisible Boy
Zero Hour!
The Long Haul (1957 film)
Sati Nalaayini
A Chairy Tale
Nightfall (1957 film)
Sønnen fra Amerika
The Flying Dutchman (1957 film)
A Woman's War
The Counterfeit Plan
The Violators
Horsing Around
Oh, Men! Oh, Women!
Berlin, Schoenhauser Corner
Account Rendered (1957 film)
Bedevilled Rabbit
Paying Guest
The Mark of the Hawk
Piker's Peak
Joe Butterfly
Toccata for Toy Trains
Bugsy and Mugsy
That Night!
Manaalane Mangaiyin Baakkiyam
Escape from San Quentin
Destination 60,000
Musafir (1957 film)
Gun Glory
The Girl and the Legend
Public Pigeon No. 1
Ducking the Devil
A Matter of Dignity
Rock You Sinners
Summer Place Wanted
Song of Naples
Fear Strikes Out
The Fuzzy Pink Nightgown
La Anam
Nau Do Gyarah
The Truth About Mother Goose
Rockabilly Baby
The Shiralee (1957 film)
Carousel of Variety
The Unholy Wife
He Who Must Die
Will Success Spoil Rock Hunter?
The Land Unknown
The Rising of the Moon (film)
Kaidan Kasane-ga-fuchi
The She-Creature
5 Steps to Danger
Taming Sutton's Gal
The Burglar
Face in the Night
The Barretts of Wimpole Street (1957 film)
El jinete sin cabeza
The Tall T
The Curse of the Aztec Mummy
Duel at Apache Wells
Throne of Blood
Peyton Place (film)
Pobres millonarios
Violencia en la ciudad
Madrugada (film)
The Scamp
A Farewell to the Woman Called My Sister
Tokyo 1960
Sweet Smell of Success
On Wings of Love
Lazzarella (film)
My Gun Is Quick (film)
Teenage Thunder
A Fantastic Tale of Naruto
The Quiet Gun
Badlands of Montana
The Mysterians
The Heart of St. Pauli
Souvenir d'Italie
Back from the Dead (film)
The Hired Gun (1957 film)
Allavuddin Adbhuta Deepam
The Monte Carlo Story
La marca de Satanás
Tinko
Three Violent People
Jiban Trishna
Street of Sinners
The Betrayal (1957 film)
Difendo il mio amore
Ali Baba Bunny
The Wings of Eagles
Tammy and the Bachelor
Tag til marked i Fjordby
Ces dames préfèrent le mambo
Vanangamudi
Blood of Dracula
Kleren Maken de Man
The Naked Truth (1957 film)
Spanish Affair
Johnny Tremain (film)
Man on Fire (1957 film)
The Bachelor Party
Bop Girl Goes Calypso
Oedipus Rex (1957 film)
Looking for Danger
Bayou (film)
The Girl Most Likely
Beau James
The Curse of Frankenstein
Man in the Shadow
The Traitor (1957 film)
Shoot-Out at Medicine Bend
The Man Without a Body
The Height
The Way to the Gold
Bedari
Yambaó
Raiders of Old California
The Night the World Exploded
The Tattered Dress
Do Aankhen Barah Haath
That Woman Opposite
Rascel-Fifì
Jeanne Eagels (film)
The Daughter of Dr. Jekyll
Amour de poche
Wild Is the Wind
The Seventh Sin
Sea Wife
Kiss Them for Me (film)
Don't Go Near the Water (film)
Ard al-Salam
Canada's Air Defence
House of Numbers (1957 film)
Secuestro diabólico
All the Boys Are Called Patrick
The Cyclops (film)
Boy on a Dolphin
Floating Vessel
Dekh Kabira Roya
Doshaburi (film)
Gun Duel in Durango
Miss Mary (1957 film)
Glimpse of the Garden
The Big Chance (1957 British film)
Spielbank-Affäre
Voodoo Island
The Deerslayer (1957 film)
Appointment with a Shadow
Birth of a Giant
The Most Wonderful Moment
How to Murder a Rich Uncle
The Cranes Are Flying
The Last Ones Shall Be First
Men in War
Mayabazar
The Thunderstorm
The Delinquents (1957 film)
Rayara Sose
Hidden Fear
Count Max (1957 film)
Only People (film)
The Ride Back
The Truth About Women
Furias desatadas
Utah Blaine
Guns a Poppin
Yagyu Secret Scrolls
Doctor and the Healer
Fire Down Below (1957 film)
Four Girls in Town
Earth (1957 film)
The Big Land
Escape from Red Rock
Kindergymnastik
Seven Thunders (film)
Woman in a Dressing Gown
Hell Ship Mutiny
Valerie (film)
Category:1957 television films
The Vampire (1957 film)
Il Conte di Matera
Nilachaley Mahaprabhu
Suzakumon (film)
Man of a Thousand Faces (film)
Duped Till Doomsday
The Surgeon's Knife
Tareeq al-Amal
The Smallest Show on Earth
The Abductors
Tomahawk Trail
The Flying Scot (film)
High Flight (film)
Vater sein dagegen sehr
We're Going Separate Ways
Affair in Reno
All Mine to Give
Monkey on My Back (film)
Pyaasa
Nude Actress Murder Case: Five Criminals
Las aventuras de Pito Pérez
Skimeister von morgen
Spook Chasers
Old Barge, Young Love (1957 film)
The Glass Tower
The Legs of Dolores
An Affair to Remember
Gun for a Coward
Snow Country (film)
Island in the Sun (film)
Carry on Admiral
The Incredible Shrinking Man
Count Five and Die
A Toothy Smile
Ambikapathy (1957 film)
Yōjasō no Maō
Les Girls
At the Green Cockatoo by Night
Run of the Arrow
Les Mistons
Tired Theodore (1957 film)
The Man in the Sky
Gonzales' Tamales
M.L.A. (film)
The Zurich Engagement
Kill Her Gently
Les têtes interverties
Lovers of Paris
Zwei Mütter
Invasion of the Saucer Men
China Gate (1957 film)
Drei Mann auf einem Pferd
Ill Met by Moonlight (film)
Silk Stockings (film)
Man Afraid
Rathnagiri Rahasya
The Little Hut
The Young Don't Cry
Lady of Vengeance
Show Biz Bugs
The Restless Breed
Saint Joan (film)
Konec jasnovidce
Untamed Youth
A Farewell to Arms (1957 film)
Desk Set
Vinayaka Chaviti
Puppet (film)
Yatarō gasa
Time Lock
N.Y., N.Y. (film)
Across the Bridge (film)
Black River (1957 film)
Mister Rock and Roll (film)
Goodbye, Franziska (1957 film)
Sun in the Last Days of the Shogunate
The Big Boodle
Spoilers of the Forest
Sayonara
The England of Elizabeth
The Admirable Crichton (1957 film)
Harano Sur
Just My Luck (1957 film)
Suvarna Sundari
Fridericus Rex – elfter Teil
Copper Sky
Sarangadhara (1957 film)
Kenpei to Barabara Shibijin
Dragstrip Girl
The Flute and the Arrow
Jazz Musume Tanjō
Bernardine (film)
Kabuliwala (1957 film)
Jun'ai Monogatari
Bombers B-52
City of Gold (1957 film)
Edge of the City
Il marito
Outer Space Jitters
Interlude (1957 film)
These Dangerous Years
Achanum Makanum
Black Patch (film)
Tokyo Twilight
The End of the Line (1957 film)
Three Little Bops
Sharada (1957 film)
Mother India
Omar Khayyam (film)
The Pride and the Passion
Kill Me Tomorrow
Nice Time
Lucky Jim (1957 film)
Ne čakaj na maj
The Kettles on Old MacDonald's Farm
The Auntie from Chicago
Kamay ni Cain
Nine Lives (1957 film)
Torawakamaru the Koga Ninja
The Good Companions (1957 film)
Dino (film)
Action of the Tiger
Witness for the Prosecution (1957 film)
Parola di ladro
Szkice węglem (film)
Date with Disaster
Suspended Alibi
The Night Runner
Naked Paradise
Poučení
Mister Cory
Páté kolo u vozu
Una Viuda difícil
The Birthday Present
Hot Summer Night (film)
The Green-Eyed Blonde
The Iron Sheriff
The Unknown Terror
Bhagya Rekha
Drango
Every Day Except Christmas
Ikiteiru Koheiji
Hot Rod Rumble
The Sad Sack
The Singer from Mexico
The Sun Also Rises (1957 film)
The James Dean Story
I Was a Teenage Werewolf
The Helen Morgan Story
Rose Bernd (1957 film)
Susanna Whipped Cream
Robbery Under Arms (1957 film)
The Wide Blue Road
The Count of Luxemburg (1957 film)
Hell Canyon Outlaws
The Brothers Karamazov (1958 film)
The Wetback Hound
Yaar Paiyyan
Short Cut to Hell
Castles and Cottages
Red Nightmare
Eighteen and Anxious
Yahudi Ki Ladki (1957 film)
Patrouille de choc
War Drums
La Parisienne (film)
Thangamalai Ragasiyam
Insomnia Is Good for You
Beginning of the End (film)
Perri (film)
Hold That Hypnotist
20 Million Miles to Earth
Blackjack Ketchum, Desperado
Der 10. Mai
The Abominable Snowman (film)
Oshidori kenkagasa
Kindermädchen für Papa gesucht
Eight Hours of Terror
The Crooked Circle (1957 film)
Que me toquen las golondrinas
Yorokobi mo kanashimi mo ikutoshitsuki
El vampiro
The Shadow on the Window
Tamr Henna (film)
The Flesh Is Weak
Whom God Forgives
Belle ma povere
It Happened in Penkovo
A Handful of Soil
Dreams in a Drawer
The Brothers Rico
Love from Paris
The Man Who Wagged His Tail
The D.I. (film)
There's Always a Thursday
Fury at Showdown
Don Quixote (1957 film)
The Careless Years
Desert Warrior (film)
The Big Caper
Hour of Decision (film)
The Kurnell Story
Master of His Own Body
The Girl in the Kremlin
Be Happy, These Two Lovers
3:10 to Yuma (1957 film)
Pudhumai Pithan (1957 film)
Three Sailors (1957 film)
White Nights (1957 film)
Escapade (1957 film)
Untamed (1957 film)
S.O.S. Noronha
Different from You and Me
It Was Not in Vain
The Tough
Ride a Violent Mile
Gunsight Ridge
Old Yeller (film)
The New World (1957 film)
Pharaoh's Curse (film)
Fathers and Sons (1957 film)
Englen i sort
The Young Stranger
Jeg elsker dig
Outlaw's Son
An Osaka Story
Seven Hills of Rome (film)
The Devil's Hairpin
The Living Idol
Guendalina
Inazuma Kaidō
Strangers' Meeting
Kawakami Tetsuharu monogatari sebangō 16
I Am Waiting
Battle Hymn (film)
The Buckskin Lady
The Battalion in the Shadows
Morir de pie
Rani Lalithangi
The Big Chance (1957 German film)
The Girl Without an Address
Paths of Glory
Not Wanted on Voyage
Freelance Samurai
Gunfight at the O.K. Corral (film)
Something of Value
Carnival Rock
