È pericoloso sporgersi
Sanga Natham
The Hotel New Hampshire (film)
Oru Sumangaliyude Katha
Yellow Earth
Kilikkonjal
Kalinga Sarpa
Aaj Ki Awaaz
Malvinas: Historia de traiciones
Velichamillatha Veedhi
Man Under Suspicion
Jacques and November
Bolero (1984 film)
Diary for My Children
Another State of Mind (film)
Amrutha Ghalige
Anbulla Malare
Micki & Maude
Azagu
Venido a menos
Yarivanu
Ningalil Oru Sthree
Swantham Sarika
Achamillai Achamillai
Crackers (1984 film)
Ninja III: The Domination
Cannonball Run II
Kids From Shaolin
Nickel Mountain
Love in a Fallen City (film)
Vamsa Vilakku
Secret Places
Splatter University
The Annunciation (film)
Reckless (1984 film)
A Sunday in the Country
The Bear (1984 film)
Kaliyil Alpam Karyam
Vacation of Petrov and Vasechkin, Usual and Incredible
The Parching Winds of Somalia
Emmanuelle 4
Ablakon
Dead Souls (1984 film)
Adiyozhukkukal
Early Snow in Munich
Boetie Gaan Border Toe
Cheech & Chong's The Corsican Brothers
This Is Spinal Tap
Vikatakavi
The Chieftain (film)
Bhemaa
The Cabinet of Jan Svankmajer
Alley Cat (film)
Aksharangal
Condemned (1984 film)
István, a király
The Devil's Gift
The Buddy System (film)
Falling in Love (1984 film)
Ithiri Poove Chuvanna Poove
The Fifth Dimension of Sex
Rescue at Midnight Castle
Le jour S...
Day Is Longer Than Night
Raja Veettu Kannukkutty
In Search of a Golden Sky
Il Bacio di Tosca
Ammai Duwai
Station to Heaven
Old Mao's Second Spring
The Chain (film)
The Terminator
Veendum Chalikkunna Chakram
Secret Service of the Imperial Court
Chandranath
Crime in Formula One
Country (film)
Apoorva Sangama
Savage Streets
L'allenatore nel pallone
Next of Kin (1984 film)
A tu per tu
Heroic Times
Hot Dog…The Movie
The Secret Diary of Sigmund Freud
September (1984 film)
Ariyaatha Veethikal
Madame Aema 2
Anand Aur Anand
The Element of Crime
Appunni
Mooru Janma
The Silent Scream
Inquilaab (film)
Twenty Years Later
Ave Maria (1984 film)
Bachelor Party (1984 film)
La Garce
Listen To The City
Onnanu Nammal
Shanghai Rhapsody
The Man from Majorca
Uuno Turhapuro armeijan leivissä
Slunce, seno, jahody
Kinnikuman (film)
Birdy (film)
Chords of Fame (film)
Just Behind the Door
The Pirate (1984 film)
Beat Street
Beverly Hills Cop
A Man of Principle
Otra esperanza
Khaidi (1984 film)
Anthichuvappu
Red Dawn
Purana Mandir
Asha Jyoti
Heartsounds
Oru Kochu Swapnam
Dog Day (1984 film)
Ramapurada Ravana
Broadway Danny Rose
Souvenirs, Souvenirs
Prehistoric Beast
Summertime Blues (film)
Frankenstein's Great Aunt Tillie
Vértigos
Sword of the Valiant
The Last Bastion
Memed, My Hawk (film)
De stille Oceaan
Maha Purusha
Recollections of Pavlovsk
Man of Letters (film)
A Breed Apart
Blame It on Rio
Rusi (film)
Irreconcilable Differences
Holi (1984 film)
Between the Knees
The Cap (film)
New Tales of the Flying Fox
Rodney Rude Live Volume 1
Makale Mappu Tharu
Ponirah Terpidana
Kings and Desperate Men
Tank (film)
The Bounty
The Bostonians (film)
Jawaani
Ente Gramam
Kōichirō Uno's Wet and Swinging
Aaj Ka M.L.A. Ram Avtar
Swann in Love (film)
Love Letters (1984 film)
Nethavu
The Surrogate (1984 film)
Tottie: The Story of a Doll's House
Conan the Destroyer
À mort l'arbitre
Stranger Than Paradise
Kuva Kuva Vaathugal
Viva la vie
Awaaz
The Spirit of Charles Lindbergh
Ente Nandinikutty
Tricheurs
Terror in the Aisles
Blame It on the Night
Twist and Shout (film)
Palnati Puli
Devanthakudu
Copper Angel
Hardbodies
Gandu Bherunda
Night Patrol
Category:1984 animated films
Les Morfalous
Zameen Aasmaan (1984 film)
Footloose (1984 film)
Surf II
Baddi Bangaramma
Secret Honor
The Last Starfighter
Reflections (1984 film)
Swanthamevide Bandhamevide
The Garden of Eden (1984 film)
Fort Saganne
Boxer (1984 film)
April 18 (film)
The Horror Movies
The Evil That Men Do (film)
Hero (1984 film)
Fanny Straw Hair
The Noah's Ark Principle
Incident at Restigouche
Before Stonewall
After the Rehearsal
Behind the Yellow Line
Formula of Love
Khandhar
Thirakal
Retenez Moi...Ou Je Fais Un Malheur
Starman (film)
The Last Stand (1984 film)
Yuddham (1984 film)
Nimmo (1984 film)
Love Marriage (1984 film)
Arch of Triumph (1984 film)
Aadmi Aur Aurat
Camila (film)
Panchavadi Palam
Caravan of Courage: An Ewok Adventure
Good King Dagobert
I'm Almost Not Crazy: John Cassavetes, the Man and His Work
Atrapadas
The Shakers: Hands to Work, Hearts to God
Jungle Warriors
Klassenverhältnisse
Mingo y Aníbal, dos pelotazos en contra
The Funeral (1984 film)
The Killing Fields (film)
Aashamsakalode
The Ice Pirates
Ek Nai Paheli
Utsav
The Miracle of Joe Petrel
Bhat De
Anbe Odi Vaa
Dionysos (film)
Sasural (1984 film)
Nausicaä of the Valley of the Wind (film)
Neengal Kettavai
Een dagje naar het strand
Wheels on Meals
Lakhon Ki Baat
Double Trouble (1984 film)
Busters verden
Shabadham
Claretta
Margaret Atwood: Once in August
Mesrine (1984 film)
Naan Paadum Paadal
Samson & Sally
Places in the Heart
Category:1984 horror films
The Glitter Dome
The Trust That Has Burst
Premiers désirs
The Frog Prince (1984 film)
Nadia (film)
Breakin'
Cento giorni a Palermo
Veetuku Oru Kannagi
Streets of Fire
The Snowdrop Festival
'Merika
Murder Rock
Balkan Spy
Electric Dreams (film)
Mangammagari Manavadu
The Rape After
Marriage Counselor Tora-san
Kelinlar qoʻzgʻoloni (film)
Firstborn (1984 film)
Thathamme Poocha Poocha
The River (1984 film)
Yaadgaar
Mike's Murder
Sreekrishna Parunthu
Sajawal Daku
The Alchemist (film)
Sista leken
Abodh
Vai Pandal
Darse cuenta
Všichni musí být v pyžamu
Bobbili Brahmanna
Calendar Girl Murders
The Descent of the Nine
Doraemon: Nobita's Great Adventure into the Underworld
Bertoldo, Bertoldino e Cacasenno
Perfect Strangers (1984 film)
Sixteen Candles
Up the Creek (1984 film)
Keyboard Cat
Urusei Yatsura 2: Beautiful Dreamer
Police Academy (film)
The Future Is Woman
Hissatsu: Sure Death
The Old Curiosity Shop (1984 film)
Niraparaadhi (1984 film)
Poomadhathe Pennu
The Karate Kid
Dune (film)
R.S.V.P. (1984 film)
Vaidehi Kathirunthal
Nallavanuku Nallavan
Category:1984 direct-to-video films
Tarang (film)
A Summer at Grandpa's
Rent Control (1984 film)
Ninaivugal
The Rosebud Beach Hotel
Adaminte Vaariyellu
A Cruel Romance
A Family Affair (1984 film)
End (film)
They're Playing with Fire
Chakkarayumma
Beverly Hills Cop (franchise)
Noches sin lunas ni soles
City Limits (1985 film)
Breakin' 2: Electric Boogaloo
Pengkhianatan G30S/PKI
Over the Brooklyn Bridge
Off Sides (Pigs vs. Freaks)
Attahaasam
Talk to Me (1984 film)
Ellie (film)
Tharaasu
Ballad of the Little Soldier
Tarkeeb
Tuareg – The Desert Warrior
Maya Miriga
One Night Stand (1984 film)
Sohni Mahiwal (1984 film)
Everlasting Love (film)
Woman Doctors
Suddilage Kathaawa
Swing Shift (film)
Unni Vanna Divasam
The Missing Link (film)
Ambigai Neril Vanthaal
No Man's Land (1984 film)
Silent Night, Deadly Night
Enakkul Oruvan (1984 film)
Annie's Coming Out
Space Riders
The Public Woman
Uyarangalil
Piriyilla Naam
Exterminator 2
Vidhi
Minimol Vathicanil
Comfort and Joy (1984 film)
Ranjhan Mera Yaar
Friday the 13th: The Final Chapter
Malambo (1984 film)
Loafing and Camouflage
Night of the Comet
Vigil (film)
Mario (film)
Razorback (film)
No More Hiroshima
Sesión continua
The Last Winter (1984 film)
Ara Soyza
Repentance (1987 film)
P'tit Con
Athirathram (film)
The Adventures of Buckaroo Banzai Across the 8th Dimension
Kidco
Hollywood Hot Tubs
Saaransh
Kindred Spirits (film)
Rhinestone (film)
A Soldier's Story
La Biblia en pasta
A Woman in Transit
Das Autogramm
Naya Kadam
Shakuntala Aru Sankar Joseph Ali
The Dungeonmaster
Anubhava (film)
January 1 (1984 film)
Sing Blue Silver
Hard to Hold (film)
Amarsi un po' (film)
College (1984 film)
The Children (1984 film)
The Wannsee Conference (film)
Itha Innu Muthal
Great Riot! Seigi Choujin
Choose Me
Blind Date (1984 film)
Farewell to the Ark
Shaolin Warrior
Ghare Baire (film)
The Warrior and the Sorceress
Komberi Mookan
Indiana Jones and the Temple of Doom
Firestarter (film)
Best Defense
What Have I Done to Deserve This? (film)
The Clan – Tale of the Frogs
Vacanze in America
Weekend Pass
Under the Volcano (film)
Hong Kong 1941
Nineteen Eighty-Four (film)
Dreams of the City
The Little Drummer Girl (film)
Vengeance of a Soldier
Os Trapalhões e o Mágico de Oróz
Zombie Island Massacre
A Proper Scandal
Maria's Lovers
City Heat
Ruined Reeds
Przeklęte oko proroka
Sunny (1984 film)
Champagne in paradiso
Maqsad
Vepraalam
Oru Kochukatha Aarum Parayatha Katha
Purple Hearts (film)
Premigala Saval
Bedroom Eyes (film)
The Flamingo Kid
Shake, Rattle & Roll (film)
Voyage of the Rock Aliens
Rudranaga
Love Streams
Mahjong hōrōki
The Dark Mirror (film)
Scandalous (film)
The Ark of the Sun God
Rocktober Blood
Greystoke: The Legend of Tarzan, Lord of the Apes
Favorites of the Moon
White Elephant (1984 film)
En retirada
Sarithira Nayagan
Cuarteles de invierno
The Final Executioner
Oru Thettinte Katha
Cal (1984 film)
Intiguttu (1984 film)
Memoirs of Prison
Left of Reckoning
Kodathy
Allullostunnaru
Chandrawal
Preppies (film)
Where the Boys Are '84
An itan to violi pouli
Bless Their Little Hearts
Challenge (1984 film)
This Is My Country (film)
Sayonara Jupiter (film)
Bianca (1984 film)
Asesinato en el Senado de la Nación
Improper Conduct
Overvallers in de Dierentuin
Wanted: Dead or Alive (1984 film)
Solo Trans
Srivariki Premalekha
Disco King (film)
Flashpoint (1984 film)
Bastille (film)
Odaruthammava Aalariyam
The Dark Glow of the Mountains
Voyage to Cythera
Alaya Deepam
Kathanayakudu (1984 film)
Preethi Vathsalya
The Secret of the Selenites
A Girl's Own Story
The Story of Nampoo
The Stone Carvers (film)
The NeverEnding Story (film)
Old Enough
Pudhumai Penn (1984 film)
Code Name: Wild Geese
The Blood of Others (film)
Opium and the Kung-Fu Master
Camille (1984 film)
Waterwalker
Aagraham
Charade (1984 film)
Jaag Utha Insan
Second Sight: A Love Story
Homecoming (1984 film)
Akalmand
Angel (1984 film)
A Flash of Green
Category:Lists of 1984 films by country or language
Aaradhane
List of Captain Tsubasa episodes
The Toxic Avenger (film)
Iru Medhaigal
Aalkkoottathil Thaniye
Rustum
Garbo Talks
Agar Tum Na Hote
Gallavants
First Graders
My New Partner
Man Without Memory
Ethirppukal
Kaamyab
The Family of Chimps
Interface (film)
Lensman: Secret of The Lens
More Bloody Meetings
Strikebound
Les Trottoirs de Bangkok
Heritage (1984 film)
2010 (film)
C.H.U.D.
Love on the Ground
Kanamarayathu
Softly, Softly (film)
Hip Hip Hurray (film)
Let Me Tell Ya 'bout White Chicks
My Dear Kuttichathan
Our Story (film)
The Sensorium
Long Arm of the Law (film)
Conexión Caribe
Hanste Khelte (1984 film)
Another Man's Wife and a Husband under the Bed (film)
Poovilangu
The Cotton Club (film)
Manzil Manzil
Manasariyathe
The Owl vs Bombo
Namuslu
Shanghai 13
Yerma (film)
Speed (1984 film)
I due carabinieri
Akelarre (film)
Model Behaviour (film)
Couldn't Be Fairer
Umaanilayam
The Cartier Affair
De Witte Waan
The Camel Boy
Dreams Come True (1984 film)
Parama (film)
The Stone Boy (film)
Tohfa
Mermaid Legend
Dreamscape (1984 film)
The Cold Room
The Initiation (film)
De grens
Chewingum
Mujeres salvajes
Unaru
Man of Soil
Radhayude Kamukan
Frankenweenie (1984 film)
Splitz
Sahasame Jeevitham
The Ring (1985 film)
Onnum Mindatha Bharya
Andar Baahar
The Devil's Sword
Janakeeya Kodathi
Runamukthalu
Jönssonligan får guldfeber
Il ragazzo di campagna
Waqt Ki Pukar
Unnecessary Fuss
The Boy Who Had Everything
24 Mani Neram
Offered for Singles
Koottinilamkili
Delivery Boys
Bagi, the Monster of Mighty Nature
Unseen Wonder
Theere Pratheekshikkathe
MacArthur's Children
Sree Guruvayoor Mahathmyam
Swarna Gopuram
Kanchhi
The Judge (1984 film)
Code Gray: Ethical Dilemmas in Nursing
Aces Go Places 3
Sitaara
The Zany Adventures of Robin Hood
Cinderella '80
Pianoforte (film)
Aan Aur Shaan
Ivide Thudangunnu
Vamping (film)
National Lampoon's Joy of Sex
Arante Mulla Kochu Mulla
Monster Dog
The Passionate Pilgrim (film)
Sam's Son
Amadeus (film)
Just the Way You Are (1984 film)
Indina Bharatha
Karishma (1984 film)
Sandyakkenthinu Sindhooram
Indina Ramayana
Alphabet City (film)
Paavam Poornima
Victoria 392
Starship (film)
Tail of a Tiger
Ente Upasana
Ghostbusters
Juego perverso
The Incinerator
Songwriter (film)
Aikalainen
Street Hero
Mukhamukham
On the Threshold
Teachers (film)
Oru Painkilikatha
Jeene Nahi Doonga
Don't Open till Christmas
Maria's Day
Shanghai Blues
Raajavembaala
Memoirs (1984 film)
Horror vacui (film)
Pudhiavan
Octavia (film)
Mynaakam
Up (1984 film)
Pehlivan (film)
The Sun Also Rises (1984 film)
Prachanda Kulla
Qaidi (1984 film)
Gremlins
Bad Aur Badnam
Agni Gundam
Unfaithfully Yours (1984 film)
Where the Toys Come From
Second Time Lucky
John the Fearless (film)
Heartbreakers (1984 film)
Scarred (film)
Kudumbam Oru Swargam Bharya Oru Devatha
Cuori nella tormenta
Veruthe Oru Pinakkam
Mafia vs. Ninja
The Ambassador (1984 Croatian film)
Haven't I Told You
Kadamattathachan (1984 film)
The Coolangatta Gold (film)
Paavam Krooran
Nenjathai Allitha
All Rounder (film)
Pralayanthaka
Mahanagaramlo Mayagadu
Strangler vs. Strangler
Lovelines (film)
Thushaaram
The Hidden Power of the Dragon Sabre
Zama (film)
Top Secret!
Boy Meets Girl (1984 film)
Bulaklak sa City Jail
Kalia (film)
Lakshmana Rekha (film)
Ultraman Story
Nothing Left to Do But Cry
Champions (1983 film)
The Goodbye People
Karimbu
