Partition (1987 film)
Lesbian Harem
A Winter Tan
Date with an Angel
Dogs in Space
Out of Order (film)
The Trouble with Spies
Beirut: The Last Home Movie
Lady Cops
Sruthi (film)
Veendum Lisa
Law of Desire
The Squeeze (1987 film)
Bad Taste
Night Screams
Moonstruck
Sutradhar
Mupperum Deviyar
Prontuario de un argentino
Comrades (film)
Streets of Death
Overboard (film)
Legend of the White Horse
Night Zoo
Scoop (novel)
The Last Manuscript
Regina (film)
The Impossible Spy
O.C. and Stiggs
The Return of Sherlock Holmes (1987 film)
China Girl (1987 film)
A Hungarian Fairy Tale
Crazy Love (1987 film)
Megam Karuththirukku
Pathfinder (1987 film)
Parivaar (1987 film)
Dangerous Game (1987 film)
Maurice (film)
Ninaive Oru Sangeetham
I've Come About the Suicide
Cheppu
Ezhuthappurangal
Outrageous Fortune (film)
Big Deal After 20 Years
Kurukshetra (1987 film)
Outback Vampires
Ernest Goes to Camp
Beatrice (film)
Imaandaar
Nadine (1987 film)
The Way Things Go
Location Africa
Chanthayil Choodi Vilkkunna Pennu
Takbo, Bilis, Takbo
The Witches of Eastwick (film)
Madadgaar
Retribution (1987 film)
Zoeken naar Eileen (film)
Sweets from a Stranger (film)
Aayusu Nooru
Pestonjee
Under the Chinese Restaurant
The Place at the Coast
Waiting for the Moon (film)
Django Strikes Again
Kanikanum Neram
Hail! Hail! Rock 'n' Roll
Hope and Glory (film)
Dragon Ball: Sleeping Princess in Devil's Castle
Ee Nootandile Maha Rogam
Sardar Dharmanna
Fatal Beauty
Iris (1987 film)
Bagdad Café
Hari sa Hari, Lahi sa Lahi
Rettai Vaal Kuruvi
Velaikaran
Full Metal Jacket
Anand (1987 film)
Black Beauty (1987 film)
El bosque animado
Nazrana (1987 film)
The Cry of the Owl (1987 film)
Subway to the Stars
Laughter and Grief by the White Sea
Secondo Ponzio Pilato
Hard Ticket to Hawaii
RoboCop
Crazy Moon (film)
Mera Karam Mera Dharam
Yohwa Eoludong
Watan Ke Rakhwale
Dacait
Heat (1986 film)
The Death of Empedocles (film)
Premasathi Vattel Te
Resan
Man on Fire (1987 film)
A Boy from Calabria
If the Sun Never Returns
Iniya Uravu Poothathu
The Grand Highway
Broadcast News (film)
Idhu Oru Thodar Kathai
Jaalakam
The Mother of Kings
Le vie del Signore sono finite
Los Matamonstruos en la mansion del terror
Tandem (1987 film)
Sitapur Ki Geeta
Star Tours
Making Mr. Right
Killer Workout
La Vie est Belle (1987 film)
Anantaram
Khara Kadhi Bolu Naye
Robot Carnival
Blood Vows: The Story of a Mafia Wife
Khooni Mahal
Rimini Rimini
Aria (film)
Revenge of the Living Dead Girls
Naam O Nishan
The Child and the Pope
September (1987 film)
Real Men (film)
Silver into Gold
Rampage (1987 film)
Stripped to Kill
Withnail and I
White Water Summer
Desyat Negrityat
Ithente Neethi
Bony a klid
Final Victory
Orphans (1987 film)
The Belly of an Architect
Gaby: A True Story
White Mischief (film)
Wings of Desire
Maa Ooru
Nightflyers
The Children of Noisy Village (film)
Cyclops (1987 film)
Captain Khorshid
Near Dark
Aankalai Nambathey
Jocks (film)
Category:1987 television films
Night Angels
The Living Daylights
RuPaul Is: Starbooty!
Chronicle of a Death Foretold (film)
The Thirty Million Dollar Rush
Kelid
Viswanatha Nayakudu
Sparrow Unit
Jaws: The Revenge
The Bit Part
Lily C.A.T.
Dance Dance (film)
King of the Children
Clandestinos (1987 film)
Pyar Ke Kabil
Radio Days
A Little Bit of Soul (1987 film)
George and Rosemary
Deathrow Gameshow
Ivare Sookshikkuka
Late Summer Blues
Demons and Wonders
Sadak Chhap
Who's That Girl (1987 film)
Aaseya Bale
Agosto (film)
Lilac Ball
Manivathoorile Aayiram Sivarathrikal
Deadly Illusion
Where Is the Friend's Home?
Foster Child
Helsinki Napoli All Night Long
Going Bananas (film)
Aag Hi Aag
No Man's Land (1987 film)
O Desejado
Kurukkan Rajavayi
Walker (film)
Verukal Thedi
Der Stein des Todes
A Woman Is a Risky Bet: Six Orchestra Conductors
Chinnamanikkuyile
Berserker (1987 film)
The Principal
Repentance (1987 film)
They Still Call Me Bruce
Divinas palabras (1987 film)
Oru Minnaminunginte Nurunguvettam
A Better Tomorrow 2
Macbeth (1987 film)
Thaye Neeye Thunai
Death Before Dishonor (film)
Business as Usual (film)
Donga Mogudu
Angel (1987 film)
Going Inside a Storm
Digital Devil Story: Megami Tensei (film)
On the Black Hill (film)
Cry Freedom
84 Charing Cross Road (film)
Aulad (1987 film)
I've Heard the Mermaids Singing
Rage of Honor
Malady of Love
Race for the Bomb
American Ninja 2: The Confrontation
Teresa (1987 film)
Someone to Watch Over Me (film)
Roman Holiday (1987 film)
Long Live the Lady!
Julia and Julia
The Killing Time (film)
Mournful Unconcern
Pasivadi Pranam
The Romance of Book and Sword
The Girl (1987 film)
The Romancing Star
Hôtel de France
Pelle the Conqueror
Khudgarz
Life Classes
The Lonely Passion of Judith Hearne
Iron Earth, Copper Sky
Velicham
Police Academy 4: Citizens on Patrol
Allan Quatermain and the Lost City of Gold
Avalude Katha
Takin' It All Off
Aadyarathrikku Munbu
From a Whisper to a Scream (film)
Howling III
He's My Girl
The Puppetoon Movie
Home Is Where the Hart Is
King Lear (1987 film)
Oridathu
Love Is a Fat Woman
A Gathering of Old Men (film)
The Man Who Wasn't There (1987 film)
Doraemon: Nobita and the Knights on Dinosaurs
Empire of the Sun (film)
Kootu Puzhukkal
Alice Through the Looking Glass (1987 film)
Italian Postcards
Sreedharante Onnam Thirumurivu
Penn & Teller's Cruel Tricks for Dear Friends
Demonwarp
The House of Blue Leaves (film)
People's Hero (film)
Interrogating the Witnesses
The Secret Garden (1987 film)
Aadhyate Anubhavam
Body Contact (film)
You Must Be Joking Too!
Good Morning, Babylon
Ivide Ellavarkkum Sukham
A Chinese Ghost Story
The Year of The Rabbit
Guru Dakshina (1987 film)
Ground Zero (1987 film)
Gernail Singh
Catatan Si Boy
Mangalya Charthu
Insaaf Kaun Karega
THE...Kopanoi
Bellman and True
A Prayer for the Dying
Rock 'n' Roll Nightmare
Swathi Thirunal (film)
A Brother with Perfect Timing
Os Flagelados do Vento Leste
The Hidden (film)
The Spirit Moves
Nadodikkattu
Over the Top (film)
Blood Harvest (film)
High Season (film)
Hotel Colonial
O Bobo
Made in Heaven (1987 film)
Black Widow (1987 film)
Kilippattu (film)
Captive Hearts (film)
Flaming Brothers
Sathyam Shivam Sundaram
The Night Stalker (1987 film)
Vanna Kanavugal
Diary for My Lovers
Courier (film)
Delirium (1987 film)
Sport Goofy in Soccermania
Count Your Blessings (1987 film)
Le sourd dans la ville
Scirocco (film)
Kaala Rathri
Ninja Over the Great Wall
Vrutham
Quartiere (film)
Square Dance (film)
Noi uomini duri
Celebration Family
Ajeyudu
Poor Little Rich Girl: The Barbara Hutton Story
Best Seller
Storm (1987 film)
Grand Larceny
The Barbarians (film)
Pratighaat
Royal Space Force: The Wings of Honnêamise
Matar la tierra
Jhanjhaar
Jaws (franchise)
Majnu (1987 film)
It's Alive III: Island of the Alive
Maa Beti
Muthukkal Moondru
Athiratha Maharatha
Silu (film)
Unnikale Oru Kadha Parayam
Agni Putrudu
Dragnet (1987 film)
Under Cover (film)
Cassandra (film)
Hello Again (1987 film)
Robert Wilson and the Civil Wars
The Believers
The Sicilian (film)
The Drifting Classroom
The Moro Affair
Eclipse of Reason
Kingsajz
Slumber Party Massacre II
Street Smart (film)
The Glass Menagerie (1987 film)
Long Gone (film)
Weeds (film)
Marjuča ili smrt
The House of Bernarda Alba (1987 film)
La Bamba (film)
Trimurtulu
Princess from the Moon
Keep Your Right Up
Redneck Zombies
President Gari Abbai
Thangachi
L'homme voilé
Tomorrow's a Killer
Thoranam (film)
The Little Troll Prince
Vedham Pudhithu
Theofilos (film)
Days of Waiting (1987 film)
The Short and Curlies
Travelling North
Frog (film)
The Time Guardian
The Stranger (1987 film)
Love at Stake
The Second Victory
Living on Tokyo Time
Shadey
Yaagagni
The Monster Squad
Raising Arizona
Athens, GA: Inside/Out
Oorkavalan
Manamecchida Hudugi
Project A Part II
Khazana (1987 film)
White Phantom (film)
Ghost Fever
Stanley and Stella in: Breaking the Ice
New Delhi (1987 film)
Jaan Hatheli Pe
Predator (film)
The Lost Boys
Theekattu
Sindoor (film)
Ithrayum Kaalam
Batteries Not Included
Aaj (film)
Kaalathinte Sabhdam
Dům pro dva
Kadamai Kanniyam Kattupaadu
The Man Who Planted Trees (film)
Rebel High
Jebu Donga
Field of Honor (1987 film)
America Abbayi
The Arrogant
The Family (1987 film)
Dagboek van een Oude Dwaas
Red Sorghum (film)
Return to Horror High
Dhoorathu Pachai
Vai viegli būt jaunam?
Oru Maymasa Pulariyil
Red's Dream
Project X (1987 film)
Assassination (1987 film)
L'été en pente douce
Vaiki Odunna Vandi
Traci, I Love You
Ureme 4
The Devil's Disciple (1987 film)
Dirty Dancing
Hello Mary Lou: Prom Night II
On se calme et on boit frais à Saint-Tropez
Slam Dance (film)
Angel Heart
Tora-san Goes North
Sweet Revenge (1987 film)
Swayamkrushi
Grateful Dead: So Far
Vijetha Vikram
Catch the Heat
Lupo the Butcher
White Apache
Bhoomiyile Rajakkanmar
The Stepfather (1987 film)
Surrender (1987 film)
Superman IV: The Quest for Peace
Like Father Like Son (1987 film)
A Man from the Boulevard des Capucines
El Dueño del sol
Surf Nazis Must Die
Timestalkers
Vilambaram
Graveyard Disturbance
Lethal Obsession
Death Run
Mr. India (1987 film)
The Cure for Insomnia
Promised Land (1987 film)
Kurtar Beni
Until Death (1987 film)
Category:1987 direct-to-video films
Mountain Strawberries 3
I Was a Teenage Zombie
A Hazard of Hearts
Forbidden Dreams
Dheeran
Ananda Aradhanai
The Gunfighters (1987 film)
The Wife of an Important Man
Ping Pong (1987 film)
Ithrayum Kalam
Ethnic Notions
The Last Tunnel (1987 film)
The Lesson (1987 film)
Death Wish 4: The Crackdown
Season of Monsters
Specters (film)
Rich and Famous (1987 film)
Io e mia sorella
Burglar (film)
Open House (1987 film)
De Danadan
She Must Be Seeing Things
Lolita: Vibrator Torture
Rock Odyssey
Superman (1987 film)
Jallikattu (film)
Zegen
Be-Bop High School
Great Expectations: The Untold Story
Uttar Dakshin
The Rogues (film)
The Brave Little Toaster (film)
Galactic Gigolo
Max, Mon Amour
MÁG
Siesta (film)
Srinivasa Kalyanam
Pillar of Mist
The Distant Land
The Garden of Desires
Missile (1987 film)
The Chipmunk Adventure
Hawalaat
The Elephant Keeper
Janangalude Shradhakku
Scenes from the Goldmine
Seductio
The Curse (1987 film)
Wierna rzeka (1983 film)
I Love N.Y. (1987 film)
The Quick and the Dead (1987 film)
New Mr. Vampire
Saino
Pyar Ki Jeet (1987 film)
Theertha Karaiyinile
Allari Krishnaiah
Thulasi (film)
Hiraasat
Antarjali Jatra
The Outing (film)
Les Innocents (film)
Naradhan Keralathil
The Big Bang (1987 film)
Chinna Thambi Periya Thambi
Kaiyethum Dhoorathu
Fatal Attraction
Dorothy Meets Ozma of Oz
Wolf's Hole
Paruva Ragam
El Hombre de la deuda externa
Per Sollum Pillai
Bullseye (1987 film)
Control (1987 film)
The Last Emperor
Spring Break '87
The Princess Academy
Equalizer 2000
Eye of the Eagle (1987 film)
God's Outlaw
Contemporary Indian Sculpture
Hadley's Rebellion
Anna (1987 film)
Feathers (film)
Heat and Sunlight
La Clínica del Dr. Cureta
Aalappirandhavan
Dorf's Golf Bible
Mio in the Land of Faraway
Lunch Meat (film)
Me sobra un marido
The Legend of Wisely
Mr. Nice Guy (1987 film)
Anjatha Singam
The Kreutzer Sonata (1987 film)
Damon's Law
In the Wee Wee Hours...
Shubha Milana
Sister, Sister (1987 film)
Zinabu
Summer School (1987 film)
Why? (film)
Erotic Ghost Story
A Stitch for Time
Magnat (film)
Swargam
Itoshino Half Moon
The Caller (1987 film)
