The Magic Weaver
Trick or Tweet
Never So Few
The Cosmic Man
Naadodikal
Le sorprese dell'amore
Tank Commandos
Nujum Pa' Belalang
Temptation (1959 film)
Good Morning (film)
Dead Man's Treasure
Main Nashe Mein Hoon
The Day Shall Dawn
Crime and Punishment U.S.A.
Mon pote le gitan
Vi er allesammen tossede
Tarzan, the Ape Man (1959 film)
Hercules Unchained
Chirag Kahan Roshni Kahan
The Black Chapel
T-Bird Gang
The Hanging Tree
In the Wake of a Stranger
Pillow Talk (film)
Dhool Ka Phool
The Thieves (1959 film)
Cuban Rebel Girls
The House of the Seven Hawks
You're on Your Own
Our Man in Havana (film)
Akash Ar Mati
Die unvollkommene Ehe
Model for Murder
Kein Mann zum Heiraten
The Overtaxed
The Horse Soldiers
Ciao, ciao bambina!
No soy monedita de oro
Chuang Tapestry
Der Haus-Tyrann
The World of Apu
The Four Skulls of Jonathan Drake
The Jayhawkers!
Mi esqueleto
Insan Jaag Utha
I'm All Right Jack
The Killer Shrews
No Safety Ahead
The Great Van Robbery
The Remarkable Mr. Pennypacker
Girls Town
Pyar Ki Rahen
Neel Akasher Neechey
Aana Valarthiya Vanampadi
Piccolo (cartoon)
The Bridal Path (film)
Daß ein gutes Deutschland blühe
Expresso Bongo
The Rabbit Trap
The Angry Hills (film)
Jak se Franta naučil bát
God's Money (film)
Paratroop Command
Moutarde van Sonansee
Nella città l'inferno
The Law (1959 film)
The Mouse That Jack Built
Diario (film)
Do Ustad (1959)
Come Dance with Me (1959 film)
Green Harvest
Please Turn Over
Anna Lucasta (1959 film)
Kalaivaanan
The 400 Blows
Natürlich die Nelli
Devil's Cavaliers
Raggare!
Dagli Appennini alle Ande
Simplon-Tunnel
Mstitel
A Thousand Stars Aglitter
Dubrowsky
Intrigue and Love (film)
První parta (film)
The Chasers (1959 film)
The Flying Fontaines
But Not for Me (film)
Plan 9 from Outer Space
Bad Girls Don't Cry
Here I Am, Here I Stay
First Man into Space
Danger List
Eugene Onegin (film)
The Broken Disk
Støv på hjernen (1959 film)
Father of Four on Bornholm
The Man Who Liked Funerals
Matir Pahar
Goonj Uthi Shehnai
Bhai Bahen (1959 film)
Sahil (1959 film)
Kalyana Parisu
Hound-Dog Man
Follow a Star
Vento del sud
Alive and Kicking (film)
Love Marriage (1959 film)
Hannibal (1959 film)
Third Man on the Mountain
Telegrame
Night of the Ghouls
The Man Who Understood Women
Counterplot
Riot in Juvenile Prison
Die Brücke (film)
Night of the Quarter Moon
Der Frosch mit der Maske
Ten Seconds to Hell
Naked Fury
Minnalppadayaali
Super Giant
Revenge of the Virgins
The FBI Story
The Young Philadelphians
Dorothea Angermann
Sword of Blood and Valour
The Tingler
Tiger Bay (1959 film)
The Scapegoat (1959 film)
Some Like It Hot
The Atomic Submarine
Odd Obsession
A Touch of Larceny
Menschen im Hotel
Island of Lost Women
Evangelina (film)
Serious Charge
A Private's Affair
Shake Hands with the Devil (1959 film)
Policarpo (film)
The Hangman (1959 film)
Beloved Infidel
The Headless Ghost
Los Hermanos Diablo
Life of an Expert Swordsman
Yesterday's Enemy
4D Man
Terror Is a Man
Heaven Without Love
Paigham
Al Capone (film)
Suddenly, Last Summer (film)
Plunderers of Painted Flats
For Love and Others
Carry On Nurse
Don't Give Up the Ship (film)
Jawani Ki Hawa (1959 film)
Rio Bravo (film)
The 30 Foot Bride of Candy Rock
Pork Chop Hill
Edge of Eternity (film)
The Lady Is a Square
Old Heidelberg (1959 film)
Gidget (film)
Teenage Zombies
Make Mine a Million
Jet Storm
The Last Angry Man
The Hound of the Baskervilles (1959 film)
The Legend of Tom Dooley
The Devil's Disciple (1959 film)
The Treasure of San Teresa
Les Dragueurs
Rue des prairies
People Are Bunny
Backwoods Bunny
La vida alrededor
El Pisito
Jack the Ripper (1959 film)
North West Frontier (film)
The Giant Behemoth
The Female (1959 film)
The Miracle of the Hills
The Wound of Separation
The Monster of Piedras Blancas
Sapphire (film)
The Captain's Table
Naan Sollum Ragasiyam
Bhaaga Pirivinai
The White Warrior
Cover Girl Killer
Charles' Aunt
Count Your Blessings (1959 film)
The Mouse That Roared (film)
The Gunfight at Dodge City
Timbuktu (1959 film)
Labyrinth (1959 film)
The Angry Red Planet
Journey to the Center of the Earth (1959 film)
The Delinquents (1960 film)
Say One for Me
The World, the Flesh and the Devil (1959 film)
The Master and His Servants
Hassan and Nayima
The Big Fisherman
Web of Passion
SOS Pacific
Beast from Haunted Cave
The Diary of Anne Frank (1959 film)
Day of the Outlaw
Los tramposos
Have Rocket, Will Travel
Un maledetto imbroglio
Mustang! (film)
Der kleine Kuno
Story of the White-haired Demon Girl
Horrors of the Black Museum
Category:Lists of 1959 films by country or language
Abba Aa Hudugi
Yo pecador
Serengeti Shall Not Die
Here Come the Jets
Apes of Wrath
Back to the Door
Stars (film)
The Big Operator (1959 film)
Too Young to Love (film)
Blood and Steel (film)
Blue Denim
Green Mansions (film)
Cerasella
Even the Clouds Are Drifting
School Master (1959 film)
Sie nannten ihn Amigo
The Birth of Japan
Alias Jesse James
The Story on Page One (film)
Lone Texan
La caída
La Paloma (film)
The Kingdom and the Beauty
The Sword Stained with Royal Blood (film)
Last Train from Gun Hill
The Journey (1959 film)
The Employee
Cat's Cradle (film)
Freddy, the Guitar and the Sea
Bain el Atlal
Goods for Catalonia
Chathurangam (1959 film)
Sujata (1959 film)
La Pica sul Pacifico
Prisoner of the Volga
The Idiot (1958 film)
Dos corazones y un cielo
Hambre nuestra de cada día
Kapitäne bleiben an Bord
Toto in Madrid
Babette Goes to War
Operation Petticoat
The Boy and the Bridge
The Last Mile (1959 film)
Zkouška pokračuje
Lotna
The Oregon Trail (1959 film)
Shadows (1959 film)
Los ambiciosos
Too Many Crooks
La sceriffa
Princezna se zlatou hvězdou
Appu Chesi Pappu Koodu
Friends and Neighbours
Ugler i mosen
The Immoral Mr. Teas
Audace colpo dei soliti ignoti
Shree Shree Mahalaxmi Puja
Good Day for a Hanging
The White Land
Musang Berjanggut
Nebo Zovyot
Saknoiya
General (1959 film)
Bouboulina (film)
Jet Over the Atlantic
Ragazzi del Juke-Box
Last Clear Chance
This Earth Is Mine (1959 film)
Het Geheim van de Oude Molen
Le Signe du Lion
Brücke zwischen gestern und morgen
Forbidden Island
Bank Manager
Woman Obsessed
Escape from the Shadows (film)
Where Are You Going, Alfonso XII?
Killers of Kilimanjaro
Vacations in Majorca
News in Hell
Train Without a Timetable
Portuguese Rhapsody
Porgy and Bess (film)
Ask Any Girl (film)
Stournara 288
World of Miracles
Woman's Temptation
Up Periscope
Samurai Vendetta
Alaska Passage
Darby O'Gill and the Little People
The Man in the Net
Breakout (1959 film)
Morning in the Streets
Maiden's Cheek
The Verdict (1959 film)
Kiku to Isamu
The Manster
The Magliari
The Wonderful Country (film)
The Crowning Touch
Araya (film)
Diary of a High School Bride
Le secret du Chevalier d'Éon
Die Dame und der Blinde
Erich Kubak
I Was Born in Buenos Aires
Beyond This Place (1959 film)
Pier 5, Havana
Head of a Tyrant
Surf Crazy
Stars at Noon
Desert Desperadoes
Fort Massacre
Vannakili
Illarikam
Magic Boy (film)
The Bandit of Zhobe
Wolves of the Deep
Panoptikum 59
The Five Pennies
Mangalya Balam
The Man Who Walked Through the Wall
No Trees in the Street
The Model Husband (1959 film)
The Sound and the Fury (1959 film)
Nai Raahen
Sheba and the Gladiator
Signé Arsène Lupin
Take a Giant Step
A Midsummer Night's Dream (1959 film)
The Child and the Killer
The Beat Generation
The Great War (1959 film)
En la vía
Violent Moment
Kanhaiya (1959 film)
Three Loves in Rio
Broth of a Boy
Juke Box Rhythm
Man Accused
Rock'n'Roll (film)
Tipi da spiaggia
Caltiki – The Immortal Monster
Men and Noblemen
Raat Ke Rahi
Il vedovo
And That on Monday Morning
Middle of the Night
Yellowstone Kelly
The Shakedown (1959 film)
The Alligator People
Never Steal Anything Small
Marie-Octobre
The Little Savage
Schmutziger Engel
Window Water Baby Moving
Danger Within
Gringalet (film)
Guns Girls and Gangsters
The Last Blitzkrieg
Frontier Rangers
Aquello que Amamos
Crash Drive
Ten Ready Rifles
Battle Beyond the Sun
High School Big Shot
The Young Land
Floating Weeds
Verboten!
The Eagle (1959 film)
The Rookie (1959 film)
Reportage 57
Three Stooges Fun-O-Rama
Come Back, Africa
Pourquoi viens-tu si tard?
Kaagaz Ke Phool
Left Right and Centre
A Summer You Will Never Forget
A Hole in the Head
Li'l Abner (1959 film)
Before the Lightning Strikes
The Price of Silence (1959 film)
-30- (film)
Pull My Daisy
Maa Inti Mahalakshmi
Prepotenti più di prima
House on Haunted Hill
Thanga Padhumai
Carry On Teacher
The Goodies (1959 film)
They Came to Cordura
For Better, for Worse (1959 film)
Lucky Dragon No. 5 (film)
Fröken Chic
The Blue Angel (1959 film)
Stalingrad: Dogs, Do You Want to Live Forever?
The Mummy (1959 film)
Life in Emergency Ward 10
The Restless and the Damned
Compulsion (1959 film)
The Pirate and the Slave Girl
Home Is the Hero
Here Today, Gone Tamale
The Nun's Story (film)
The Golden Fish (film)
Triplets on Board
Del suelo no paso
Santa Claus (1959 film)
Non perdiamo la testa
Tunis Top Secret
Miracles of Thursday
When the Woman Butts In
Paw (film)
Ferdinando I, re di Napoli
Bobbikins
Submarine I-57 Will Not Surrender
Curse of the Undead
The Young Captives
The Night We Dropped a Clanger
Cigarettes, Whiskey and Wild Women
Face of a Fugitive
Der verlorene Ball
General Della Rovere
El cariñoso
Five Gates to Hell
These Thousand Hills
Argument About Basia
Teenagers from Outer Space
Ghost of Dragstrip Hollow
A Cool Sound from Hell
Category:1959 television films
The Cow and I (film)
La cambiale
Lampa (film)
Son of the Red Corsair (film)
Blessings of the Land
Slečna od vody
A Girl Against Napoleon
Royal River (1959 film)
Mexicali Shmoes
Onkel Bill fra New York
Puberun
Top Floor Girl
The Great St. Louis Bank Robbery
The Siege of Pinchgut
Fires on the Plain (1959 film)
A Broken Leghorn
It Happened to Jane
The Ideal Woman
Archimède le clochard
Defiance of a Teenager
Tommy the Toreador
Du rififi chez les femmes
The Green Mare (film)
Battle of the Coral Sea (film)
Senta auf Abwegen
Cry Tough (film)
Dharma Vijaya
Tre må man være
Signal 30
Arson for Hire
Look Back in Anger (1959 film)
Amor se dice cantando
Blind Date (1959 film)
Soldat und Sportler
Yesterday (1959 film)
Love's Confusion
The Moralist
Court Martial (1959 film)
Honeymoon (1959 film)
Always on Duty
Holiday for Lovers
Weißes Blut
Donald in Mathmagic Land
Angelitos del trapecio
Floods of Fear
Great Is My Country
Ride Lonesome
City of Fear (film)
Pudhumai Penn (1959 film)
The Tiger of Eschnapur (1959 film)
The Goose of Sedan
Sleeping Beauty (1959 film)
Wild and Woolly Hare
Abschied von den Wolken
Peter schießt den Vogel ab
The Scavengers (1959 film)
Triple Crossed
Letter Never Sent (film)
Women Are Weak
Picnic on the Grass
The Adventures of Buratino (1959 film)
Pehli Raat (film)
Venetian Honeymoon
The Race for Space (film)
Happy Anniversary (film)
That Kind of Woman
Love Now, Pay Later
Miracle on 34th Street (NBC Friday Night Special Presentation)
Portrait of Canada
Veerapandiya Kattabomman (film)
Soldaterkammerater rykker ud
A Dog's Best Friend
Legions of the Nile
Guardatele ma non toccatele
The Friend of the Jaguar
Subway in the Sky
Ben-Hur (1959 film)
Hiroshima mon amour
The Magistrate (1959 film)
Roadracers (1959 film)
Summer of the Seventeenth Doll (film)
Odds Against Tomorrow
The Poet and the Little Mother
El toro negro
North by Northwest
Beyond All Limits
Night Train (1959 film)
The Square Peg
The Wild and the Innocent
A Dog of Flanders (1960 film)
Born to Be Loved
A Witch's Tangled Hare
Ars (film)
The Overcoat (1959 film)
Don't Panic Chaps!
The Rest Is Silence (1959 film)
Thaai Magalukku Kattiya Thaali
Jayabheri
Juke box urli d'amore
A Home for Tanya
Monster on the Campus
Desert Mice
Awakening (1959 film)
Unforgettable Trail
From Generation to Generation
Idol on Parade
The Blue Moth
Tweet and Lovely
Pendekar Bujang Lapok
Special Mission
The Desperate Man
On the Beach (1959 film)
Thunder in the Sun
The Dance (1959 film)
First Love (1959 film)
Invisible Invaders
Destiny of a Man
The Navy Lark (film)
Moonbird
The Bloody Brood
This Other Eden (film)
On Their Own
Estate Violenta
Navrang
Pickpocket (film)
Wie die Wilden
When Angels Fall
Le Bossu (1959 film)
Warlock (1959 film)
Chaowa Pawa (1959 film)
The Ugly Duckling (1959 film)
Nazarín
Way of Youth
India: Matri Bhumi
The Blue Sea and You
Sappy Bull Fighters
Lock Up Your Daughters (1959 film)
The Apu Trilogy
Operation Dames
Everyone's in Love
The Miracle (1959 film)
Story of the Vulture Conqueror
Die Stiere des Hidalgo
The Giant of Marathon
High Jump (film)
El Lazarillo de Tormes
Sivagangai Seemai
The Wreck of the Mary Deare (film)
Space Invasion of Lapland
The Chaplin Revue
The Wasp Woman
An Angel on Wheels
No Name on the Bullet
La Venenosa
Red Line (1959 film)
The Stranglers of Bombay
Kartar Singh (1959 film)
Anatomy of a Murder
I Mobster
Zpívající pudřenka
Manege Banda Mahalakshmi
Hey Boy! Hey Girl!
Winter Holidays
The Gazebo
I Was a Satellite of the Sun
Cuban Story
Bloody Twilight
Ballad of a Soldier
Vom mutigen Hans
The Indian Tomb (1959 film)
Una Gran señora
Black Orpheus
Operation Bullshine
The Big Circus
The Nightingale's Prayer
Magnificent Sinner
The Shaggy Dog (1959 film)
Tarzan's Greatest Adventure
The Jazz Singer (1959 film)
The Heart of a Man
Ehesache Lorenz
Fiend of Dope Island
Dil Deke Dekho
My Second Brother
Tokaido Yotsuya kaidan
Category:1959 animated films
Mahishasura Mardini (film)
Nie Er (film)
The Gene Krupa Story
Sagar Sangamey
Bhangra (film)
Morte di Un Amico
Anari
Westbound (film)
Cuando se quiere se quiere
Life Begins at 17
Char Dil Char Rahen
My Wife's Enemy
Helle for Helene
Bari Theke Paliye
Cast a Long Shadow
The Little Island
It Started with a Kiss (film)
The Battle of the Sexes (1959 film)
Sängkammartjuven
Planet Prince
Swinging at the Castle
Two Men in Manhattan
Solomon and Sheba
The Last Days of Pompeii (1959 film)
The Louisiana Hussy
Ujala
De sjove år
¡Mis abuelitas... nomás!
The Living Coffin
The Bureaucrats (1959 film)
The Rebel Set
