His Daughter's Dilemma
Krazy Kat & Ignatz Mouse Discuss the Letter 'G'
Fatty and Mabel Adrift
For the Love of a Girl
Felix on the Job
Broken Fetters
The Laughing Saskia
His Wife's Mistakes
Le périscope
The Jackals of a Great City
Dulcie's Adventure
Life's Shadows
Gloria's Romance
Pasquale (film)
Luke Laughs Last
His Picture in the Papers
Faith (film)
Let Katie Do It
Flirting with Fate (1916 film)
For the Defense (1916 film)
The Hidden Valley
Sequel to the Diamond from the Sky
Cinderella (1916 film)
Puppets (film)
The Passing of Hell's Crown
When Thieves Fall Out
A Coney Island Princess
Peggy (1916 film)
Stranded (1916 comedy film)
The Man Who Would Not Die
An Interrupted Divorce
The Parson of Panamint
He Fell in Love with His Wife
White Nights (1916 film)
Innocence of Lizette
Jacobo Ortis
Her Defiance
The House of Fortescue
Sold for Marriage
Tigre reale
Edison Bugg's Invention
Domestic Difficulties
Her Greatest Performance
La falena (film)
Just a Girl (film)
The Kiss (1916 film)
Less Than the Dust
The Committee on Credentials
Destiny's Toy
Trouble for Nothing
The Nick of Time Baby
Pipe Dreams (1916 film)
The Reformers (film)
The Race (1916 film)
Them Was the Happy Days!
The Torch Bearer
The Black Rainbow
Vice Versa (1916 film)
Das Phantom der Oper
Somewhere in France
La conquista dei diamanti
Struggling Hearts
The Wood Nymph (film)
A Million A Minute
The Rose of Granada
An Aerial Joyride
The Hand of Peril
Time and Tide (1916 film)
The Night Riders (1916 film)
Life Savers (film)
Prize Winners
He Winked and Won
The Woman in the Case (1916 American film)
Love's Lariat
To Have and to Hold (1916 film)
Whoso Is Without Sin
The Vixen
The Foundling (1916 film)
Farmer Al Falfa Sees New York
La Bohème (1916 film)
The World's Great Snare
Kiss of Death (1916 film)
Two Seats at the Opera
Luke's Speedy Club Life
Silks and Satins
The ABC of Love (1916 film)
Embers (film)
Tales of Hoffman (film)
Gold and the Woman
The Price of Happiness
Il dramma della corona
The Stronger Love
The Gates of Eden
Mr. Doctor (film)
The Serenade (film)
The Clown (1916 film)
Sidetracked (film)
The Weakness of Strength
Ben Blair (film)
Joy and the Dragon
The Marriage of William Ashe
In the Last Stride
Romeo and Juliet (1916 Fox film)
East Lynne (1916 film)
Witchcraft (1916 film)
A Sister of Six
The Robber Bride (film)
The Strange Case of Mary Page
When Knights Were Bold (1916 film)
The Conspiracy (1916 film)
The Candy Trail
Majoor Frans
Stampede in the Night
Jealousy (1916 film)
The Abandonment
Luke Joins the Navy
A Creampuff Romance
Perdida
Luke's Lost Lamb
The Heir to the Hoorah
Nerve and Gasoline
Luke Pipes the Pippins
David Garrick (1916 film)
The Moonshiners
Me and Me Moke
The Price of Silence (1916 film)
Matching Dreams
The Beckoning Flame
One Too Many (1916 film)
The Mutiny of the Bounty
Each Pearl a Tear
He Wrote a Book
Macbeth (1916 film)
Seven Keys to Baldpate (1916 film)
The Lottery Man
Undine (film)
Police (1916 film)
Darkness (1916 film)
The Curse of Quon Gwon
Nurse Cavell
Een danstragedie
The Lyons Mail (1916 film)
Luke's Late Lunchers
Secret Love (1916 film)
The Doll Doctor
The Lure of Heart's Desire
The Grip of Jealousy
Nursie! Nursie!
The Vicar of Wakefield (1916 film)
La renzoni
Sparrows (1916 film)
It Is for England
Madame X (1916 film)
The Sowers
The Battle of the Somme (film)
The Velvet Paw
A Son of Erin
A Terrible Tragedy
The Victoria Cross (film)
The Try Out
Davy Crockett (1916 film)
Truth and Justice (film)
The Mark of Cain (1916 film)
Fifty-Fifty (1916 film)
A Dream or Two Ago
The Thousand-Dollar Husband
Haystacks and Steeples
A Wife's Sacrifice
Little Lady Eileen
Luke and the Bang-Tails
The Heroes (1916 film)
The Rainbow Princess
The Other Side of the Door
The Spell of the Yukon (film)
Spaghetti (film)
Redeeming Love (film)
The New Clown
The Dream Girl (film)
The Crisis (1916 film)
Molly Make-Believe
Il sopravvissuto
Therèse
Burnt Wings
Charlie at the Sydney Show
Madame la Presidente
The Release of Dan Forbes
The Love Mask
The Girl Who Loves a Soldier
The Intrigue
A Warm Reception
He Did and He Didn't
Dimples (1916 film)
Diana and Destiny
The World and the Woman
Cynthia in the Wilderness
The Karthauzer
Lights of New York (1916 film)
The Closed Road
A Sticky Affair
Luke and the Rural Roughnecks
A Pair of Spectacles
The Pawn of Fate
The Evil Thereof (1916 film)
New York (1916 film)
L'ultimo travestimento
All for a Girl (1916 film)
Civilization (film)
The Guilty Ones
The Grand Babylon Hotel (1916 film)
The Danger Girl
The Broken Cross (1916 film)
Bobbie of the Ballet
The Eternal Grind
The Secret Wire
The Blind Woman of Sorrento (1916 film)
The Serpent (1916 film)
The Smugglers (film)
The Queen's Love Letter
Saints and Sinners (1916 film)
Luke Does the Midway
A Bunch of Violets (film)
The Pioneers (1916 film)
The Count (film)
Luke's Fireworks Fizzle
The Man Who Bought London
The Victim (1916 film)
Sowing the Wind (1916 film)
A Knight of the Range
The Naughty Otter
The American Beauty
Ramona (1916 film)
Pudd'nhead Wilson (film)
The Children Pay
The Strength of the Fatherland
Les Gaz mortels
Billy's War Brides
The Lords of High Decision
The Wedding Guest
Snow White (1916 film)
Milestones (film)
The Joan of Arc of Loos
Viviana (film)
Shadows (1916 film)
Maria Rosa
The Feud Girl
The Suspect (1916 film)
What's Sauce for the Goose
The Good Bad Man
The Answer (film)
The Merchant of Venice (1916 film)
Category:Lists of 1916 films by country or language
Zepped
The Plow Girl
Guilty (1916 film)
The Three Musketeers (1916 film)
Slander (1916 film)
A Maid to Order
The Gamble (1916 film)
A Gutter Magdalene
Frau Eva
Sherlock Holmes (1916 film)
The Craving (1916 film)
Tangled Skeins
The Reward of Patience
Luke Foils the Villain
The Devil's Needle
Miska the Magnate
Pathways of Life
It Happened in Pikesville
Lady Windermere's Fan (1916 film)
Sea Dogs (film)
Madame Guillotine (1916 film)
The Aryan
Lonesome Luke Leans to the Literary
The Floorwalker
The Yellow Passport
The Rail Rider
A Day at School
The One Million Pound Note
The Straight Way
A Soul at Stake
Beau Brocade (film)
An Innocent Magdalene
Cenere
Youth's Endearing Charm
Australia Prepared
Lonesome Luke Lolls in Luxury
Driven (1916 film)
The Valley of Fear (1916 film)
Reggie Mixes In
Playing with Fire (1916 film)
Her Double Life
The Gentle Art of Burglary
The City (1916 film)
Arthur's Desperate Resolve
The Fire (1916 film)
Liefdesoffer
The Soul of Kura San
If the Huns Came to Melbourne
A La Cabaret
The Place Beyond the Winds
The Schemers (film)
Tom Brown's Schooldays (1916 film)
Judex (1916 film)
The Heart of Paula
East Is East (1916 film)
The Devil's Own (1916 film)
The Code of Marcia Gray
The Wings (film)
The Iron Woman (film)
The King's Daughter (1916 film)
De Voortrekkers
Luke, Crystal Gazer
Seven of Spades (film)
The Daughter of MacGregor
The Pawnshop
Won by Losing
Annie Laurie (1916 film)
Blind Justice (1916 film)
Officer 666 (1916 film)
Aunt Bill
The Eternal Question
Luke Rides Roughshod
The Yellow Pawn
A Woman's Eyes
The Gold Chignon
The Eternal Sapho
Hell-to-Pay Austin
Public Opinion (1916 film)
The Kiss of Hate
A Night of Horror
A Welsh Singer
The Innocent Lie
The Lost Bridegroom
The Snowbird
Behind the Screen
The Heiress at Coffee Dan's
Poor Little Peppina
Acquitted (film)
The Wolf Woman
Luke and the Bomb Throwers
Frenzied Finance
Royal Blood (film)
The Woman's Law
The Iron Claw (1916 serial)
Luke, the Candy Cut-Up
Partners at Last
Lonesome Luke, Circus King
The White Roses
Under Two Flags (1916 film)
Disraeli (1916 film)
Vengeance Is Mine (1916 film)
The Realization of a Negro's Ambition
Love and Duty (1916 film)
The Ships That Meet
Odette (1916 film)
Krazy Kat and Ignatz Mouse: A Duet, He Made Me Love Him
Dr. Wake's Patient
Extravagance (1916 film)
The Sea Vultures
Twin Flats
The Broken Melody (1916 film)
The Woman in the Case (1916 Australian film)
Murphy of Anzac
The Victory of Conscience
The Strength of Donald McKenzie
Wife and Auto Trouble
The Fireman (1916 film)
The Water Cure
Luke's Fatal Flivver
The Years of the Locust
The Traveling Salesman
The Scarlet Runner
The Habit of Happiness
The Green Orchard
The Mystery of the Leaping Fish
The Wolf (1916 film)
Mother Love (film)
A Man of Sorrow
The Storm (1916 film)
Their Vacation
Lovely Mary
The House Built Upon Sand
The Moment Before
The Village Rogue
Luke's Newsie Knockout
The Selfish Woman
The Americano (1916 film)
Where Are My Children?
This Way Out
His Picture
The League of the Future
A Man - That's All
Joan the Woman
Nearly a King
Pearl of the Army
The Game of Liberty (film)
The Life's Romance of Adam Lindsay Gordon
Everybody's Doing It (1916 film)
Meg the Lady (film)
Mother's Child
The Light of Happiness
The Precious Parcel
The Red Widow
Hulda from Holland
The Smugglers of Santa Cruz
It's Always the Woman
The House with the Golden Windows
The Other Man (1916 film)
Seventeen (1916 film)
A Dash of Courage
The Crimson Stain Mystery
The Big Sister (film)
Bungles
Lord Loveland Discovers America
Held for Damages
American Aristocracy
A Special Delivery
The Wandering Light
Mamma's Boys
Diane of the Follies
For the Honour of Australia
Luke's Double
The Quest of Life
The Sinful Woman
Hoodoo Ann
The Scarlet Woman
Shoe Palace Pinkus
Luke, Patient Provider
Following the Flag in Mexico
Ochrana warszawska i jej tajemnice
The Queen's Secretary
Tales of the Typewriter
Daphne and the Pirate
A Society Sherlock
Bright Lights (1916 film)
The Rise of Susan
Under Cover (1916 film)
A Sanitarium Scramble
20,000 Leagues Under the Sea (1916 film)
Audrey (1916 film)
Molly Bawn (film)
Gretchen the Greenhorn
Dreamy Knights
Avatar (1916 film)
The End of the World (1916 film)
Tangled Hearts
The Stepping Stone
The Hard Way (1916 film)
The Adventures of Peg o' the Ring
McTeague (film)
True Nobility
The Gilded Cage (1916 film)
Nearly a Deserter
The Road to Love
Within the Law (1916 film)
The Gilded Spider
The Grey Sisterhood
The Wraith of Haddon Towers
The Adventures of Kathlyn
Mrs. Dane's Danger
The Vagabond (film)
The Ragamuffin
Behind the Lines (film)
When Love Is King
The Turmoil
When Knights Were Bold (1916 Italian film)
Nanette of the Wilds
The Grasp of Greed
In the Kingdom of Oil and Millions
A Natural Born Gambler
Ashes of Embers
Beatrice Fairfax
Il sogno di un giorno
Hired and Fired
The Mother of Dartmoor
The Call of the Cumberlands
War Brides
Fat and Fickle
The Medic (1916 film)
The Pretenders (1916 film)
Baby Doll (1916 film)
The Martyrdom of Philip Strong
The Love Hermit
