Loner (film)
Rescue Squad Mater
Firaaq
Lake City (film)
Hole in the Paper Sky
Just Add Water (film)
Punggok Rindukan Bulan
Private Valentine: Blonde & Dangerous
Unfair Dealing
Séraphine (film)
Vicious Circle (2008 film)
Al hob fy zaman al kolla
Kurosagi (film)
The Love Guru
Deadly Pursuit
Poo (film)
Satyam (2008 film)
The Garden (2008 film)
Colors of Memory
Good Will Evil
Conspiracy (2008 film)
Last Hour
Definitely, Maybe
90 Ghanta
Mon Amour: Shesher Kobita Revisited
North Face (film)
Le Poisson noyé
Johnny Mad Dog
Vampiro: Angel, Devil, Hero
Pratigya (2008 film)
Adulthood (film)
Amour d'Enfants
Killshot (film)
Who's Nailin' Paylin?
Nee Sukhame Ne Koruthunna
Heaven on Earth (film)
Nachavule
RiP!: A Remix Manifesto
One Two Three
Colin (film)
The Good Fight
Jack and Jill vs. the World
100 Feet
While She Was Out
Kismat Konnection
Gumnaam – The Mystery
Sleep Dealer
Uliyin Osai
Shiva (2008 film)
Laskar Pelangi
Flower in the Gun Barrel
Dayere Zangi
The Marconi Bros.
Telstar: The Joe Meek Story
Nucingen House
Before Tomorrow
The Wackness
Dhara (film)
City Without Baseball
Hong Kong Bronx
Hare Ram
Premer Kahini
American Son (film)
Diary of a Tired Black Man
Visioneers
Sugar (2008 film)
Jerusalem Is Proud to Present
High School Musical: El Desafío
Vaana (film)
The Guard Post
Le Chant des mariées
Born in 68
The Brooklyn Heist
Ang Lihim ni Antonio
Everything Is Fine (film)
Hank and Mike
Paris 36
Aadum Koothu
Iron City Blues
Plus One (2008 film)
The Agent (2008 film)
Naale (film)
The Messenger (2008 film)
Un novio para Yasmina
Baby Blues (2008 film)
The Haunting of Molly Hartley
The Other Side of the Tracks
Tru Loved
The Facts in the Case of Mister Hollow
1½ Knights – In Search of the Ravishing Princess Herzelinde
I-4:Loafing and Camouflage
Peacefire (film)
Anaconda 3: Offspring
It Might Get Loud
Roadside Romeo
The Lazarus Project
Shred (film)
Chaitrada Chandrama
Children of the Dark
The Home of Dark Butterflies
Kakushi Toride no San-Akunin: The Last Princess
Vaitheeswaran
The Queen and I (film)
Where in the World Is Osama bin Laden?
Crazy Gopalan
The Pirates Who Don't Do Anything: A VeggieTales Movie
The Last Thakur
Exit Speed
Ballast (film)
Disgrace (film)
The Sound of a Dirt Road
Keroro Gunso the Super Movie 3: Keroro vs. Keroro Great Sky Duel
The Sea Wall
Pontypool (film)
Remix (film)
Philosophy of a Knife
Edges of Darkness
The Yellow Handkerchief (2008 film)
Secrecy (film)
The Last Straw (film)
Arizona Sky
Takkar (2008 film)
Journal of a Contract Killer
Thangam
Lost City Raiders
Unmistaken Child
Drillbit Taylor
Gomorrah (film)
Leatherheads
My Little Pony: Meet the Ponies
Solo un padre
Kurukshetra (2008 film)
Deb and Sisi
Walking on Dead Fish
Daylight Robbery (2008 film)
Two Fists, One Heart
Dying God
A Cross the Universe (film)
The Bank Job
My Best Friend's Girl (2008 film)
Standard Operating Procedure (film)
Summer Whispers
The Leap Years
Kill Kill Faster Faster
The Disappeared (2008 film)
The Year of Getting to Know Us
Dear Zachary: A Letter to a Son About His Father
Michael Madana Kamaraju
Aakasha Gopuram
Songs from the Southern Seas
Bathory (film)
Achilles and the Tortoise (film)
Embodiment of Evil
Tingya
Article VI (film)
Real Time (film)
The Prodigal Trilogy
Dark Honeymoon
Parunthu
When Love Begins
Ruby Blue (film)
Shalabam
Time of the Comet
Familiar Strangers
Zip 'n Zoo
Khela
A No-Hit No-Run Summer
Journey to the End of Coal
35 Shots of Rum
Dog Eat Dog (2008 film)
The Eternal City (2008 film)
Bajimaat
Gutterballs (film)
Cash (2008 film)
Preacher's Sons
Night and Day (2008 film)
The ESP Couple
Shades of Ray
Dance of the Dead (film)
Choke (film)
313 (film)
De Ingottu Nokkiye
Anthu Inthu Preethi Banthu
H3 – Halloween Horror Hostel
Tahaan
Minnaminnikoottam
JCVD (film)
Hero (2008 film)
The Oasis (2008 film)
Fight Night (film)
33 Scenes from Life
Vicky Cristina Barcelona
Team Batista no Eikō
Cloverfield
The Secrets of Jonathan Sperry
120 (film)
Thodakkam
The Garden of Sinners: Remaining Sense of Pain
The Other End of the Line
Wafa: A Deadly Love Story
Saraba Kamen Rider Den-O: Final Countdown
Hackers Are People Too
The Day the Earth Stood Still (2008 film)
Pachamarathanalil
Mulla (film)
Veruthe Oru Bharya
Holy Land Hardball
U Me Aur Hum
Love for Sale (film)
Siddharth: The Prisoner
Part of the Weekend Never Dies
The Secret Life of Bees (film)
Death Toll
Everlasting Moments
305 (film)
Chithrasalabhangalude Veedu
Kagbeni (film)
Mr. Bones 2: Back from the Past
Bigga than Ben
Neel Rajar Deshe
Nuit de chien
Journey to Saturn
The Hide
God Tussi Great Ho
Superstar (2008 film)
Crossing the Line (2008 film)
Rudo y Cursi
Cheerleaders (film)
One Way Ticket (2008 film)
Where the Penguins Fly
Cuci
The World Without US
For Heaven's Sake (2008 film)
Contract Killers
Wolke Neun
Under the Salt
Dog Gone (film)
Road to Hell (film)
The Mystical Adventures of Billy Owens
The First Basket
Mami Sami
The Glass Box
W. (film)
Coming Soon (2008 film)
Fatal Move
Paris, Not France
Middle of Nowhere (2008 film)
Jaane Tu... Ya Jaane Na
Smother (film)
Karma (2008 film)
Do You Believe in Magic (film)
Beautiful Losers (film)
Humsey Hai Jahaan
Kalinga Putra
Allt flyter
Martyrs (2008 film)
The Muslims I Know
The Rhythm Devils Concert Experience
Wendy and Lucy
Quiet Chaos (film)
A Man Who Was Superman
The Texas Vibrator Massacre
Janumada Gelathi
Like a Star Shining in the Night
Baladur
Jerichow (film)
Loss (film)
Aral: Death of a Sea
The Coverup
Small Voices: The Stories of Cambodia's Children
D-17 (film)
Assault in the Ring
Encirclement – Neo-Liberalism Ensnares Democracy
The Oxford Murders (film)
Borealis (film)
Frontier of the Dawn
Made of Honor
Sorry Bhai!
La Conjura de El Escorial
Diary of a Nymphomaniac
I Can See You (film)
The Business of Being Born
The Brothers Bloom
Category:2008 animated films
Cheenti Cheenti Bang Bang
Ghost Town (2008 film)
The BabyDoll Night
Love Live Long
Rang Rasiya
The Butterfly Tattoo (film)
Hellboy II: The Golden Army
No Way to Heaven
Madesha
Turok: Son of Stone (film)
Mithya
Our Last Days as Children
For My Father
Iran (is not the problem)
A mãe dos netos
Bram Stoker's Dracula's Guest
Be Like Others
Jenifa
Rez Bomb
Three Miles North of Molkom
Sunny (2008 film)
Kamen Rider Den-O & Kiva: Climax Deka
Nadigai
Yes Man (film)
Khastegi
The Poker House
Rough Aunties
Saroja (film)
For a Moment, Freedom
Magic Flute Diaries
Ready (2008 film)
Category:2008 short films
Mukhbiir
Break (film)
Karzzzz
East of the Tar Pits
The Broken (film)
No Right to Die – Chinggis Khaan
Gabbla
Corrections (film)
Supahpapalicious
Gulabo
A Tale of Legendary Libido
Vilaine (film)
The Kites Flying in the Sky
Strictly Sexual
Lakshmi Putrudu
Stargate: The Ark of Truth
Desert of Blood
Red Velvet (film)
Behind the Walls (film)
Beyond the Ring
Aainaate
No Subtitles Necessary: Laszlo & Vilmos
Sirf (film)
Breathing Room
Forgetting Sarah Marshall
Beirut Open City
Of the People
Breathless (2008 film)
The Witness: From the Balcony of Room 306
Incendiary (film)
Chiko
Recovered: Journeys Through the Autism Spectrum and Back
Plague Town
Baby Mama (film)
Love Has No Language
The Horribly Slow Murderer with the Extremely Inefficient Weapon
Mad Money (film)
Hello (2008 film)
Welcome to Sajjanpur
The Simpsons Ride
Pig Hunt
Mumbai Meri Jaan
Kuntilanak 3
The Forgotten Woman
April Fool's Day (2008 film)
Cold Lunch
Jayamkondaan
It's Me, Matthew!
Start the Machine (film)
Zombi Kampung Pisang
Stories on Human Rights
Antaratama
I'm All Good
Lake Mungo (film)
Hello, Schoolgirl
Ellam Avan Seyal
Pattenrai!! ~ Minami no Shima no Mizu Monogatari
Five Dollars a Day
Ek Nadir Galpo: Tale of a River
The Flyboys (film)
Magic Lamp (film)
Watch Horror Films, Keep America Strong!
My Big Love
Ontari (film)
Hunger (2008 film)
Noah's Arc: Jumping the Broom
Baghead
Our Feature Presentation
Serpent and the Sun: Tales of an Aztec Apprentice
I Sell the Dead
Pandurangadu
Rule No. 1
Premabhishekam (2008 film)
The Glory Years
Shifty (film)
The Dungeon Masters
Bank Bang
My First Kiss (film)
BLAST! (2008 film)
Go Go 70s
Bhole Shankar
Brooklyn Force
Morphine (film)
Boot Camp (film)
Pride and Glory (film)
Molester's Train: Melody of Wriggling Fingers
24 City
Nerdcore Rising (film)
Slaves in Their Bonds
Wild Child (film)
Broken Angel (film)
American Teen
Radio Cape Cod
The Upsetter (film)
Signs of the Time (film)
Speedy Delivery
Chandragrohon
The Red Baron (2008 film)
The Duchess (film)
Truth in 24
Gooli
Star Trek: Chains of Betrayal
Bone Eater
Open Your Eyes (2008 film)
Deadgirl
Men for Sale
Memory (2008 film)
Highwater (film)
Romantic Island
You Only Loved Me Twice
Renewal (film)
Parc (film)
Bombay to Bangkok
Cuttin' da Mustard
Two Birds (film)
Hakani: A Survivor's Story
Parugu
Yonkers Joe
Blood of the Losers
Speed Racer (film)
Cry Me a River (film)
The Gamers: Dorkness Rising
Senseless (2008 film)
Dean and Me
Chirosathi
Assata aka Joanne Chesimard
Fashion (2008 film)
Chatura Kau
At a Glance
Golmaal Returns
Journey to the Center of the Earth (2008 direct-to-video film)
Make-out with Violence
Stone of Destiny (film)
Donga Sachinollu
Atayalangal
Moscow, Belgium
Black & White (2008 Indian film)
Kids + Money
My Malaysia
Tears of April
Virus Undead
Be a Man! Samurai School
Tribute This!
Nenu Meeku Telusa...?
S&M: Short and Male
Jumbo (film)
College (2008 film)
Minghags: The Movie
School Days with a Pig
Tomake Bou Banabo
Beautiful Me(s): Finding Our Revolutionary Selves
Jannat (film)
En tu ausencia
Trouble the Water
Hillary: The Movie
The Equation of Love and Death
Gajibiji
Buddenbrooks (film)
Shibaji
Agathe Cléry
Stag Night
Purge (2008 film)
A Road to Mecca - The Journey of Muhammad Asad
Service (film)
Circumcise Me
Hats Off (2008 film)
Gnomes and Trolls: The Secret Chamber
The Book of Caleb
The Uninvited (2008 film)
Tuesday (film)
Batman: Gotham Knight
Remarkable Power
Inthi Ninna Preethiya
Siyama
Bajo el mismo Cielo (film)
Green Flash (film)
Act of Grace
Center Stage: Turn It Up
My Dear Enemy
Watercolors (film)
Aramane
Barefoot to Jerusalem
Unspoken (film)
Bigger, Stronger, Faster*
A Line a Day Must Be Enough!
Lady Kul El Arab
Older than America
Phoebe in Wonderland
Welcome Home Roscoe Jenkins
Muniyandi Vilangial Moonramandu
Hassiba
Yoroi Samurai Zombie
Dhaam Dhoom
Distancias
Hana Yori Dango Final
One True Love
Waramutsého!
Mr. Medhavi
Prom Wars
A Delicate Balance – The Truth
Frivolous Wife
Has God Forsaken Africa?
Utatama
Ploning
The Easy Way
Hold-up à l'italienne
His Last Gift
Prisoners of a White God
Big Buck Bunny
Tera Kya Hoga Johnny
Novel (film)
Desperadas 2
Budak Kelantan
Ljubav i drugi zločini
Tintorettor Jishu (film)
The Blind Sunflowers (film)
French Film
Casanegra (film)
I.O.U.S.A.
Mehbooba (2008 film)
Blade Babji
Crude Oil (film)
Connected: The Power of Six Degrees
Bindaas
Renzo Gracie: Legacy
Lifestories: The Lost Boys of Sudan
Nee Sukhame Ne Korukunna
Doraemon: Nobita and the Green Giant Legend (film)
Tamami: The Baby's Curse
Let's Make Money
Oye Lucky! Lucky Oye!
The Auteur
Souryam
Were the World Mine
The X-Files: I Want to Believe
The Day the Earth Stopped
Trip (film)
Hindsight (2008 film)
Mahesh, Saranya Matrum Palar
The Stick Up Kids
Old Partner
Mulligans (film)
Abelay Garam Bhaat
Walk Like a Man (2008 film)
Harry: A Communication Breakdown
Sangama (film)
Will Not End Here
Country Wedding
My Best Friend's Girlfriend
Amália (film)
The Graduates
There's Gonna Be a God Damn Riot in Here
Lorna's Silence
Apoorva (2008 film)
Presto (film)
Adventures in Voice Acting
Boogeyman 3
Fotonovela (film)
The Family That Preys
Guard No. 47
Kalandorok
Little Moscow (film)
Bolt (2008 film)
Little Zizou
Tamagotchi: Happiest Story in the Universe!
Who Does She Think She Is?
New Town Killers
Terribly Happy
Dawn of the World
Love Lies Bleeding (2008 film)
Manhunt (2008 film)
This Is Not a Test (2008 film)
Time Apart: A History of Hope
Ninna Nedu Repu
Swarnam
The Seven of Daran: Battle of Pareo Rock
One, Two, Many
The Carpet of Wood
Stargate: Continuum
Lal Ronger Duniya
Blood (2008 film)
Ayat-Ayat Cinta
Allan Quatermain and the Temple of Skulls
Fog Warning
Dead Fury
The King of Ping Pong
Solitaire (film)
Melodrama Habibi
Lady Cop & Papa Crook
North Starr
Immigrants (2008 film)
Desh Dekhi Bidesh
Meravanige
Aayudham (2008 film)
Mera Pind
August (2008 film)
Prodigal Sons (film)
Pathology (film)
Lakeview Terrace
The Nutty Professor (2008 film)
The Midnight Meat Train
This Night Is Still Ours
Offing David
Bad Biology
Son (film)
Ahir Bhairav (film)
Mamma Moo and the Crow
My Only Ü
Nice Shootin' Cowboy
A Good Day to Be Black and Sexy
The Ruins (film)
Fireflies in the Garden
Dirty Hands (2008 drama film)
Semi-Pro
The Informers (2008 film)
Burma VJ
Extreme Movie
Nothing like the Holidays
Silambattam (film)
First Sunday
Lady Magdalene's
Journey to the Center of the Earth (2008 theatrical film)
De Brief voor de Koning (film)
The Coffin
Biyer Lagna
J'ai tant aimé...
Stars and Their Guitars: A History of the Electric Guitar
Ramchand Pakistani
The Kreutzer Sonata (2008 film)
Robo (2008 film)
Candy Rain (film)
James (2008 film)
Religulous
Mia and the Migoo
Not like Others
La Possibilité d'une île (film)
Nick & Norah's Infinite Playlist
J'ai rêvé sous l'eau
The Inhabited Island
Delta (2008 film)
Henry Poole Is Here
My Wife Is a Gambling Maestro
The Sisterhood of the Traveling Pants 2
All Around Us
Otis (film)
Vaazhthugal
How to Lose Friends & Alienate People (film)
Christmas Town
The German
Love Exposure
Medicine for Melancholy
The Incredible Hulk (film)
Titãs – A Vida Até Parece Uma Festa
Kattuviriyan
Kadhal Kaditham
Anywhere, U.S.A.
Four Nights with Anna
A Film with Me in It
Iskul Bukol 20 Years After
Man on Wire
NightDragon
Carved 2: The Scissors Massacre
Raman Effect (film)
The Sickhouse
Nos 18 ans
Closed by Prescription
Thirteen or So Minutes
Jump! (film)
Avva (film)
Vacancy 2: The First Cut
Triloquist
Sadhu Babar Lathi
Corazones de mujer
Red Terror on the Amber Coast
Tokyo!
Tokyo Is Dreaming
The Cross Road
Lost Stallions: The Journey Home
A Skin, A Night
The Betrayal – Nerakhoon
Flicker (film)
Sněženky a machři po 25 letech
Warda (film)
80 Minutes
Even in My Dreams
Ah Long Pte Ltd
The Lena Baker Story
Dakota Skye
A Day at the Museum
The Feature
Nothing but the Truth (2008 South African film)
Tumi Kar
Nights and Weekends
Nayagan (2008 film)
Make It Happen (film)
Sound of Boot
In Search of Lovecraft
The Sicilian Girl
Roudram
Swing Vote (2008 film)
Meet the Spartans
Ong Bak 2
Club Native
Hijack (2008 film)
Ugly Aur Pagli
50 Years! Of Love?
Spinning into Butter (film)
Konchem Koththaga
Worlds Apart (2008 film)
Manolete (film)
Vinyan
Presumed Guilty (film)
The Fall (2008 film)
Anubis en het Pad der 7 Zonden
Forest of the Damned 2
Inju: The Beast in the Shadow
Tolly Lights
Robert Zimmermann Is Tangled Up in Love
Valentino: The Last Emperor
For the Best and for the Onion
Food Matters
Pandi (film)
The Rage (2008 film)
Death in Love
Aduri
Loft (2008 film)
Recep İvedik
Kami (2008 film)
Bachelor Party 2: The Last Temptation
Flowers in the Shadows
Ball Don't Lie
Body of Lies (film)
A Tale of Two Continents
Food, Inc.
Minchina Ota (2008 film)
My Friend from Faro
Ten Dead Men
Crime Is Our Business
Birdemic: Shock and Terror
Les Damnés de la mer
Lady Godiva (film)
La Bohème (2008 film)
History of the Joke
Lost Boys: The Tribe
Universalove
Google The Thinking Factory
Nagaram (2008 film)
Trouble at Timpetill
The Plex
An American Affair
The Happening (2008 film)
Angus, Thongs and Perfect Snogging
The Next Hit
The Stealth
Chintakayala Ravi
The First Day of the Rest of Your Life
Dunia Baru The Movie
Oretachi ni Asu wa Naissu
Tollywood Focus
Forever Plaid: The Movie
Mirrors (film)
Stop-Loss (film)
Ealing Comedy (film)
Between the Folds
Gulmohar (2008 film)
Jackson (2008 film)
AM1200 (film)
Three Monkeys
Trailer Park of Terror
Morbid: A Love Story
Brothel (film)
In a Dream (film)
Flashbacks of a Fool
College Kumaran
Captive (2008 film)
Dada's Dance
Forgotten Ellis Island
Cass (2008 film)
Hochheta Ki
Annan Thambi
High School Musical: El Desafio Mexico
Bride Flight
A Perfect Place
Maa Ayana Chanti Pilladu
Harold (film)
48 heures par jour
Acolytes (film)
Okka Magaadu
All About Women
Far Cry (film)
Bronson (film)
Fly Me to the Moon (film)
American Music: Off the Record
Mission Istaanbul
Columbus Day (film)
Knitting (film)
The World Is Hot Enough
Kidnap (2008 film)
Explicit Ills
Terror Inside
Kotha Bangaru Lokam
Mag-ingat Ka Sa... Kulam
Watch Out (film)
Arunachal Pradesh to Thimphu
10 Promises to My Dog
The Anarchist's Wife
The Black Balloon (film)
The Devil's Mercy
L for Love L for Lies
Munna-A Love Story
Maharathi (2008 film)
Shake, Rattle & Roll X
Tennessee (film)
Baap Re Baap Dokyala Taap
Dayo: Sa Mundo ng Elementalia
The Cult of Sincerity
Rama Rama Kya Hai Dramaa?
Bienvenue chez les Ch'tis
Nasty (film)
Bedtime Stories (film)
Ang Tanging Ina N'yong Lahat
Haage Summane
Streak (film)
Chocolate (2008 film)
Linha de Passe
Silandhi
Good Dick
Sedin Dujone
Tipu Kanan Tipu Kiri
Raman Thediya Seethai
Blue Gap Boy'z
Ice People
Phish: Walnut Creek
Pontos (2008 film)
Ishq Be Parwah
Sakhi (film)
Legendary Assassin
Aegan
Twilight Syndrome: Dead Go Round
Humboldt County (film)
Barbie & the Diamond Castle
Kadachit
The Moon and Other Lovers
Newcastle (film)
Suspect X
Dashavatar (film)
Bitter & Twisted (film)
Three (2008 film)
The Deal (2008 film)
Channels (film)
Bustin' Down the Door
An Empress and the Warriors
Hormones (film)
Sagan (film)
The Missing Person
Aayudham Seivom
Raman (film)
Tropic Thunder
Passengers (2008 film)
Shark in Venice
Pretty Bird
1920 (film)
Kung Fu Panda
Football Under Cover
A Month of Hungry Ghosts
Flunked
Shooting Robert King
Summer of the Flying Saucer
The Response (film)
Pokrajina št. 2
Kadhalil Vizhunthen
Get Smart's Bruce and Lloyd: Out of Control
Au-délà de Cap-Noir
Black (2008 film)
Un aliado en el tiempo
Behind the Wall (2008 film)
The Dark Knight (film)
The Other Boleyn Girl (2008 film)
Sabaidee Luang Prabang
The Divine Institution of Marriage
Diminished Capacity
La-La Loco Baby
Gangster's Paradise: Jerusalema
Geliebte Clara
Summer Hours
Rest Stop: Don't Look Back
Kannum Kannum
Live at the Sugar Club
Punisher: War Zone
Rambo (2008 film)
Hardcover (film)
Home Movie (film)
Vallamai Tharayo
The Masked Gang: Cyprus
The Heart of Texas
Sanai Choughade
Transsiberian (film)
Yesterday Was a Lie
Thalappavu
No Man's Land: The Rise of Reeker
Copperhead (2008 film)
The Forbidden Kingdom
The Guitar (film)
Shine a Light (film)
Dear J
Psycho (2008 film)
De Taali
The Other One (film)
As Simple as That (film)
Kung Fu Dunk
Powder Blue (film)
Private Lessons (2008 film)
Mu Sapanara Soudagar
Pistol Whipped
Voices in the Tunnels
Calimucho
Amusement (film)
So F**king Rock Live
Street Racer (film)
Leaving Fear Behind
Jolene (film)
Genova (2008 film)
I Was Here (film)
Heart Talk
Under Our Skin
Ghostride the Whip
Wanted (2008 film)
Love Story 2050
Pawtucket Rising
The Last International Playboy
Broken Path
Gigantic (2008 film)
The Last Confession of Alexander Pearce
C Kkompany
Touchstone: Dancing with Angels
The Butterfly Lovers (2008 film)
Bawyrym
Doubt (2008 film)
Mereka Bilang, Saya Monyet!
Chandranilekkoru Vazhi
Neninthe
Stolen Kosovo
Thotta
Dhanam (2008 film)
Seventh Moon
Dying Breed
Svetlana About Svetlana
The Local (film)
Sea Beast
The Human Contract
Meu Nome Não É Johnny
Winter Visitor
Ichi (2008 film)
Yeti: Curse of the Snow Demon
Death Bell
Clean Break (film)
Involuntary (film)
Return to Hansala
Street Kings
Strawberry Shortcake: Rockaberry Roll
The Heist (2008 film)
Disaster Movie
Dasavathaaram
The Cool School (film)
Golmaal (2008 film)
The Monster X Strikes Back/Attack the G8 Summit
Youssou N'Dour: I Bring What I Love
Return to Bolivia
Carts of Darkness
All Inclusive (2008 film)
Rajkumar (2008 film)
Krishnarjuna
Aamir (film)
Umoja: The Village Where Men Are Forbidden
Bloodsucking Cinema
Budhivanta
Captain Eager and the Mark of Voth
František je děvkař
Saathire
Little Ashes
The Best Movie
4Chosen: The Documentary
Mr. Garagasa
Kala Pul
Quarantine (2008 film)
Female Prisoner Ayaka: Tormenting and Breaking in a Bitch
Reach for Me
One Week (2008 film)
Vamshi (film)
RocknRolla
Camino (film)
Dragon Ball: Yo! Son Goku and His Friends Return!!
Phantom Punch (film)
Awaking from a Dream
The Merry Gentleman
3 Stories About Evil
Storm Rider Clash of the Evils
Eye for an Eye (2008 film)
Kuselan
Climber's High
Brideshead Revisited (film)
Innathe Chintha Vishayam
Blackout (2008 Finnish film)
Same Old Story: A Trip Back 20 Years
A Season Between Heaven and Hell
Semillas que el mar arrastra
They Killed Sister Dorothy
Virtually a Virgin
Wrestling (2008 film)
Ek Vivaah... Aisa Bhi
The Tale of Soldier Fedot, The Daring Fellow
Wild Blood (2008 film)
Valley of Angels
Kantri
Heartbreak Library
The Poker Club (film)
Babbage (film)
Fine, Totally Fine
Action Boys
Camille (2008 film)
Dostana (2008 film)
Beyond Our Differences
Sex Positive
Pig and Bear
The Butterfly from Ural
Gospel Hill
The Queen Is in the Factory
My Sassy Girl (2008 film)
Solstice (film)
Cactus (2008 film)
Sexykiller
Until the Light Takes Us
Little Paris (film)
Lovers of Six Years
Asylum (2008 film)
My Monster Mom
Louise Hires a Contract Killer
Sneaky Snake: Lost in the Holy Land
Anthiponvettam
21 (2008 film)
A Lonely Place for Dying
Silvester Home Run
Give Me Your Hand (film)
Haal-e-Dil
My Mighty Princess
Glago's Guest
Hello Kolkata
Viva! Love
The Road from Elephant Pass (film)
The Wrestler (2008 film)
Chaos Theory (film)
Bananaz
Burn After Reading
Gulabi Talkies
Daybreak (2008 film)
Patti Smith: Dream of Life
The Class (2008 film)
Passage (2008 film)
The Shakshuka System
The Chronicles of Narnia: Prince Caspian
In Real Life (film)
Ocean Flame
Gopalapuranam
The Hottie and the Nottie
Dean Spanley
Kala Malam Bulan Mengambang
Max Manus: Man of War
The Frontier Gandhi
Parlami d'amore
Three Kingdoms: Resurrection of the Dragon
The Last Word (2008 film)
Beast Stalker
The Baby Formula
The Tale of Despereaux (film)
A Bunch of Amateurs
Lost and Found (2008 film)
At the Edge of the World (2008 film)
Zay El Naharda
Cadillac Records
Necessary Evil (2008 film)
The Demons of St. Petersberg
Cold Prey 2
Before Twilight
Prom Night (2008 film)
Sisters on the Road
Muallaf
Sea Point Days
Rock On!!
Eskalofrío
Edison and Leo
War, Love, God, & Madness
Kausalya Supraja Rama
Grapes (film)
Aandavan (2008 film)
The Good, the Bad, the Weird
Freakdog
Iran: Hot Tea, Cool Conversations
Yeh Mera India
Vambu Sandai
The Book Lady
Chempada
King (2008 film)
Prabhakaran (film)
Rockabilly 514
Agustín's Newspaper
Vinayakudu (film)
Tyson (2008 film)
Gaalipata
Nite Tales: The Movie
Amar Ache Jol
Defying Gravity (2008 film)
Mock-Up on Mu
Tomar Jonyo
Japan (film)
Christmas Cottage
Troubled Water
Machan (2008 film)
Space Chimps
Sucker Punch (2008 film)
Bakgat
The Lollipop Generation
Pageant (film)
Jelenin svet
Valu (film)
Bommalattam (2008 film)
Mark of an Angel
Heroes (2008 film)
One Night Only (film)
Kemper: The CoEd Killer
Death Race (film)
Half-Life (film)
The Seventh Python
Sisterhood (film)
Dominick Dunne: After the Party
Babysitter Wanted
Righteous Kill
Connected (film)
63 Years On
