James Bond (1999 film)
Escape Velocity (film)
With or Without You (1999 film)
Luchino Visconti (film)
Vishwa (film)
Tell Me Something
Varsity Blues (film)
Smart House (film)
Ratas, Ratones, Rateros
Sarah Maldoror ou la nostalgie de l'utopie
Uninvited (1999 film)
Little White Lies (1999 film)
Love Wind Love Song
Traveller (1999 film)
Kursi Aur Qanoon
Preyasi Rave
Seetharama Raju
Hum Dil De Chuke Sanam
A Glass of Rage
Hercules: Zero to Hero
Virtual Sexuality
Torrance Rises
Loyalties (1999 film)
The Reef (1999 film)
Entrapment (film)
Aliens in the Wild, Wild West
The Corruptor
Children of the Corn 666: Isaac's Return
Sparsham
The Building (film)
Alvin and the Chipmunks Meet Frankenstein
The Hi-Line
Kill by Inches
Ein Lied von Liebe und Tod
Man in the Sand
Simon Sez
The Waiting Game (film)
Ponvizha
Go (1999 film)
Office Space
A Respectable Man
Wishmaster 2: Evil Never Dies
Wild Wild West
Road Kill (1999 film)
Double Platinum (film)
The Godman
Shiloh 2: Shiloh Season
Totem (1999 film)
Fantozzi 2000 – La clonazione
Freeway II: Confessions of a Trickbaby
The Messenger: The Story of Joan of Arc
Shaheed-e-Mohabbat Boota Singh
A Cool, Dry Place
Mivtza Savta
Mansfield Park (film)
A Man Called Hero
Annan (film)
Clouds of May
Yeh Hai Mumbai Meri Jaan
Louise Dahl-Wolfe: Painting with Light
For Love of the Game (film)
Men and Women (1999 film)
It's the Rage (film)
Marshal Tito's Spirit
The Lord's Lantern in Budapest
Haut les cœurs!
Sobreviviré
Dirty Linen (film)
Instinct (film)
Simon Magus (film)
Oyayubihime (Thumb Princess)
Alien Arsenal
Aai Thor Tujhe Upkar
Boys Don't Cry (film)
The Five Senses
Progeny (film)
The Urethra Chronicles
A Dog of Flanders (1999 film)
Zwischen 2 Welten
True Crime (1999 film)
Soft Fruit
An American Tail: The Mystery of the Night Monster
Tumbleweeds (1999 film)
Rogue Trader (film)
Victim (1999 film)
Sachs' Disease
G:MT – Greenwich Mean Time
The Dream Catcher
Wisconsin Death Trip (film)
Blue (Da Ba Dee) (music video)
A Perfect Little Man
Parassala Pachan Payyannur Paramu
Distant Shadow
No Tomorrow (film)
Around the Pink House
The Wildest Show in the South: The Angola Prison Rodeo
Dreaming of Joseph Lees
Devaraagam
Mumford (film)
Maya (1999 film)
A Sweet Scent of Death
The Red Ribbon
Blood Dolls
Ice from the Sun
2 Little, 2 Late
Just Looking
The Sixth Sense
Post Mortem (1999 film)
Speaking in Strings
Trishakti
Vaastav: The Reality
The Haunting of Hell House
The Dilettante
Goosed
In Her Defense
The Mirror (1999 film)
The Moment After
Kummi Paattu
Rajaji (film)
The Blair Witch Project
Anti-hero (film)
The Match (film)
Straight Shooter (1999 film)
No Trains No Planes
Paul Robeson: Here I Stand
Viralukketha Veekkam
Periyanna
You're Dead (film)
Shower (film)
Absence of the Good
The Nearly Complete and Utter History of Everything
Santa and Pete
Puss in Boots (1999 film)
The Duke (film)
In Dreams (film)
Idle Hands
Thodarum
Strastnoy Boulevard (film)
Outside Providence (film)
Anthapuram (1999 film)
Haseena Maan Jaayegi
Dirt Merchant
Paging Emma
The Old Man and the Sea (1999 film)
Auto Brothers
The City (1998 film)
Herod's Law
The Amateur (1999 film)
Tuvalu (film)
Outlaw (1999 film)
Blast from the Past (film)
Sambhrama
Tea with Mussolini
Karnaval
Moloch (film)
Garcia (film)
Pallavur Devanarayanan
Unakkaga Ellam Unakkaga
Pepeng Agimat (TV series)
Forces of Nature
Red Dust (1999 film)
Suna Harini
The Talented Mr. Ripley (film)
Do Not Disturb (1999 film)
Butterfly's Tongue
Naukar Ki Kameez
Guardami
Kadosh
N.Y.H.C. (film)
Moonlight Express
The Ninth Gate
Otomo (film)
The Florentine
P.U.N.K.S.
But I'm a Cheerleader
Hrudaya Hrudaya
Any Given Sunday
Pachakkuthira (1999 film)
Sri Ramulayya
Star Wars: Episode I – The Phantom Menace
Saranggola
Premaku Velayera
No Hair Day
Pyaar Koi Khel Nahin
After the Rain (film)
Street Angels (1999 film)
Ustaad
Channelling Baby
Sangamam
Duck! The Carbine High Massacre
The Kid (1999 film)
Thulladha Manamum Thullum
It All Starts Today
Beyond the Mat
The Rifleman of the Voroshilov Regiment
Moan (film)
Julien Donkey-Boy
Walking Across Egypt
Agnes Browne
A Woman Scorned (1999 film)
A Real Young Girl
Delta Force One: The Lost Patrol
Drive Me Crazy
The Life Before This
Genghis Blues
Striking Poses
American Reel
Jaanam Samjha Karo
Ninth Street
Cosy Dens
The Runner (1999 film)
Rishivamsham
Paattali
Kannezhuthi Pottum Thottu
This Space Between Us
Madeline: Lost in Paris
Crime File
The Harmonium in My Memory
Godzilla 2000
Kiss Toledo Goodbye
Passport to Paris
Il cielo in una stanza (film)
The Long Winter (1999 film)
The Swan and the Wanderer
An Ideal Husband (1999 film)
As Bodas de Deus
The Thirteenth Floor
Samudram (1999 film)
Angel's Dance
Jacob Two Two Meets the Hooded Fang
King of Comedy (1999 film)
Held Up
Chitra Nodir Pare
A Monkey's Tale
A.K.47 (film)
Dragonworld: The Legend Continues
Being John Malkovich
The Other Sister
Kannodu Kanbathellam
Joseph and the Amazing Technicolor Dreamcoat (film)
Category:Lists of 1999 films by country or language
Los gringos
Our Happy Lives
Solas (film)
Beautiful People (film)
Molokai: The Story of Father Damien
Pooparika Varugirom
Sleeping Beauties
Ride with the Devil (film)
Bleeder (film)
Wolves (1999 film)
Dick (film)
The Dagger (1999 film)
Witchouse
My Wishes
Periwig Maker
Candyman 3: Day of the Dead
Flushed (film)
Saworoide
The Nuttiest Nutcracker
Kohram
Blackadder: Back & Forth
Eyewitness (1999 film)
Ekiben (film)
Ratcatcher (film)
Demolition University
The Other (1999 film)
In the Beginning There Was Underwear
Same Love, Same Rain
Snow Falling on Cedars (film)
Whatever Happened to Harold Smith?
Hote Hote Pyar Ho Gaya
Deveeri
Empty Days
Chandramukhi Pranasakhi
Glue Sniffer
Cowboy from Iran
Hu Tu Tu
A Valentine for You
Existenz
Nilave Mugam Kaattu
Garshom
The Fanatics (film)
Twin Falls Idaho (film)
Azhagarsamy
Creature (1999 film)
Beowulf (1999 film)
Retro Puppet Master
Last Ghost Standing
All My Loved Ones
Sacred Flesh
One Soldier
Red Room (film)
My Neighbors the Yamadas
From Dusk Till Dawn 2: Texas Blood Money
Janumadatha
Inferno (1999 film)
EDtv
Mythos (film)
The World's Biggest Gang Bang III – The Houston 620
Boyfriends & Birthdays
The Thomas Crown Affair (1999 film)
The Bone Collector
Bigger Than Tina
Kærlighed ved første hik
Made Men (film)
Passion (1999 film)
Samarasimha Reddy
Arjun Pandit (1999 film)
Deceit (1999 film)
Der Einstein des Sex
Desperate But Not Serious
The Creator (film)
Ferdinando and Carolina
Dudley Do-Right (film)
Jodi (1999 film)
Body Shots (film)
Libero Burro
Dubrovnik Twilight
Toy Story 2
Kisses and Hugs
Rajasthan (film)
Beloved/Friend
Sautela
30 Days (1999 film)
Rites of Passage (1999 film)
Croupier (film)
Night of the Living Dead: 30th Anniversary Edition
Escape from Mars
The Wind Will Carry Us
Nightshapes
Mann (film)
Vazhunnor
Sundar Bou
English Medium (film)
End of Days (film)
Mannavaru Chinnavaru
Dillagi (1999 film)
Must Be Santa
Holy Smoke!
Pushing Tin
Shark Attack (film)
Beau Travail
All About My Mother
Les Gens qui s'aiment
The Big Kahuna (film)
Among Giants
Kiss the Sky (film)
Unnai Thedi
Entropy (film)
The Settlement (1999 film)
Thumb Wars
Tumi Ele Tai
Dying of Laughter
Ganga Ki Kasam (1999 film)
Mujhe Jeene Do (1999 film)
Attack the Gas Station
Better Living Through Circuitry
Po Mo Knock Knock
East/West
Animal Farm (1999 film)
The Omega Code
Happy End (1999 film)
Iddaru Mitrulu (1999 film)
The Lifestyle
Z (1999 film)
Adwa (film)
Whiteboyz
Away with Words
Will to Live
Innocent (1999 film)
Through a Blue Lens
Gohatto
Time Regained (film)
Spring Forward
The Stand-In (1999 film)
Criminal Lovers
Ghost in Love
Tuesdays with Morrie (film)
Fresh Air (film)
Love Will Tear Us Apart (1999 film)
Flawless (1999 film)
A Long Hot Summer (film)
Cruel Intentions
Ravoyi Chandamama
Jakob the Liar
Genesis (1999 film)
Baantjer, de film: De Cock en de wraak zonder einde
One 4 All
Unconditional Love (film)
Rain Tree (film)
Bhopal Express (film)
Ooty (film)
Inspector Gadget (film)
Sometimes They Come Back... for More
Bridge of Dragons
El Espíritu de mi Mamá
The White Suit
Superstar (1999 film)
Drop Dead Gorgeous (film)
Postmen in the Mountains
Sri (1999 film)
The Sex Monster
Shooting the Past
Janani (film)
Poppoya
The Lady in Question (1999 film)
When the Day Breaks
Kanmani Unakkaga
Bharya Veettil Paramasukham
Augustin, King of Kung-Fu
Lovers (1999 film)
My Mother Dreams the Satan's Disciples in New York
The Frenchman's Son
Long Hello and Short Goodbye
Habba
Hälsoresan – En smal film av stor vikt
Judgement (1999 film)
The Law of Enclosures (film)
Saimin (film)
Not for Ourselves Alone
Sunburn (1999 film)
Hollyweird (film)
Himalaya (film)
Virus (1999 film)
Excellent Cadavers (film)
The Tough Ones
Anantha Poongatre
Ultraman Gaia: The Battle in Hyperspace
Propaganda (1999 film)
Amarkalam
Dead or Alive (film)
Gaandhiyan
Bangers (film)
Raja (1999 film)
Season's Beatings
The Nanny (1999 film)
Rockford (film)
Bats (film)
Une liaison pornographique
Samar (1999 film)
Strange Fits of Passion
Ground Control (film)
Daag (1999 film)
Wing Commander (film)
A Madonna in Laleli
The Rage: Carrie 2
The Mission (1999 film)
The Conmen in Vegas
Lovers Lane (1999 film)
Gloria (1999 Portuguese film)
200 Cigarettes
A Wicked Ghost
Kadhalar Dhinam
The Tichborne Claimant (film)
King Lear (1999 film)
My Little Business
Esa Maldita Costilla
Salaryman Kintarō
Memorial Day (1999 film)
Living with Lions (film)
The Hungry Bachelors Club
Katy (series)
Pan Tadeusz (film)
The Suburbans
Sudhu Ekbar Bolo
Luna Papa
Gendernauts
Premotsava
Miss Julie (1999 film)
Wakko's Wish
The Substitute 3: Winner Takes All
Man on the Moon (film)
Upendra (film)
Children of the Century
8½ Women
Gemini (1999 film)
Los Enchiladas!
Vägen ut
The Famous Paparazzo
Angel Express
Seenu (1999 film)
Veerappa Nayaka
Time (1999 film)
Ordinary Heroes (film)
Whatever (film)
Yana's Friends
With Fire and Sword (film)
A Beautiful New World
Faeries (film)
The Lustful Sister-in-Law 2: Erotic Games
Muppets from Space
A Map of the World (film)
The Hurricane (1999 film)
Piranha: Wolf In The Water
Independence (film)
Woman Wanted
Big City Blues (1999 film)
Cartoon Noir
Colorz of Rage
The Gateway of Europe
Michael Jordan: An American Hero
Swamir Ghar
Notting Hill (film)
Niram
The Criminal (1999 film)
Life in a Day (1999 film)
Shadow Boxers
Me and the Big Guy
Bangkok Dangerous (1999 film)
The War Zone
Shiri (film)
Aaya Toofan
Southie (film)
Četverored
Bade Dilwala
The 4th Floor (1999 film)
The Debt Collector
Suyamvaram
Mula sa Puso
Kiler-ów 2-óch
Stalin Sivadas
Siam Sunset
Instrument (film)
Sidhi (film)
The General's Daughter (film)
Restraining Order (film)
K-911
Austin Powers: The Spy Who Shagged Me
The Missing (1999 film)
Muktir Kotha
Best Laid Plans (1999 film)
The Wood
King Cobra (film)
Topsy-Turvy
Mugam (film)
Holi (1999 film)
Two Women (1999 film)
Black and White (1999 drama film)
Dubashi
H-E Double Hockey Sticks
The Lost Lover
Taj Mahal (1999 film)
Zulmi
Poomagal Oorvalam
Civilisées
See You in Hell, My Darling
Dream Kitchen
Crane World
The Straight Story
Absolute Giganten
Moonlight Whispers
Afraid of Nothing, the Jobless King
The Base (film)
Jews and Buddhism
Limbo (1999 film)
The Honour of the House
Doug's 1st Movie
Seven Girlfriends
Message in a Bottle (film)
Flores de otro mundo
Kaizokuban Bootleg Film
The 13th Warrior
Advice from a Caterpillar
No Vacancy (1999 film)
Mazhavillu
A Century of Cinema
Varum Varathirikilla Unni
Analyze This
Fever (1999 film)
Aa Ab Laut Chalen
L'Esprit de Mopti
Aarzoo
Stanley (1999 film)
Thachiledathu Chundan
The Nameless (film)
She's All That
The Truth About Jane and Sam
Oruvan (1999 film)
Strange Planet
Scarfies
2by4
Conceiving Ada
The Making of a New Empire
Love Stinks (film)
Dahek
Paperback Hero (1999 film)
Runaway Bride (film)
Chandrodaya
Prince Charming (film)
Sanyasi Mera Naam
Absolute Hangover
The Children of the Marshland
Arlington Road
Sugar Town (film)
Lighthouse (film)
You Know My Name (film)
The Last Breath (1999 film)
Engineer (film)
Hello Brother (1999 film)
The Lost Son (film)
Galaxy Quest
Sally Marshall Is Not an Alien
Liberty Heights
Belle maman
One Night in Eden
Aaag Hi Aag
Breakfast of Champions (film)
The Muse (1999 film)
A Walk on the Moon
Kallazhagar
Lost & Found (1999 film)
10 Things I Hate About You
A Holiday Romance
EM Embalming
Chinna Raja
Audition (1999 film)
Ashes to Ashes (film)
Padayappa
The Source (1999 film)
Juha
The Color of Lies
Raw Nerve (1999 film)
Mates (film)
El Chacotero Sentimental: la película
Jaanwar (1999 film)
Tsatsiki, morsan och polisen
A Lesson Before Dying (film)
Get Bruce
Our Friend, Martin
Quasimodo d'El Paris
The Cider House Rules (film)
The Magical Legend of the Leprechauns
The Firing Squad
Love Lies Bleeding (1999 film)
Lola und Bilidikid
Thrill Seekers (film)
Anari No.1
Ruang Talok 69
Grass (1999 film)
Breaking the Spell (film)
The Killer Eye
American Beauty (1999 film)
One Day in the Life of Andrei Arsenevich
Blackboards
Tom's Midnight Garden (film)
Treasure Island (1999 film)
Judgment Day (1999 film)
Alma Mía
Diamonds (1999 film)
Not One Less
The Adventures of Sebastian Cole
Guest House Paradiso
Sirf Tum
Jannat Ki Talash
Asukh
The Atomic Space Bug
Rollercoaster (1999 film)
Lucignolo
Je suis né d'une cigogne
Molly (film)
Ghost Dog: The Way of the Samurai
Bye Bye Bluebird
Black Tar Heroin (film)
Just Watch Me: Trudeau and the '70s Generation
The Young Girl and the Monsoon
Chandamama (1999 film)
The Boy with the X-Ray Eyes (film)
Mickey Blue Eyes
Can't Stop Dancing
Njangal Santhushtaranu
Gorgeous (film)
Sikandar Sadak Ka
Village of Idiots
Soltera
En liten julsaga
The Ultimate Guide to Anal Sex for Women
March of Happiness
Great Teacher Onizuka
Light It Up (film)
The Deep End of the Ocean (film)
Bowfinger
Metade Fumaca
The Crimson Code
Presence of Mind
Taal (film)
Feeling Sexy
The Intruder (1999 film)
Biswaprakash
Swayamvaram (1999 film)
Thirupathi Ezhumalai Venkatesa
Sa Paraiso ni Efren
Kill the Man
The Best Man (1999 film)
Balloon Farm (film)
The King and I (1999 film)
Tenchi Forever! The Movie
Resurrection (1999 film)
Angene Oru Avadhikkalathu
Ragdoll (film)
Devi (1999 film)
Rage (1999 film)
Tifosi (film)
Fuori Dal Mondo
Let the Devil Wear Black
The Legendary 'Tai Fei'
The National Anthem (film)
Stuart Little (film)
Gair
Smiling Fish and Goat on Fire
Three Days (film)
Waco: A New Revelation
The Last September
Fortress 2: Re-Entry
Belle's Tales of Friendship
De rode zwaan
The Man-Eater (film)
Tarzan (1999 film)
Raja Kumarudu
Uninvited Guest
The Secret Life of Girls
Winter Stories
The Hole (1998 film)
Himitsu (film)
Heaven's Fire
The Prompter
Bicentennial Man (film)
Heeralal Pannalal (1999 film)
Vaali (film)
The Doctor in Spite of Himself (film)
One Man's Hero
Aayiram Meni
Sonnenallee
City of the Rising Sun
Captain (film)
Romance (1999 film)
New Dawn (film)
Everybody Loves Sunshine
Snehaloka
American Pimp
Music of the Heart
Aimée & Jaguar
Alien Cargo
Tokyo Nagarathile Viseshangal
The Color of Paradise
Silsila Hai Pyar Ka
Human Traffic
Loser Love
The Dark Redemption
Il pesce innamorato
Adrenaline Drive
A Slipping-Down Life
In a Class of His Own
The Insider (film)
The Thirteenth Year
Sopping Wet Married Teacher: Doing It in Uniform
Mahaul Theek Hai
Tutti gli uomini del deficiente
Spanish Judges
Iraniyan (film)
Summer of Sam
Bang Boom Bang
F. I. R. (film)
Pups (film)
A Saintly Switch
Thuldai
The Boondock Saints
Aakasha Ganga
Ninaivirukkum Varai
Alyas Pogi: Ang Pagbabalik
Delivered
Hit and Runway
Sneham Kosam
Parting Shots
Give Us Our Skeletons
SLC Punk!
Just One Time (film)
Angela's Ashes (film)
Sangharsh (1999 film)
Detroit Rock City (film)
Horse Sense
The Emperor and the Assassin
Operación Fangio
Crazy English (film)
Humanité
Spy Games
The Third Miracle
Witness Protection (film)
Little Crumb
Sleepy Hollow (film)
Beresina, or the Last Days of Switzerland
Why Do These Kids Love School?
Cinéma Vérité: Defining the Moment
The Minus Man
Stir of Echoes
Olympiyan Anthony Adam
Sethu (film)
Guns and Roses: Ik Junoon
Jackie Chan: My Stunts
Seven Songs from the Tundra
Simpatico (film)
Three Seasons
Deep Blue Sea (1999 film)
Three Kings (1999 film)
The Venice Project
The Craic
Pearls Before Swine (film)
Freak Talks About Sex
The Adventures of Elmo in Grouchland
Lies (film)
Nadia and the Hippos
Ek Number Ko Pakhe
The One and Only (1999 film)
The Loss of Sexual Innocence
Troublesome Night 5
Kudumba Sangili
El Madina
Venus Beauty Institute
The 24 Hour Woman
Nyaydaata
Mystery Men
I.C. Kill
Rojavanam
Ring 2
Onegin (film)
Storm (1999 film)
Onnaamvattam Kandappol
Laawaris (1999 film)
Gharabaher
Passing Glory
Solomon & Gaenor
Trippin' (film)
The Prince and the Surfer
White Valentine
Anywhere but Here (film)
Le schpountz
Max, 13
Girl, Interrupted (film)
Housefull (1999 film)
Alles Bob!
Gamera 3: The Revenge of Iris
Fascination Amour
The Virgin Suicides (film)
Manaivikku Mariyadhai
Fast Food (1999 film)
In Too Deep (film)
Mudhalvan
Violent Shit III
The Bumblebee Flies Anyway
Manasulo Maata
Gen-X Cops
Sicilia!
Hello (1999 film)
What Becomes of the Broken Hearted? (film)
Spellbound (1999 film)
Buena Vista Social Club (film)
Veendum Chila Veettukaryangal
Two of Hearts (film)
Tail Lights Fade
Man, Vrouw, Hondje
Naanu Nanna Hendthiru
Nabbie's Love
Sarfarosh
Free Fall (1999 film)
Poovellam Kettuppar
Charlie Chaplin (1999 film)
Category:1999 animated films
Indulekha (1999 film)
Silver (film)
Ultimate Deception
American Intellectuals
Shool
Encounter in the Third Dimension
Khoobsurat (1999 film)
My Best Fiend
Dear Claudia
Dream Team (1999 film)
Category:1999 direct-to-video films
Sunshine (1999 film)
Free Enterprise (film)
Adolescence of Utena
Mast (film)
Alludugaaru Vachcharu
The Confession (1999 film)
My Dear Karadi
Man of the Century
Janice Beard
Diamond Palace
Curiosity & the Cat
The Hangnail
Farewell, Home Sweet Home
Yonggary (1999 film)
True Heart
Godmother (film)
Sexo, pudor y lágrimas
Eyes Wide Shut
Vasanthiyum Lakshmiyum Pinne Njaanum
Ratra Aarambh
Trick (film)
Undercover Angel (film)
Live at the Cavern Club
The Big Tease
Hitman's Run
Between Your Legs
Un día perfecto
Pokémon: The Movie 2000
Deterrence (film)
Stigmata (film)
In China They Eat Dogs
Tigasin
Big Helium Dog
Biyer Phul
Owls' Castle
Bringing Out the Dead
Bullets Over Summer
I Could Read the Sky
Crazy (1999 film)
Sydney – A Story of a City
Marana Simhasanam
Just a Little Harmless Sex
Hum Tum Pe Marte Hain
A Reasonable Man
Good Luck (2000 film)
The Iron Heel of Oligarchy
23 (film)
Five Aces
Mickey's Once Upon a Christmas
The Harpist (film)
A Room for Romeo Brass
The Deadly Camp
Unwanted Soldiers
Mercara (film)
Swastham Grihabharanam
Two Hands (1999 film)
Dill Scallion
Office Lady Love Juice
Megham
Orfeu
Muro-Ami
Hum Aapke Dil Mein Rehte Hain
Me & Isaac Newton
Endrendrum Kadhal
One Day in September
East Is East (1999 film)
Avec mon mari
Ravenous
Running Out of Time (1999 film)
Memento Mori (film)
Shikoku (film)
Forever Mine
Minsara Kanna
Lucie Aubrac (film)
The Ring Virus
The Matrix
Frontera Sur (1998 film)
Prem Poojari
Mystery, Alaska
Benaam (1999 film)
Soccer Dog: The Movie
Shaolin Dolemite
Jealousy (1999 film)
Lef
En Swasa Kaatre
Better Than Chocolate
Zombie! vs. Mardi Gras
Kahani Kismat Ki (1999 film)
The Debt (1999 film)
Fußball ist unser Leben
Hogi Pyaar Ki Jeet
Don't Let Me Die on a Sunday
Monisha En Monalisa
The Haunting (1999 film)
Curtain Call (1998 film)
Mother (1999 film)
Aik Aur Love Story
The Last Siege: Never Surrender
After the Truth
Wansapanataym
Top of the Food Chain
Swasthik
To Walk with Lions
Las delicias del poder
Agnisakshi (1999 film)
Cradle Will Rock
The Breaks (1999 film)
Return with Honor
Fly Me to Polaris
Lycanthrope (film)
