A German Robinson Crusoe
Prairie Law
Reshmi Sari
Jagat Mohini
I Can't Give You Anything But Love, Baby (film)
The Blue Bird (1940 film)
King of the Lumberjacks
Tante Pose (film)
Military Academy (film)
The Midas Touch (1940 film)
Busman's Honeymoon (film)
Hind Ka Lal
Västkustens hjältar
Red Tavern
Ek Hi Bhool (1940 film)
Back Streets of Paris
Kris Mataram
The Old Swimmin' Hole (1940 film)
Terry and the Pirates (serial)
Northwest Passage (film)
Wagon Train (film)
Private Affairs
Knute Rockne, All American
Muzikantská Liduška
Ghar Ki Rani
Pooja (1940 film)
Mexican Spitfire (film)
Poznej svého muže
Lucky Partners
A Chump at Oxford
Virginia City (film)
Allá en el trópico
Dead Man's Shoes (1940 film)
Tørres Snørtevold
Pride and Prejudice (1940 film)
Diamond Queen (1940 film)
New Moon (1940 film)
El Hijo del barrio
The Carson City Kid
Santa Fe Marshal
Alfalfa's Double
Youth Will Be Served
Shamsherbaaz
Stagecoach War
The Big Premiere
Los Celos de Cándida
Antonio Meucci (film)
Illalu
Diamond Frontier
The Spider (1940 film)
Das Herz der Königin
Johnny Apollo (film)
The Queen's Flower Girl
Down Argentine Way
Nazar the Brave
Victory (1940 film)
The Thief of Bagdad (1940 film)
Chasing Trouble
A Wild Hare
Rhythm on the River
Six Hours to Lose
La Comédie du bonheur
Her First Romance
Bholi Lutaran
Love Cavalcade
Here's the Point
Oklahoma Renegades
El Cantor de Buenos Aires
Laddie (1940 film)
Friendly Neighbors
The Heckler (film)
The Gay Caballero (1940 film)
For Freedom
The Philadelphia Story (film)
Remember the Night
Women Without Names
They Staked Their Lives
Sarajevo (1940 Hungarian film)
Holi (1940 film)
And One Was Beautiful
Dark Command
Bahurani (1940 film)
Jai Swadesh
Landslide (1940 film)
My Son, My Son! (film)
Jens Langkniv
Quicker'n a Wink
Millionaire Playboy
Bitter Sweet (1940 film)
At the Villa Rose (1940 film)
One Million B.C.
Meet Maxwell Archer
Old Mother Riley Joins Up
The Return of Frank James
Wyoming (1940 film)
Bandhan (1940 film)
Hired Wife
Gangs of Chicago
Kaze no Matasaburo
Night Train to Munich
Waldo's Last Stand
Second Tour
A Little Bit of Heaven (1940 film)
The Villain Still Pursued Her
Apni Nagariya
Just William (film)
I'm Nobody's Sweetheart Now
Melody Ranch
Ergens in Nederland
Two for Danger
Chalti Duniya
For a Friend (film)
Granny Get Your Gun
A Dispatch from Reuter's
Anjaan (1941 film)
King of the Royal Mounted (serial)
The Ape (1940 film)
Miss Grant Goes to the Door
Encadenado
Second Chorus
Women in War
Patient Porky
The Ghost Comes Home
Andy Hardy Meets Debutante
The Great McGinty
The Middle Watch (1940 film)
Charlie Chan at the Wax Museum
Escape to Glory
Two Girls on Broadway
Li'l Abner (1940 film)
Neutral Port
Heroes of the Saddle
Curtain Call (1940 film)
The Girl Who Forgot
Pas på svinget i Solby
Typhoon (1940 film)
Matjan Berbisik
Educating Niní
Three Men from Texas
Category:1940 animated films
Puss Gets the Boot
Viva Cisco Kid
Before I Hang
Opened by Mistake
Letter from Aldershot
Tear Gas Squad
Rentjong Atjeh
Porky's Last Stand
Old Mother Riley in Society
Son of the Navy
Romeo and Juliet (1940 film)
Father Is a Prince
Stage to Chino
Glamour for Sale
De México llegó el amor
The Well-Digger's Daughter (1940 film)
Emergency Squad (film)
Behind the News (film)
From Nurse to Worse (1940 film)
Tom Brown's School Days (1940 film)
Stranger on the Third Floor
All About Hash
Inspector Vargas
The Flying Squad (1940 film)
Ghost Valley Raiders
They Knew What They Wanted (film)
The Early Worm Gets the Bird
Prem Nagar (1940 film)
Hit Parade of 1941
Pacientka Dr. Hegla
You Nazty Spy!
¡Que viene mi marido!
Charlie Chan's Murder Cruise
The Great Plane Robbery (1940 film)
Hem från Babylon
Mahiravana (film)
Un'avventura di Salvator Rosa
Lucrezia Borgia (1940 film)
Dr. Christian Meets the Women
Bhookailas (1940 film)
Sing, Dance, Plenty Hot
Texas Terrors
Gold Rush Maisie
Mr. Mouse Takes a Trip
Shadowed Eyes
They Came by Night
East Side Kids (film)
Azadi-e-Watan
Little Nellie Kelly
Charley's (Big-Hearted) Aunt
No Time for Comedy
The Masked Lover
Atlantic Patrol
Rani Sahiba
The Briggs Family
Sailors Three
The Light of Western Stars (1940 film)
Gaslight (1940 film)
Přítelkyně pana ministra
Pier 13
The Way of All Flesh (1940 film)
Primrose Path (film)
The Saint Takes Over
The Notorious Elinor Lee
Melati van Agam (1940 film)
Earthbound (1940 film)
Teddy, the Rough Rider
I Take This Woman (1940 film)
Queen of the Yukon
The Mark of Zorro (1940 film)
Eyes of the Navy
Lady with Red Hair
Musafir (1940 film)
Always a Bride
Calling All Husbands
Men Against the Sky
Anuradha (1940 film)
Złota Maska (film)
Up in the Air (1940 film)
Baron Prášil (film)
Riders of Black Mountain
Gunita
The Home Front (film)
Meet the Missus (1940 film)
Punar Milan
Dark Streets of Cairo
The Cavalier from Kruja
The Tango Star
Hoots Mon! (1940 film)
The Earl of Chicago
Thrills and Chills
Bismarck (film)
Remedy for Riches
The Englishman of the Bones (film)
Dreaming Out Loud (film)
Deepak Mahal
Calling Philo Vance
La Casa del recuerdo
The Man Who Returned to Life
Nang Mahawi ang Ulap
Captain Kishore
Nothing But Pleasure
Uthama Puthiran (1940 film)
The Golden Fleecing (film)
The Green Hornet (serial)
Under Your Hat
Akireta musume-tachi
The Doctor Takes a Wife
Thu Zar
Enemy Agent
This Thing Called Love (1940 film)
Sailor's Lady
Raj Nartaki
Granite Hotel
Little Men (1940 film)
Saloon Bar
Jhuthi Sharm
Colorado (film)
Spy for a Day
Ice-Capades
Amor (film)
Falstaff in Vienna
Yaad Rahe
The Chinese Bungalow (1940 film)
Money and the Woman
Men of the Lightship
Red Blossoms
My Love Came Back
Gallopin' Gals
Rancho Grande (film)
Marriage in Buenos Aires
Siege (film)
Sarajevo (1940 French film)
The Star of Rio (1940 film)
Pangarap
Enemies (film)
Island of Doomed Men
The Man from Dakota
No Census, No Feeling
Where's That Fire?
Give Us Wings
Usha Haran
Four Shall Die
Band Waggon (film)
Happiness for Two
Nartaki (1940 film)
Winners of the West (1940 serial)
Three Cheers for the Irish
Captain Caution
The Daughter of the Green Pirate
The Son of Monte Cristo
I Want a Divorce
Argila (1940 film)
Keeping Company
Kora Terry
Kumkum the Dancer
Pride of the Bowery
The Invisible Man Returns
Isle of Destiny
I Take This Oath
Gül Baba (1940 film)
Young Buffalo Bill
The Strange Marchioness
The San Francisco Docks
Flight Angels
Murder in the Air (film)
Phantom Raiders
Crazy House (1940 film)
Channel Incident
Doomed to Die
The Rothschilds (film)
Rewi's Last Stand
Trail of the Vigilantes
Abbandono
Frontier Vengeance
The Midnight Ghost
Cserebere
Hullabaloo (film)
The Man I Married
Tarantella (film)
The Devil Bat
Untamed (1940 film)
Flash Gordon Conquers the Universe
Rocky Mountain Rangers (film)
Wings of Destiny
Sakuntalai
Category:Lists of 1940 films by country or language
River's End (1940 film)
Sandesha
The Miracle of Sound
Torrid Zone
Kalamegam
Sporting Blood (1940 film)
Pagal (film)
Sawing Gantimpala
'Til We Meet Again
Dorangia Daku
I de gode, gamle dage
Pop Always Pays
Rebecca (1940 film)
Escape (1940 film)
Medio millón por una mujer
El jefe máximo
Sathi Murali
Miquette (1940 film)
Dad Rudd, MP
A Fugitive from Justice
Let George Do It!
Bahaghari
Mysterious Doctor Satan
We Who Are Young
The Pirate's Dream
The Front of Steel
Return to Yesterday
Notre Dame van de sloppen
Tatar Ka Chor
Shooting High
Millionaires in Prison
Boys of the City
One Crowded Night
An Angel from Texas
Music in My Heart
Main Hari
It's a Date
El Haragán de la familia
Rockin' thru the Rockies
Sons of the Sea (film)
The Eternal Jew (1940 film)
Under Texas Skies (1940 film)
Zoebaida
Achhut
Convicted Woman
That Gang of Mine
Turnabout (film)
Abla Ki Shakti
Chandika (film)
Good Bad Boys
Beloved Augustin (1940 film)
Gambling on the High Seas
Lone Star Raiders
Triple Justice
Der Herr im Haus
Africa Squeaks
Waterloo Bridge (1940 film)
Bone Trouble
The Child (1940 film)
Service with the Colors
Charter Pilot
Three Silent Men
Brigham Young (film)
Aatamin puvussa ja vähän Eevankin (1940 film)
The Missing People
Hidden Gold
The Showdown (1940 film)
Caprichosa y millonaria
Clothes Make the Man (1940 film)
The Proud Valley
You'll Find Out
Billy the Kid's Gun Justice
Scatterbrain (film)
Tin Pan Alley (film)
Tugboat Annie Sails Again
The Hypnotist (1940 film)
The Letter (1940 film)
Good Night, Elmer
She Done Him Right (1940 film)
Macushla (film)
Carolina Moon (1940 film)
Broadway Melody of 1940
The Saint's Double Trouble
Saint John, the Beheaded
Babicka (1940 film)
La gitanilla (film)
Gallant Sons
Dr. O'Dowd
Brother Rat and a Baby
Ski Patrol (1940 film)
Flowing Gold
Dr. Ehrlich's Magic Bullet
Spies of the Air
Susan and God
Knock Knock (1940 film)
Viviré otra vez
How High Is Up?
Bridge of Glass (film)
Kartinah
Confesión
I Was an Adventuress
Boobs in Arms
Donald's Vacation
Little Orvie
Rembrandt (1940 film)
Dr. Cyclops
Wunschkonzert
Prosím, pane profesore
The Invisible Woman (1940 film)
Kit Carson (film)
Sajani (1940 film)
My Little Chickadee
The Fargo Kid
Flecha de oro
The Border Legion (1940 film)
Green Hell (film)
It All Came True
Huella
The Ramparts We Watch
Beating Heart (film)
The Quarterback (1940 film)
Dasima
Tilly of Bloomsbury (1940 film)
Safari (1940 film)
Deadwood Dick (serial)
El Cantor del circo
I'm Still Alive (film)
North West Mounted Police (film)
Manhattan Heartbeat
The Lone Wolf Meets a Lady
Pastor Hall
Dancing on a Dime
Contraband (1940 film)
Young Bill Hickok
Gnanambika
The Howards of Virginia
A Night at Earl Carroll's
Who Killed Aunt Maggie?
Castle on the Hudson
The Sea Hawk (1940 film)
The Great Profile
Roekihati
Anjaam (1940 film)
Sorga Ka Toedjoe
Cookoo Cavaliers
To byl český muzikant
The Grapes of Wrath (film)
Saturday's Children
Kiddie Kure
Somewhere in England (film)
Wildcat Bus
Law and Order (1940 film)
The Mummy's Hand
Flight Command
Woman Made to Measure
Covered Wagon Days
Mera Punjab
Experiments in the Revival of Organisms
Don Pasquale (film)
Public Deb No. 1
Buck Benny Rides Again
Marked Men (1940 film)
Mexican Spitfire Out West
Saubhagya
The Marines Fly High
If I Had My Way
Ali Baba (1940 film)
Explosivo 008
Take Me Back to Oklahoma
Pelikán má alibi
Irene (1940 film)
Viswa Mohini
Blondie Plays Cupid
I Love You Again
An Englishman's Home
Salvage with a Smile
Jadu Nagri
Qaidi (1940 film)
Barrister Parvateesam (film)
Seven Sinners (1940 film)
Confucius (1940 film)
Non me lo dire!
Nightclub Hostess
The Last Alarm
Girl in 313
Barnyard Follies
Legion of the Lawless
Adventure in Diamonds
Our Town (1940 film)
Half a Sinner (1940 film)
Forty Little Mothers
My Favorite Wife
20 Mule Team
The Green Archer (1940 serial)
Poor Devil (1940 film)
Rangila Jawan
His Girl Friday
Spare a Copper
Sky Bandits (1940 film)
The Man Who Talked Too Much
Seventeen (1940 film)
Maddalena, zero in condotta
Corazón de turco
Ladies Must Live (1940 film)
Beyond Tomorrow (film)
Pardon My Berth Marks
La canción del milagro
Free, Blonde and 21
In Old Missouri
Mi madrecita
Thundering Frontier
Totsugu hi made
Hold That Woman!
Gaucho Serenade
Dr. Kildare Goes Home
Strange Cargo (1940 film)
Star Dust (film)
A Window in London
The Law of Life (film)
Jennie (film)
Grandpa Goes to Town
The New Pupil
Kitty Foyle (film)
The Crooked Road (1940 film)
Only the Valiant (1940 film)
The Unfaithful Eckehart (1940 film)
Geeta (1940 film)
The Man Who Wouldn't Talk (1940 film)
Parole Fixer
Hindustan Hamara (1940 film)
Westward Ho! (1940 film)
Misbehaving Husbands
Those Were the Days!
Third Finger, Left Hand
The Girl from Barnhelm
Angels Over Broadway
The Long Voyage Home
Father Gets Entangled Again
Babies for Sale
Hired!
Murder Over New York
The Girl at the Reception
Young Tom Edison
En ganske almindelig pige
The Milky Way (1940 film)
Swiss Family Robinson (1940 film)
Narsi Bhagat
Blondie Has Servant Trouble
Cross-Country Romance
Goodbye Youth (1940 film)
Dr. Kildare's Crisis
Der Postmeister
No, No, Nanette (1940 film)
The Biscuit Eater (1940 film)
Sneh Bandhan
On Their Own
Bastard (film)
Cherokee Strip (film)
Texas Rangers Ride Again
Jud Süß (1940 film)
Girl from Avenue A
Phantom of Chinatown
Santa Fe Trail (film)
Bhairavsingh – Ek Rashtra sevak
Mystery Sea Raider
The House of the Seven Gables (film)
21 Days
Pohádka máje
Blind Folly
Sant Dnyaneshwar (film)
June Nights
Queen of the Mob
Michael Shayne, Private Detective
The House Across the Bay
Sky Murder
One Night in the Tropics
Convoy (1940 film)
Foreign Correspondent (film)
Melody and Moonlight
Les Musiciens du ciel
Aaj Ki Duniya
Der Marsch zum Führer
Bharosa (1940 film)
Road to Singapore
Kedok Ketawa
The Outsider (1939 film)
Moyuru ōzora
Boom Town (film)
Grand Ole Opry (film)
Men Without Souls
Mad Youth
The Fox of Glenarvon
The Green Hand
Boss of Bullion City
Laugh It Off (1940 film)
A Plumbing We Will Go
Feldzug in Polen
Congo Maisie
The Fighting 69th
Girl from Havana
Law and Disorder (1940 film)
Bulldog Sees It Through
Finally Alone
Nirali Duniya
He Married His Wife
Jayakodi
Dance, Girl, Dance
The Case of the Frightened Lady (film)
The Tulsa Kid
Olympic Honeymoon
Twilight (1940 film)
Citizen Kane trailer
Nick Carter, Master Detective (film)
Wolf of New York
Spring Parade
King of the White Elephant
Girl in the News
The Man with Nine Lives (film)
Bowery Boy
Sumangali (1940 film)
Daredevils of the Clouds
Arise, My Love
Bullet Code
The Lady in Question
Med dej i mina armar
Edison, the Man
The First Woman Who Passes
Junior G-Men (serial)
Maryland (1940 film)
Girl from God's Country
Phantom Rancher
Mr. Duck Steps Out
Manon Lescaut (1940 film)
Forty Thousand Horsemen
Too Many Husbands
Eternal Melodies
You Ought to Be in Pictures
Cristobal's Gold
Con el dedo en el gatillo
Arizona (1940 film)
El secreto de la monja
The Ranger and the Lady
The Mortal Storm
A Macabre Legacy
Das sündige Dorf (1940 film)
João Ratão
Cruise for the Unknown One
Earl of Puddlestone
Dr. Kildare's Strange Case
The Bank Dick
Fragata Sarmiento (film)
Village Barn Dance
Chad Hanna
Drums of Fu Manchu
Vienna Tales
Ten Days in Paris
Nutty but Nice
The Fourth Estate (film)
Britain at Bay
Three Faces West
Canto de amor
Zindagi (1940 film)
Los de abajo (film)
Familien Olsen
Stolen Paradise
Pioneers of the West
Aaj Ka Hindustan
Dharma Bandhan
South of Suez
Goin' Fishin'
Go West (1940 film)
Strike Up the Band (film)
