Killer Clans
Idealist (film)
Pardon Mon Affaire
Laure (film)
Edith's Shopping Bag
Citizen Soldier
Strange Occasion
Changing Tides
Gruhapravesam
Lakshmi Vijayam
Elvis! Elvis!
The Margin (film)
A Real Young Girl
The Fifth Seal
Jim the World's Greatest
Spiderweb
El Canto cuenta su historia
Rome: The Other Side of Violence
Luna di miele in tre
Beach Guard in Winter
Dasavataram (film)
To Save the City
The Classroom of Terror
Kansas City Trucking Co.
El hombre de los hongos
Ongka's Big Moka
City of My Dreams (film)
The Loves and Times of Scaramouche
Mera Jiwan
Lasse & Geir
Dragon Princess
Quel movimento che mi piace tanto
The Big Bus
Sweet Revenge (1976 film)
J. D.'s Revenge
The Amazing Dobermans
Languid Kisses, Wet Caresses
Practical Joke (film)
End Play
C'était un rendez-vous
Chottanikkara Amma
The Moelleby Affair
The Farm in the Small Marsh (film)
Lady Moonflower
Deewaangee
Adalat (1976 film)
Illuminations (film)
The Pom Pom Girls
Son nom de Venise dans Calcutta désert
Ape (1976 film)
Salon Kitty (film)
Themmadi Velappan
Exposé (film)
Schizo (1976 film)
Soy un delincuente
Tres Mujeres en la Hoguera
Maha Chor
The Musician Killer
Shaolin Temple (1976 film)
Sexilla Stundilla
Docteur Françoise Gailland
Pascual Duarte
Rattlers (film)
Twenty Days Without War
Deported Women of the SS Special Section
Stay Hungry
Death Rite
The Good and the Bad
Buffalo Bill and the Indians, or Sitting Bull's History Lesson
Maanasaveena
Muthu (1976 film)
America Ammayi
Zamane Se Poocho
Not Now, Comrade
Minsa'y isang Gamu-gamo
Jackson County Jail (film)
Illustrious Corpses
Sabse Bada Rupaiya (1976 film)
Mehbooba
L'adolescente
Don's Party
The Clown (1976 film)
Taxi Driver
Prasaadam
Kabani Nadi Chuvannappol
Appooppan
Pushpasharam
Oorummadi Brathukulu
Madhuram Thirumadhuram
Il letto in piazza
A Slave of Love
The Outlaw Josey Wales
Satyam (1976 film)
Süt Kardeşler
À nous les petites Anglaises
The Bette Midler Show
Never Forget Me
Los Hombres sólo piensan en eso
Sentimentalny roman
Bitayin si... Baby Ama!
The Clown Murders
Brunet wieczorową porą
El miedo no anda en burro
The Muthers
Down and Dirty (film)
The Sailor Who Fell from Grace with the Sea (film)
I Only Want You To Love Me
Deathcheaters
Rajaankanam
Amrithavaahini
Sparkle (1976 film)
The White Ship (1976 film)
A Queda
Freaky Friday (1976 film)
Day for My Love
The Premonition (1976 film)
High Grass Circus
King Kung Fu
Vemulawada Bheemakavi (film)
Barefoot Gen (1976 film)
Anaavaranam
Cría Cuervos
El desencanto
Alice, Sweet Alice
Hosilu Mettida Hennu
How to Console Widows
Submission (1976 film)
Drive-In (film)
Sebastiane
Kuttavum Sikshayum
Tosun Paşa
Squirm (film)
Survive! (film)
New Fist of Fury
Private Vices, Public Pleasures
Árvácska
Mayday at 40,000 Feet!
Soldier of Fortune (1976 film)
Do Ladkiyan
Don Carmelo il capo
Special Delivery (1976 film)
Killer Meteors
Devara Duddu
The Killer Inside Me (1976 film)
Yavvanam Katesindi
A Matter of Time (film)
Agni Pushpam
The Man on the Roof
Hera Pheri (1976 film)
L'Alpagueur
Marecek, Pass Me the Pen!
Voyage to the Edge of the World
Je Tu Il Elle
Moving Violation (film)
Emily (film)
Secrets of a Superstud
Aeg elada, aeg armastada
Hollywood on Trial
The Desert of the Tartars
Todo modo
Rojavin Raja
The Likely Lads (film)
Besuge
Alicia en el país de las maravillas
Zebra Force
Deportee (film)
Sex with a Smile II
Off the Edge
Per amore di Cesarina
Mahakavi Kshetrayya
Underground (1976 film)
Omar Gatlato
The Last Round
Parta hic
Bruce Lee: The Man, The Myth
La Noche del hurto
Giovannino (film)
The Blue Bird (1976 film)
18 Bronzemen
Yakshagaanam
7 Man Army
Ballet Shoes (TV serial)
Los Chicos crecen (1976 film)
Blood Sucking Freaks
Santan (film)
The Smurfs and the Magic Flute
La dottoressa sotto il lenzuolo
Sven Klang's Combo
Invisible Strangler
Death Weekend
Kabhie Kabhie (1976 film)
Yesterday's Guys Used No Arsenic
F comme Fairbanks
Zona Roja
A Wedding Suit
Smooth Velvet, Raw Silk
Cuore di cane
The Troubled Month of Veresen
Circus in the Circus
Raja Nanna Raja
Oorukku Uzhaippavan
Stepan's Remembrance
Sindura Bindu
Tapasya (1976 film)
Budapest Tales
Northville Cemetery Massacre
To Fly!
Category:1976 animated films
Rome Armed to the Teeth
Hot Potato (film)
The Lady from the City
Bundal Baaz
Grizzly (1976 film)
Death at Love House
Blue Belle
Kenny & Company
Trackdown (film)
Retrato de Familia
Evil Thoughts
Golden Night
Shabana (film)
The Little Mermaid (1976 Czech film)
Shankar Shambhu
Young, Violent, Dangerous
Do I Have to Kill My Child?
Magaadu
Shadow of the Hawk
Buddies (1976 film)
Voyage of the Damned
Pick Pocket
Black Heat (film)
Kenalum Collectorum
Satan's Slave
My Michael
Vazhvu En Pakkam
Suntan (1976 film)
The Song Remains the Same (film)
Mado (film)
Lipstick (film)
The Choice (Le Choix)
Summer and Smoke
The Enforcer (1976 film)
Breaking Point (1976 film)
Satılmış Adam
The Last Plantation
Harvest: 3,000 Years
House of Pleasure for Women
Scandalo in famiglia
The Chicago Maternity Center Story
We Can't Go Home Again
Komaligal
Aarambh
Manuela (1976 film)
Una bella governante di colore
Summer of Secrets (film)
Mother, Jugs & Speed
Sky Riders
Letters from Marusia
La Guerra de los sostenes
Ginny Aur Johnny
Pure as a Lily
The Message (1976 film)
Aces High (film)
Union Maids
Shadow of Angels
Ma-ma (1976 film)
Yellow Emanuelle
East End Hustle
Smile Orange (film)
Storm Boy (film)
The Doom
The Beach Bunnies
Nagin (1976 film)
The Marquise of O (film)
Des journées entières dans les arbres
Spy Story (film)
La ciutat cremada
Wet Wilderness
Kolomba Sanniya
Bhanwar
Gable and Lombard
Je t'aime moi non plus (film)
Universe (1976 film)
Sila Nerangalil Sila Manithargal
Chalte Chalte (1976 film)
Griffin and Phoenix (1976 film)
Raathriyile Yaathrakkaar
Water Power (film)
Brotherhood of Death
Let My Puppets Come
Mark Strikes Again
Land of the Minotaur
Pressure (1976 film)
Harlan County, USA
Burnt Offerings (film)
Black Shampoo
The Career of a Chambermaid
Monsieur Klein
The Missouri Breaks
I Am Really Sorry
And Agnes Chose to Die
Shogun's Sadism
Confessions of a Lady Cop
Norman... Is That You?
Cravos de Abril
Alle dagen feest
Classe mista
Memories of Berlin: The Twilight of Weimar Culture
A Strange Role
Summoned by Bells
Bittersweet Love
Sita Kalyanam (1976 film)
Lifespan (film)
Zid (1976 film)
Bhala Manus
Chitchor
Peter Pan (1976 musical)
The Inugamis (1976 film)
A Special Cop in Action
The Bad News Bears
Strange Shadows in an Empty Room
Futureworld
Farsighted for Two Diopters
Countdown at Kusini
Challenge of the Masters
Rosemary's Daughter
The Big Racket
Break of Day (film)
Blondy (1976 film)
Balika Badhu (1976 film)
Khamma Mara Veera / Rakshaa Bandhan
Léto s kovbojem
The Twist (film)
Secret Doors
Eliza Fraser (film)
Lalitha (film)
Barocco
Category:1976 horror films
The Keeper (1976 film)
Lagaaam
The Street (film)
The Call of the Wild (1976 film)
The Twelve Chairs (1976 film)
Violanta (film)
Helter Skelter (1976 film)
The Little Girl Who Lives Down the Lane
Embryo (1976 film)
Lezioni di violoncello con toccata e fuga
Adventures of a Taxi Driver
Dixie Dynamite
Allegro Non Troppo
Ayalkkaari
Fantasm
Mr. Funnybone
Karate Warriors
La gran aventura del Zorro
The Boy in the Plastic Bubble
Baby Blue Marine
Network (film)
Priyamvada
Crackle of Death
Xica
Mallanum Mathevanum
Anatomie d'un rapport
Mansion of the Doomed
The River Niger (film)
Ponni (film)
The Bingo Long Traveling All-Stars & Motor Kings
The Battle of Chile
Soggadu (1976 film)
Mohiniyaattam (film)
Live Like a Cop, Die Like a Man
The Sexplorer
Strømer
Deadly Hero
In the Dust of the Stars
Love of Blood Relations
Chesty: A Tribute to a Legend
Cloistered Nun: Runa's Confession
Sindooram
The Sentimental Bloke (musical)
Jarosław Dąbrowski (film)
Track of the Moon Beast
No Deposit, No Return
Njavalppazhangal
Nickelodeon (film)
Maa (1976 film)
Alex & the Gypsy
Exit Dying
The Judge and the Assassin
Tora-san's Sunrise and Sunset
The Big Operator (1976 film)
Shaque
Adiós Amigo
Acapulco Gold (film)
Car Wash (film)
Vazhivilakku
Romeo (1976 film)
Albino (film)
Kamadhenu (1976 film)
La madama
De komst van Joachim Stiller (film)
The Bricklayers
Uthaman (1976 film)
Body of My Enemy
Jana Aranya
Watcher in the Attic
The War Widow
Udhar Ka Sindur
All This and World War II
Seven Beauties
Due sul pianerottolo
Hawmps!
Welcome to L.A.
Night of the Seagulls
The Slipper and the Rose
In the Realm of the Senses
Hollywood Boulevard (1976 film)
The Next Man
The Omen
The Girl Chewing Gum
Harry and Walter Go to New York
Panchami (film)
Assault! Jack the Ripper
La portiera nuda
Black and White in Color
The End of the Road (1976 film)
Khaan Dost
The Rat Savior
Diary of the Dead (1976 film)
Volcano: An Inquiry into the Life and Death of Malcolm Lowry
The Beach Boys: Good Vibrations Tour
Aayiram Janmangal
Crimebusters (film)
What Now, Catherine Curtis?
Insaciable
Little Girl... Big Tease
Any Day Now (1976 film)
Kumaara Vijayam
Ode to Billy Joe (film)
Baalu Jenu
The Anchorite
Through the Looking Glass (film)
Yarınsız Adam
Aaj Ka Mahaatma
The God Boy
Sesuatu yang Indah
Mrigayaa
Kaadaaru Maasam
Mean Johnny Barrows
The Bawdy Adventures of Tom Jones
Queensland (film)
Yakuza Graveyard
Nick the Sting
Inquisition (film)
Premada Kanike
I Am Self Sufficient
Chesty Anderson, USN
The Man Who Fell to Earth
Ilsa, Harem Keeper of the Oil Sheiks
Gitar Tua Oma Irama
Paalkkadal
Frauengefängnis
Kazimierz Wielki (film)
Chitra Te Shera
The Trespassers
Amba Ambika Ambalika
Snuff (film)
The Sell Out (film)
La Isla de los dibujos
Take All of Me
Makkala Bhagya
A Woman at Her Window
Theekkanal
Tanya (film)
El Grito de Celina
Hollywood Man
Meet Him and Die
Curse of Bigfoot
The Memory of Justice
The Shootist
The Widowhood of Karolina Žašler
Hot Summer in the City
Gator (film)
Project Kill
Where the Wind Dies
Light House (film)
Dynasty (film)
A Star Is Born (1976 film)
Eat My Dust!
The Two Orphans (1976 film)
Jeevan Jyoti (1976 film)
Bobbie Jo and the Outlaw
How Yukong Moved the Mountains
Aparadhi (1976 film)
Giv'at Halfon Eina Ona
Swapnadanam
Al piacere di rivederla
The Human Tornado
Alice in Wonderland (1976 film)
Crossroads (1976 film)
Police Python 357
Emanuelle in Bangkok
The Last Woman
Assault on Precinct 13 (1976 film)
The Swiss Conspiracy
Lullaby of the Earth
Obsession (1976 film)
Unakkaga Naan
Bør Børson II
Badavara Bandhu
Hridayam Oru Kshethram
Dos locos en el aire
The Billion Dollar Bubble
Girls at Arms 2
Meetings, Bloody Meetings
Seemantha Puthran
Mindscape/Le paysagiste
Escape from Angola
Seclusion Near a Forest
Ragazza alla pari
God Told Me To
Chadi Jawani Budhe Nu
Robot Taekwon V
Daku Rani Ganga
The Wedding of Zein (film)
Ceddo
Koi Jeeta Koi Haara
Kabeela
Fakira (film)
Chantons sous l'Occupation
Tunnel Vision (film)
El Gordo de América
Look What's Happened to Rosemary's Baby
Anthuleni Katha
Il medico... la studentessa
The Milpitas Monster
Thulasi (1976 film)
Mustang Country
Black Emanuelle 2
Canoa (film)
Jaaneman (1976 film)
My Sister in Law
Exit the Dragon, Enter the Tiger
Honza málem králem
Amma (1976 film)
Paura in città
Velvet Smooth
The Ritz (film)
Train in the Snow
Vanadevatha
Rakhi Aur Rifle
The Toy (1976 film)
Ek Se Badhkar Ek (1976 film)
Plot of Fear
Long Vacations of 36
Human (1976 film)
Shout at the Devil (film)
Spermula
The Wing or the Thigh
Number Our Days
Robin and Marian
Dus Numbri
Fighting Mad
