Camping (1978 film)
Attack of the Killer Tomatoes
Tobi (1978 film)
The Night the Prowler
Scared Straight!
The Alien Factor
Red Rings of Fear
Prarthana (film)
Pretty Peaches
Grahana
They Call Her Cleopatra Wong
Mouth to Mouth (1978 film)
Thiranottam
Days of Heaven
Vyaamoham
Trishul (film)
Furia en la isla
Mean Dog Blues
Attacked!!
Boxer's Adventure
El Paso Wrecking Corp.
Dillagi (1978 film)
Los Médicos
Ganga Ki Saugandh
Starhops
Chakravyuha (1978 film)
The New Maverick
The Seniors
Leopard in the Snow
7 Grandmasters
Lemon Popsicle
Damien: Omen II
In a Year of 13 Moons
A Distant Thunder (1978 film)
I Miss You, Hugs and Kisses
Velluvili
Stage-Struck Tora-san
A Different Approach
Second Wind (1978 film)
Urakkam Varaatha Raathrikal
Shankar Guru (1978 film)
Laserblast
Five Deadly Venoms
Chowki No.11
The Further Adventures of the Wilderness Family
Bambaru Avith
Attention, The Kids Are Watching
Sundarimaarude Swapnangal
Don (1978 film)
Aalmaaraattam
Pranam Khareedu
Convoy (1978 film)
Padaharella Vayasu
Wild and Wooly
Bermuda: Cave of the Sharks
Ward Six
Poet and Muse
The Manitou
Raja Dangdut
The Winds of Kitty Hawk
Colonel Delmiro Gouveia
Snehathinte Mukhangal
The Cat from Outer Space
Piranha (1978 film)
Schwarz und weiß wie Tage und Nächte
Ritratto di borghesia in nero
The Walls of Freedom
Vadakakku Oru Hridayam
Mukkuvane Snehicha Bhootham
Midukkipponnamma
Seetamalakshmi
Manoradham
What Max Said
Closed Circuit (1978 film)
Category:1978 animated films
Ishi: The Last of His Tribe
Aazhi Alayaazhi
Flaming Hearts
The Remains from the Shipwreck
Udayam Kizhakku Thanne
La Cage aux Folles (film)
Winterborn (film)
Des Pardes (1978 film)
Amarnath (film)
When Every Day Was the Fourth of July
The Sea Gypsies (1978 film)
A Summer Rain
Panna a netvor
A Walk in the Sun (1978 film)
Atithee
The Users (1978 film)
Butterfly on the Shoulder
The Whole Shootin' Match
The Bermuda Depths
Diary of Korean-Japanese War
Katakataala Rudraiah
Absolution (1978 film)
F.I.S.T.
Lies My Father Told Me
Molière (1978 film)
Suggestionata
The Irishman (film)
The Lord of the Rings (1978 film)
The President's Mistress
Kaatrinile Varum Geetham
The Class of Miss MacMichael
Casey's Shadow
Same Time, Next Year (film)
The Driver
Silver Bears (film)
A Wedding
Enter the Fat Dragon
Little Boy Lost (1978 film)
Empire of Passion
Olly Olly Oxen Free (film)
Just a Gigolo (1978 film)
Clockwork (film)
Geppo il folle
The Medusa Touch (film)
5 Superfighters
Nakshathrangale Kaaval (film)
Stranger in Our House
Drunken Master
Aaro Oral
Robert et Robert
Stay as You Are
The Lovers' Wind
Yaşam Kavgası
Weekend of Shadows
Ram Kasam
Jörg Ratgeb – Painter
The Last Pogo
Hemantharaathri
Hombisilu
Wuthering Heights (1978 television serial)
Annadammula Savaal
Shogun's Samurai
Trishna (1978 film)
Interiors
The Mountain of the Cannibal God
Saawan Ke Geet
Premi Gangaram
Sati Savitri
Let's Get Laid
Maattoly
Phool Khile Hain Gulshan Gulshan (film)
Cyclone (1978 film)
Blue Collar (film)
Somebody Killed Her Husband
Blue Christmas (film)
Angela (1978 film)
Ganga Sagar (film)
Killer's Moon
Dirty Dreamer
The Story of a Small Town
King of the Gypsies (film)
Good Guys Wear Black
Sigappu Rojakkal
Killer Nun
Little Italy (film)
Vartioitu kylä 1944
Badalte Rishtey
Aanayum Ambaariyum
Patrick (1978 film)
Kondura
Aparichita
Foul Play (1978 film)
Maro Charitra (1978 film)
Corleone (film)
Game of Death
Invisible Man: Rape!
Saajan Bina Suhagan
Revenge of the Pink Panther
Blood Relatives
The Savage State
The Devil and Daniel Mouse
Les Rendez-vous d'Anna
North Star: Mark di Suvero
Being Twenty
Third Person Plural
Jacob Two Two Meets the Hooded Fang
Parasangada Gendethimma
Patolandia nuclear
Legend of the Bat
The Recourse to the Method
Chali Cheemalu
An Encounter with Faces
Tough to Kill
Hardware Wars
Ithaa Oru Manushyan
Solos en la madrugada
Rope Cosmetology
The One Man Jury
La liceale nella classe dei ripetenti
Sweeney 2
Main Tulsi Tere Aangan Ki
Graduate First
Cotton Candy (film)
Eyes of Laura Mars
Building Sites Bite
Knife in the Head
American Hot Wax
Amori miei
Apna Khoon
Superdome (film)
L'Italia s'è rotta
Priyadarshini (film)
Court Martial (1978 film)
Circle of Iron
Comes a Horseman
Power Play (1978 film)
The Stud (film)
Jaws 2
Amara Prema
Rockers (1978 film)
Jayikkaanaay Janichavan
Raoni
Priya (1978 film)
Toplo
The Ice House (short film)
Pinkeltje
Dar Emtedade Shab
Faces of Death
Phandebaaz
Avalanche (1978 film)
Kaerazaru hibi
Kalavantin
Germany in Autumn
Nightmare in Blood
Lal Kothi
Passion Flower Hotel (film)
Toʻylar muborak
Nero veneziano
Randu Penkuttikal
Barracuda (1978 film)
Padmatheertham
Within the Woods
The 36th Chamber of Shaolin
The Comeback (1978 film)
Dil Aur Deewaar
Dossier 51
Khatta Meetha (1978 film)
Die Abfahrer
Chakraayudham
D'Artagnan and Three Musketeers
Madhu Malti
Penelope (1978 film)
En la cuerda del hambre
Raja Rani Ko Chahiye Pasina
Debbie Does Dallas
Dooratwa
The Heritage (film)
Daaku Aur Jawan
Dil Se Mile Dil
The Payoff (1978 film)
Holiday Hotel
Talk of the Town Tora-san
Thamburatti
Prathima
Avalku Maranamilla
The Greek Tycoon
The Perfect Crime (film)
A Night at the Adonis
Jaganmohini (1978 film)
Angi Vera
House Calls (1978 film)
Aval Kanda Lokam
Blackjack (1978 film)
Avar Jeevikkunnu
Vishwaroopam (1978 film)
Nalayak
Remember My Name
Travolto dagli affetti familiari
Avalude Ravukal
Avakaasham
Sarvasakshi
The Boys in Company C
Pinkeltje (film)
Puthariyankam
Iniyum Puzhayozhukum
Alyam Alyam O les jours aka Oh the days
Blind Rage (film)
Enter the Game of Death
Aahuti (1978 film)
The Bad News Bears Go to Japan
Heeralaal Pannalal (1978 film)
Judith Therpauve
A Little Like Drowning
Je suis timide mais je me soigne
A Hunting Accident
El Año de la Peste
The Divided Trail: A Native American Odyssey
The Shout
Darwaza
Damaad
Heaven Sword and Dragon Sabre (1978 film)
Flatfoot in Africa
An Enemy of the People (film)
Bears and Man
The Incident (1978 film)
Andaman Kadhali
Someone's Watching Me!
Bhaaryayum Kaamukiyum
Karunamayudu
Carnival Nights
Zuma Beach (film)
Aarum Anyaralla
Nizhal Nijamagiradhu
Uncle Joe Shannon
Blazing Flowers
Long Weekend (1978 film)
Paradise Alley
The Buddy Holly Story
Child of Glass
Sneha Sedu
Bhola Bhala
The Cheap Detective
Les Raisins de la Mort
The Silent Partner (1978 film)
Afterlife (1978 film)
Trællene / The Thralls
Kiss Meets the Phantom of the Park
Ek Baap Chhe Bete
Kodiyettam
Magic (1978 film)
Return of the Tiger
Manidharil Ithanai Nirangala!
The Hound of the Baskervilles (1978 film)
Asthamayam
Lady Black Rose
Mattoru Karnan
Confessions of a Foyer Girl
The Playbirds
White Flowers for the Dead
Thayige Thakka Maga
Thappu Thalangal
Aval Appadithan
Akcja pod Arsenałem
Hospitals Don't Burn Down
The Mystery of Mamo
Our Winning Season
Anmol Tasveer
Saga of a Star World
Safari Rally (film)
Hallucinations of a Deranged Mind
Ninakku Njaanum Enikku Neeyum
Mannu
State Reasons
The Universe of Mojica Marins
Kingdom of Gifts
The Chant of Jimmie Blacksmith (film)
The Boys from Brazil (film)
Sooteh-Delan
Without Anesthesia
The Score (1978 film)
The Herd (1978 film)
Home to Stay
The Witness (1978 film)
Sthree Oru Dukham
Holocaust (miniseries)
Mangudi Minor
My Life's on the Line
Stevie (1978 film)
L'argent des autres
Bhrashtu
Fedora (film)
Deathsport
Pugachev (film)
Three from Prostokvashino
Contact (1978 film)
Ammuvinte Aattinkutty
The Children of Sanchez (film)
1922 (film)
Naukri
Madhura Sangama
Ocana, an Intermittent Portrait
Land of No Return
Amar Suhagin
The Toolbox Murders
Black Belt (1978 film)
The Thief of Baghdad (1978 film)
Scorching Sun, Fierce Winds, Wild Fire
French Fried Vacation
Apeksha
Nicole (film)
Never Give Up (1978 film)
Chor Ho To Aisa
Category:Lists of 1978 films by country or language
Invasion of the Body Snatchers (1978 film)
Me and Charly
Fäbodjäntan
Njaan Njaan Maathram
Clan of Amazons (1978 film)
Category:1978 horror films
Mi mujer no es mi señora
Professor Kranz tedesco di Germania
College Girl (1978 film)
Bandits vs. Samurai Squadron
Od zítřka nečaruji
Encuentros muy cercanos con señoras de cualquier tipo
The Proud Youth
Ondanondu Kaladalli
Half a Loaf of Kung Fu
Ashokavanam
Rajan Paranja Kadha
Kibar Feyzo
I Wanna Hold Your Hand (film)
The Legacy (1979 film)
It Lives Again
Teenage Father
Ganadevata
Anjane Mein
Amar Shakti
Alucarda
What Will You Do When You Catch Me?
Per vivere meglio, divertitevi con noi
The Odd Job
Enter Three Dragons
FM (film)
Ahalya (1978 film)
Mudramothiram
In Praise of Older Women (1978 film)
Benji's Very Own Christmas Story
Who Is Killing the Great Chefs of Europe?
Le Pion
Ennai Pol Oruvan
Shri Rama Pattabhishekam
One by One (1975 film)
The Magic of Lassie
Bhakti Mein Shakti
The Brave Archer 2
Hot Line (film)
Hooper (film)
Born Again (film)
Vamsha Jyothi
Men Can't Be Raped
The Big Fix
Paavaadakkaari
The Prophet, the Gold and the Transylvanians
One Page of Love
Snake in the Eagle's Shadow
Ankhiyon Ke Jharokhon Se
Pretty Baby (1978 film)
La Mamá de la novia
The Defection of Simas Kudirka
Women in Cellblock 9
La Carapate
The Iron Commissioner
The Betsy
Three Warriors
I Spit on Your Grave
Siritanakke Savaal
Fotógrafo de señoras
The Last House on the Beach
Girlfriends (1978 film)
The Fox in the Chicken Coop
Shoot the Sun Down
Kaithappoo
Thai Meethu Sathiyam
Little Mo (1978 film)
Operation Diamond Racket
Goin' Coconuts
The Flight of the Gossamer Condor
The Swissmakers
Category:1978 television films
Ograblenie po...
Pichipoo
Ee Manohara Theeram
Despair (film)
The One and Only (1978 film)
Movie Movie
Wsród nocnej ciszy (film)
A Night Full of Rain
Etho Oru Swapnam
You Are Not Alone (film)
Zero to Sixty
Vengeful Beauty
Tripura Sundari (film)
Victims of Vice
A Dream of Passion
Midnight Express (film)
Soothrakkaari
The Brink's Job
What's Up Superdoc!
Hot Lead and Cold Feet
Azaad (1978 film)
Les Misérables (1978 film)
Kadathanaattu Maakkam
Let Me Die a Woman
Rahu Ketu
May I Borrow Your Girl Tonight?
Ghar (film)
Break Up (1978 film)
Theerangal
Killer Butterfly
Brass Target
American Boy: A Profile of Steven Prince
Home Before Midnight
Category:1978 martial arts films
Vaazhkai Alaigal
Heaven Can Wait (1978 film)
Padakuthira
El diputado
En Kelvikku Enna Bathil
Le braghe del padrone
Phaansi
The Flying Fox of Snowy Mountain (1978 film)
Quando c'era lui... caro lei!
Gates of Heaven
Two Solitudes (film)
International Velvet (film)
The Champions (miniseries)
The End (1978 film)
Almost Summer
Heroes of the East
Nighthawks (1978 film)
Last Feelings
Sathrusamhaaram
Punniya Boomi
Kasme Vaade
Go Tell the Spartans
Autumn Sonata
The Redeemer: Son of Satan
Bansari (1978 film)
Down and Out (1977 film)
Return from Witch Mountain
China 9, Liberty 37
Anton the Magician
Vasantha Lakshmi
De Mantel der Liefde
Sivaranjani (film)
Tiger Salim
Onappudava
Comedia rota
Ilamai Oonjal Aadukirathu
Candy Stripers (1978 film)
Where Are You Going on Holiday?
Who'll Stop the Rain
Suli (film)
Fire's Share
Out of the Darkness (1978 film)
The Great Bank Hoax
Chor Ke Ghar Chor
Always for Pleasure
Mana Voori Pandavulu
Get Out Your Handkerchiefs
The Cat and the Canary (1979 film)
The Fifth Commandment
Bravo maestro
Aaravam
Le prix de la liberté
Slow Dancing in the Big City
Snehikkan Oru Pennu
Message from Space
The Wiz (film)
Spiral (1978 film)
Blood Feud (1978 film)
Money Movers
Blood and Diamonds
Thampu
Aakhri Daku
Bloodbrothers (1978 film)
Dominique (film)
Hamara Sansar
Blue Sunshine (film)
Tumhari Kasam
The Deer Hunter
Amigos para La Aventura
Agni (1978 film)
Third Base
Ice Castles
Ullathil Kuzhanthaiyadi
The School Teacher in the House
Muyyige Muyyi
Dragon Lee vs. The Five Brothers
Rope Hell
La Parte del león
Errors of Youth
Mullum Malarum
Ringing Bell
Way of the Dragon 2
Peasants (film)
Moment by Moment
Record City
El Capitan (film)
Anumodhanam
Moment (film)
The Place Without Limits
The Love Suicides at Sonezaki (1978 film)
Mardi Gras Massacre
Peruvazhiyambalam
Pink Tush Girl
Are You in the House Alone?
Randu Janmam
La Ballade des Dalton
CIA contro KGB
Little Girl in Blue Velvet
Terror (1978 film)
Grand Slam (1978 film)
Madanolsavam
Neelambari (1978 film)
Roads to the South
The Lost Boys (docudrama)
Flesh Color
Rhinegold (film)
The Fall of Ako Castle
Mysterious Castles of Clay
Kaathirunna Nimisham
Unsung Heroes
Beena (film)
Papaya, Love Goddess of the Cannibals
Those Wonderful Movie Cranks
Perceval le Gallois
Te Quiero (film)
They Went That-A-Way & That-A-Way
Do Musafir
Superman (1978 film)
Parmatma
Vatathukkul Chadhuram
Proceso a la infamia
Caravans (1978 film)
The Song of Roland (film)
Gray Lady Down
Naya Daur (1978 film)
Le Sucre
Deadly Strike
Killer of Sheep
A Different Story
Rime of the Ancient Mariner (film)
Warriors Two
The Billion Dollar Bubble
Up in Smoke
Karunai Ullam (1978 film)
Vayanadan Thamban
Shalini Ente Koottukari
Just like Home (1978 film)
Oru Nadigai Natakam Parkiral
The Oriental Nightfish
Tharoo Oru Janmam Koodi
... Gdziekolwiek jesteś panie prezydencie
Ligabue (film)
Watership Down (film)
Muqaddar Ka Sikandar
Jennifer (1978 film)
Capricorn One
A ménesgazda
Fearless (1978 film)
Adventures of a Plumber's Mate
Covert Action (film)
Naalumanippookkal
Nivedyam (1978 film)
Chuvanna Vithukal
Sgt. Pepper's Lonely Hearts Club Band (film)
Bhookh
Viaje al centro de la Tierra
Goodbye & Amen
Matilda (1978 film)
Kanyaka (film)
Shankar Salim Simon
Iraivan Kodutha Varam
Singaporenalli Raja Kulla
Violette Nozière
Nanna Prayaschittha
Brothers Till We Die
Stingray (film)
Phoenix (manga)
Susman (film)
Sakka Podu Podu Raja
Thanal
Gegè Bellavita
Gorantha Deepam
Premashilpi
Sextette
Devil Dog: The Hound of Hell
Amarsham
Paadasaram
Grease (film)
Special Delivery (1978 film)
