When Saturday Comes (film)
Scene of the Crime (1996 film)
Jane Eyre (1996 film)
Category:1996 animated films
Karpoorada Gombe
Busted (film)
Ninne Pelladata
Freeway (1996 film)
Putravati
Hahakaar
Banana Club
Frequent Flyer (film)
The Whole Wide World
A Moment of Innocence
Bastard out of Carolina (film)
Gakko II
Sardari Begum
The Sun Has Ears
Naked Souls
Genre (animated film)
Floating Life
Born to Kill (1996 film)
Bernie (1996 film)
Project Grizzly (film)
Breaking the Waves
Gradiva (novel)
Omega Doom
The Road Taken
Over Here (miniseries)
Thavarina Thottilu
Nightjohn (film)
Tornado!
Once Upon a Time in Triad Society
Musthaffaa
Twisted Desire
We Free Kings (film)
Who's the Woman, Who's the Man?
Quest (1996 film)
River Street (film)
Kraurya
The Boy Who Stopped Talking
Kumkumacheppu
London Suite (play)
Männerpension
Sun Valley (film)
Azúcar Amarga
Adultery Diary: One More Time While I'm Still Wet
Rajali
Army (1996 film)
Sahasa Veerudu Sagara Kanya
My Friend Joe
Rubber's Lover
Licántropo
Unforgettable (1996 film)
Barb Wire (film)
Dream for an Insomniac
Heaven's Prisoners
Santa Claws
Evita (1996 film)
Easwaramoorthy IN
Manthrika Kuthira
Sipayi (film)
Hitler (1996 film)
Rokudenashi Blues
The Substance of Fire
Parambarai
Beavis and Butt-Head Do America
Bulletproof (1996 film)
Sons (1996 film)
Two If by Sea
To Have & to Hold (film)
The Way to Fight
Brigands (film)
Irattai Roja
That's Cunning! Shijo Saidai no Sakusen?
Sukhavasam
Skin & Bone (film)
Amman Kovil Vaasalile
The Takeover (film)
The Grotesque (film)
Appaji
Lathi (1996 film)
Letters from Home (film)
Taxi (1996 film)
The Snow Queen's Revenge
Majhdhaar
Kizhakku Mugam
All Night Long 3
The Sterilization of Leilani Muir
Young and Dangerous 2
Down Periscope
One Tough Bastard
Escoriandoli
Get on the Bus
Sathyabhamakkoru Premalekhanam
Swarna Kireedam
Ed (film)
Feeders (film)
Devaraagam
One Fine Day (film)
Dunston Checks In
Doomsday Virus
Thieves (1996 film)
Stella's Favor
The Border (1996 film)
Kudumbakodathi
Good Luck (1996 film)
Baksho Rahashya (film)
Ente Sonia
Another Mother
Children of the Revolution (1996 film)
Arigatō (manga)
Love Birds (1996 film)
Death and the Compass (film)
Anni Ribelli
The Grave (film)
The Glimmer Man
The Pathfinder (1996 film)
Maavichiguru
Riders of the Purple Sage (1996 film)
Megha (1996 film)
Tristar (film)
An Essay on Matisse
Diabolique (1996 film)
Sallapam
Entertaining Angels: The Dorothy Day Story
Head Above Water
Think of Me (film)
First Option
Hu-Du-Men
La Promesse
Rajaputhran
Subash (film)
Female Perversions
Kaliyoonjal
Black Sheep (1996 film)
Larger than Life (film)
Romeo + Juliet
Dipu Number Two
The Rich Man's Wife
Comrades: Almost a Love Story
Ghatak: Lethal
Windsor Protocol
Trainspotting (film)
Broken English (1996 film)
August (1996 film)
La Dame aux poupées
Karuppu Roja
Hamsun (film)
Foreign Land (film)
The Substitute
Jack Frusciante Left the Band
Looking for Richard
Poomani (film)
The Pallbearer
Heroine of Hell
Street Angels (1996 film)
Crimetime (film)
Orientation: A Scientology Information Film
Pavitra Bandham
Nasser 56
The Fragile Promise of Choice: Abortion in the United States Today
Your Studio and You
Swallowtail (film)
Pédale douce
Three Lives and Only One Death
Apontes
Ramayanam (film)
Mars Attacks!
Kimera (manga)
The English Patient (film)
Selva (film)
Lost and Found (1996 film)
Fireman Sam In Action
She's the One (1996 film)
Police Story 4: First Strike
The Wild Bunch: An Album in Montage
Kanden Seethaiyai (1996 film)
Some Mother's Son
The Van (1996 film)
It's My Party (film)
Kireedamillatha Rajakkanmar
When We Were Kings
Naked Blood
Pallivaathukkal Thommichan
Deyyam
Somersault in a Coffin
The Last Home Run
Maria Mariana
The Best Job in the World
Penniless Hearts
I Shot Andy Warhol
Manav Hatya
Nemesis 4: Death Angel
Duo (film)
Fetishes (film)
Aur Ek Prem Kahani
Hellraiser IV: Bloodline
After Five in the Forest Primeval
Liebe Dein Symptom wie Dich selbst!
Love Is All There Is
Michael Jackson's Ghosts
Chronicle of a Disappearance
Butch Camp
Papi Gudia
Mandela (1996 film)
Jabilamma Pelli
Boyfriends (film)
I'm Not Rappaport (film)
Jingle All the Way
Jeevanadhi
Independence Day (1996 film)
Violated (film)
Sunchaser
Libertarias
The Adventures of Galgameth
Bill Bergson Lives Dangerously (1996 film)
Balthus Through the Looking Glass
Bound (1996 film)
Sautela Bhai
Stolen Memories: Secrets from the Rose Garden
Set It Off (film)
Fire on the Mountain (1996 film)
The Cyclone (film)
Between Pancho Villa and a Naked Woman
Body Without Soul
Jack (1996 film)
Autumn Sun
Rumble in the Bronx
Himmatvar
Camping Cosmos
No Way to Forget
Kissed
Bordello of Blood
Se le movió el piso: A portrait of Managua
Prisoner of the Mountains
Boys Be Ambitious
La Salla
Bhai Amar Bhai
Bio-Dome
Kadhal Kottai
Rainbow (1996 film)
Bad Moon
Killer Condom
Flynn (film)
Macadam Tribu
The Blue Collar Worker and the Hairdresser in a Whirl of Sex and Politics
Video Collection (1984–1992)
The Ogre (1996 film)
Devil's Island (1996 film)
Eu sunt Adam
Bal Bramhachari
Spree (film)
Vaanmathi
Idiot Box (film)
Escape from L.A.
The Delta (film)
The Nutty Professor (1996 film)
Jerusalem (1996 film)
The Teddy Bear
Sapoot
Diljale
Purushan Pondatti
Dr. Wai in "The Scripture with No Words"
North Star (1996 film)
The Secret Agent (film)
The Mirror Has Two Faces
Lewis and Clark and George
Dating the Enemy
Flight of the Ibis
Secrets & Lies (film)
Edie & Pen
Palegara
The Pillow Book (film)
The Seventh Brother
First Kid
Ullathai Allitha
How the Toys Saved Christmas
Rapado
Magenta (film)
Lodela
Alaska (1996 film)
The Cockroach that Ate Cincinnati
Ed's Next Move
The King of Masks
The Quiet Room
101 Dalmatians (1996 film)
Darkman III: Die Darkman Die
Beautiful Girls (film)
Nethaji
The Moonstone (1996 film)
Szamanka
Girl 6
Citizen Ruth
Little Witches
Mary Reilly (film)
A Perfect Candidate
Mr. Reliable
Veruthe Nuna Parayaruthu
2 Days in the Valley
Crash (1996 film)
Anthimanthaarai
The Dress (1996 film)
The Elevator (1996 film)
Salt Water Moose
The Birdcage
Shiloh (film)
Revive! Ultraman
Besos en la Frente
Celluloide
Solo (1996 film)
Original Gangstas
I'm Still Here: The Truth About Schizophrenia
Crazy Horse (film)
Tonight Nobody Goes Home
Dead Heart
Follow Me Home (film)
The Island of Dr. Moreau (1996 film)
Ghosts of Mississippi
Emperor Tomato Ketchup (film)
Demolition High
Lilies (film)
Priyam (1996 film)
On a Day of Ordinary Violence, My Friend Michel Seurat...
A Friend's Betrayal
Ponette
Wilderness (miniseries)
Within the Rock
Beqabu
Bloodguilt (film)
Azhakiya Ravanan
My Generation (1996 film)
Swann (film)
Jung (1996 film)
Bed of Roses (1996 film)
The Bondage Master
Lalanam
Ek Tha Raja
Once Upon a Time...When We Were Colored
Special Effects: Anything Can Happen
Sleepstalker
Aayiram Naavulla Ananthan
Carnosaur 3: Primal Species
Breathing Lessons: The Life and Work of Mark O'Brien
Harbour (film)
Return to Home Gori
Justice for Annie: A Moment of Truth Movie
The Adventures of Pinocchio (1996 film)
Viva Erotica
A Family Thing
Frostbiter: Wrath of the Wendigo
Polygraph (film)
Punk Lawyer
Avathara Purushan
Maahir
Indian Summer (1996 film)
Tiger Heart
Gokulathil Seethai
The Father (1996 film)
Clubhouse Detectives
Gopala Gopala (1996 film)
Metamorphosis of a Melody
Getting Away with Murder (film)
Henry: Portrait of a Serial Killer, Part II
Bakit May Kahapon Pa?
Red Ribbon Blues
La lupa (1996 film)
April 19 (film)
Ammuvinte Aangalamar
Children of Jerusalem: Gesho
Bottle Rocket
Don't Look Up
Mara Clara
A Time to Kill (1996 film)
The Delicate Art of the Rifle
The Craft (film)
Kingpin (1996 film)
Seven Servants
The Emperor's Shadow
Big Bully (film)
Kama Sutra: A Tale of Love
Rambantu
Kidz in the Wood
Black Mask (film)
The Beach Boys: Nashville Sounds
Lupin III: Dead or Alive
The Trigger Effect
Bandwagon (film)
Pie in the Sky (1996 film)
Gray's Anatomy (film)
Victory (1996 film)
Gallivant
The Phantom (1996 film)
Wallace & Gromit: The Best of Aardman Animation
Nirbhay (1996 film)
Weather Report Girl
Sourayoodham
Fear (1996 film)
High School High
La Bouche de Jean-Pierre
Doraemon: Nobita and the Galaxy Super-express
Merisairas
Somebody Up There Likes Me (1996 film)
Mumia Abu-Jamal: A Case For Reasonable Doubt?
Ghunghat (1996 film)
Senathipathi
Aisi Bhi Kya Jaldi Hai
The Conquest (1996 film)
Opening Day of Close-Up
The Right to Remain Silent
Mimics Super 1000
Bwana (film)
Hard Eight (film)
Night Hunter
English Babu Desi Mem
Les Grands Ducs
The Paper Brigade
To Gillian on Her 37th Birthday
A Saturday on Earth
Aramana Veedum Anjoorekkarum
Wasted!
Faithful (1996 film)
Panchalankurichi (film)
Vaska Easoff
Puddle Cruiser
Bophana: A Cambodian Tragedy
Blind Date (1996 film)
Anantha Rathriya
A Self Made Hero
Mojave Moon
Ebola Syndrome
Namak (film)
Cassiopeia (film)
Aatank
Naalamkettile Nalla Thampimar
Poor Man's Pudding
The Battle Over Citizen Kane
Madamma
The Leading Man
Dilliwala Rajakumaran
The Line King: The Al Hirschfeld Story
A Thin Line Between Love and Hate
Mistrial (1996 film)
Hollow Reed
Rajkumar (1996 film)
Zero Woman: Assassin Lovers
Jaya Ganga
Things I Never Told You
The Apartment (1996 film)
Tin Cup
All of Them Witches
Space Truckers
The Right to Know (film)
Thayagam
Duniyaa Jhukti Hai
Beyond Hypothermia (film)
A Moment of Romance III
How Wings Are Attached to the Backs of Angels
Loose Women (film)
Paradise Lost: The Child Murders at Robin Hood Hills
Karuvelam Pookkal
Cosmos (1996 film)
If Lucy Fell
Vamsanikokkadu
The God of Cookery
The Great White Hype
Tieta
Sling Blade
Sanshodhan
Diary of a Camper
Mission: Impossible (film)
Hard Core Logo
Apne Dam Par
Aprad
Puthiya Parasakthi
Category:1996 television films
America's Music: The Roots of Country
Jerry Maguire
Pinocchio's Revenge
Mossane
Drømmen om kaptein Sabeltanns rike
Hum Hain Khalnayak
The Ghost and the Darkness
Shall We Dance? (1996 film)
The Making of the Mahatma
K.L. 7/95 Ernakulam North
Kalloori Vaasal
The Elective Affinities
Moebius (1996 film)
Hello Daddy
Bad Hair Day: The Videos
Traveling Companion
Forbidden City Cop
Mother (1996 film)
Katta Panchayathu
La Haine
The Land Before Time IV: Journey Through the Mists
All of a Sudden (1996 film)
Indraprastham (film)
Tender Fictions
The Rolling Stones Rock and Roll Circus
Pretty Village, Pretty Flame
Layin' Low
The Crow: City of Angels
Buried Secrets (film)
The Incredibly True Adventure of Two Girls in Love
Istanbul Beneath My Wings
Khiladiyon Ka Khiladi
Never Ever (film)
Il cielo in una stanza (film)
Foxfire (1996 film)
Hostile Advances
Kansas City (film)
Wkw/tk/1996@7'55"hk.net
The Last Angel of History
Aakaashathekkoru Kilivaathil
For Ever Mozart
The Lord Protector: The Riddle of the Chosen
Shine (film)
Witchcraft VIII: Salem's Ghost
The Fan (1996 film)
Moll Flanders (1996 film)
Saint Clara (film)
Adajya
Sabse Bada Mawali
How to Meet the Lucky Stars
The Seventh Chronicle
King Soloman
Tiny Toy Stories
Tromeo and Juliet
Ben Johnson: Third Cowboy on the Right
Brij Kau Birju
SM Teacher: Tied Up by Students
The First Wives Club
The Secret Agent Club
Precious Find
Suzanne Farrell: Elusive Muse
Malayaalamaasam Chingam Onninu
Werewolf (1996 film)
Aatamin poika
The Dog in the Manger (film)
The Mysterious Enchanter
Silayugathile Sthreekal
Shoemaker (film)
Space Jam
Zazel
Final Justice (1997 film)
Aavathum Pennale Azhivathum Pennale
Shanghai Grand
Brassed Off
Private Confessions
Follow Your Heart (1996 film)
Johns (film)
Gamera 2: Attack of Legion
Invasion of Privacy (film)
Halo (1996 film)
Blue Eyed
Man with a Plan
Rossini's Ghost
Denise Calls Up
Sometimes They Come Back... Again
Beautiful Thing (film)
Fire (1996 film)
Lulu (1996 film)
Bad Day on the Block
Chinnabbayi
The Biggest Heroes
Few of Us
Before and After (film)
Daylight (film)
Close Up (film)
Fargo (film)
Adiós, abuelo
Everyone Says I Love You
Grace of My Heart
Ibbara Naduve Muddina Aata
The Last of the High Kings
Broken Arrow (1996 film)
Maachis
D3: The Mighty Ducks
Body Troopers
Hasina Aur Nagina
Satyr (film)
Pelli Sandadi
Eddie (film)
Lawnmower Man 2: Beyond Cyberspace
Jurmana (1996 film)
Dragon Ball: The Path to Power
Extreme Measures
Giovani e belli
Jake's Women
Minor Mappillai
Napoleon (1995 film)
The Wind in the Willows (1996 film)
White Squall (film)
Rangbaaz (1996 film)
Goodbye South, Goodbye
Pudhu Nilavu
Pesadilla para un rico
Small Time
Poverty and Other Delights
Krishna (1996 film)
Dharma Chakram
Kaathil Oru Kinnaram
Saint-Ex
Carpool (1996 film)
Last Exit to Earth
Phat Beach
Highway of Heartache
Captain Conan
Love Serenade
James and the Giant Peach (film)
Carried Away (1996 film)
Ang TV
Loch Ness (film)
Category:1996 direct-to-video films
Dance Lexie Dance
Namma Ooru Raasa
True Crime (1996 film)
Star Trek: First Contact
Twister (1996 film)
The Stupids (film)
The Stendhal Syndrome
Mr. Romeo
Abbuzze! Der Badesalz-Film
House Arrest (film)
American Buffalo (film)
Courage Under Fire
Organ (film)
White Lies (1996 film)
Rebirth of Mothra
Intlo Illalu Vantintlo Priyuralu
Jeet (1996 film)
Deadly Outbreak
Beyond Silence (1996 film)
What I Have Written
Mongkok Story
Tales of Erotica
My Man (1996 film)
Sex and Zen II
Haifa (film)
The Dentist
Soorya Puthrikal
Shri Krishnarjuna Vijayam
Hype!
In Cold Blood (miniseries)
Blood Brothers (1996 film)
Lone Star (1996 film)
Sci-Fighters
Thanks for Your Love
Tremors 2: Aftershocks
Head of the Family
Flirting with Disaster (film)
Gajanura Gandu
Hard Men
Madrasta
All Dogs Go to Heaven 2
Mrugam
Hi Cousin!
Rumble in the Streets
Police Story (1996 film)
Santa with Muscles
The Innocent Sleep
Satan Returns
Janumada Jodi
State of Things
Gnanapazham
The Associate
The Crucible (1996 film)
Leila (1996 film)
Back to Back (1996 film)
Is Raat Ki Subah Nahin
Djed i baka se rastaju
Bits and Pieces (1996 film)
The Preacher's Wife
Beastmaster III: The Eye of Braxus
Kolonel Bunker
Sins of Silence
Jimmy Zip
Dominic Presentation (film)
Fareb (1996 film)
Clubbed to Death (film)
Hollow Point
Max Hell Frog Warrior
Slaughter of the Cock
Kalyana Sougandhikam (1996 film)
Sarada Bullodu
Joe's Apartment
The War at Home (film)
Kids Return
Kaliveedu
Walking and Talking
Hercule et Sherlock
The People vs. Larry Flynt
Top Girl (film)
Daddy's Girl (film)
Growing Artichokes in Mimongo
The Sound of One Hand Clapping (film)
The Beast (1996 film)
If These Walls Could Talk
Navajo Blues
Merupu (1996 film)
Return of Jewel Thief
Angaara
Sleepers (film)
Gang in Blue
To Sir, with Love II
The Church of Saint Coltrane
Village of Dreams
Forever Friends (film)
Hustler White
Nattupura Pattu
House of the Damned (1996 film)
A Kiss So Deadly
Microcosmos (film)
Dragonheart
Poznań '56
The Quest (film)
Felix (1996 film)
Jude (film)
The Daytrippers
Heavy Weather (film)
Mrs. Winterbourne
Mukhyamantri (1996 film)
Maximum Risk
My Night with Reg (film)
Loafer (1996 film)
A Couch in New York
Aldri mer 13!
Avvai Shanmughi
The Man Who Captured Eichmann
Ajante
Annavra Makkalu
The Portrait of a Lady (film)
T2 3-D: Battle Across Time
Laavanya Lahari
Historias de amor, de locura y de muerte
Sotsgorod: Cities for Utopia
The Juror
Michael (1996 film)
Freebird... The Movie
The Lost Treasure
Jungledyret Hugo
A Chef in Love
From Dusk till Dawn
Udhyanapalakan
For Those Who Hunt the Wounded Down
Éxtasis
Maanbumigu Maanavan
Mahathma
Coimbatore Mappillai
Kanchanam
Excuse Me Ethu Collegila
The Watermelon Woman
Flipper (1996 film)
Akka Bagunnava
Love and Other Catastrophes
Red Line (1996 film)
Executive Decision
All God's Children (1996 film)
Cosmic Voyage
Masoom (1996 film)
Samson and Delilah (1996 film)
Hotel de Love
Harriet the Spy (film)
Kounterfeit
Regular Guys
Tieta of Agreste
The Truth About Cats & Dogs
Stealing Beauty
Moll Flanders
Little Soldiers
The Winner (1996 film)
Girls Town (1996 film)
Ooha (film)
Trojan Eddie
Clancy's Kitchen
Nénette et Boni
Ayn Rand: A Sense of Life
Kazaam
Under Western Eyes (film)
Small Faces (film)
Aadithya
No Greater Love (1996 film)
Caught (1996 film)
Mad Dog Time
Danger Zone (film)
Ober Da Bakod 2
Intimate Relations (1996 film)
Festival (1996 film)
Daughter 2
The Bandit (1996 film)
La Belle Verte
Shastra (film)
Swingers (1996 film)
Bomgay
The Spitfire Grill
Dear God (film)
Michael Collins (film)
Normal Life
Magic Temple
Space Marines (film)
Mulholland Falls
Night Eyes 4: Fatal Passion
Wings of Courage
Jaan (film)
Those Were the Days (1996 film)
A Summer Dress
Eraser (film)
Krishna (1996 Tamil film)
Prem Granth
Dil Tera Diwana (1996 film)
My Sex Life... or How I Got into an Argument
The Pompatus of Love
Forgotten Light
Marrakech (film)
Wedding Bell Blues (film)
The Last Days of Frankie the Fly
Amor de otoño
True Blue (1996 film)
Fudoh: The New Generation
Thooval Kottaram
Livers Ain't Cheap
Young and Dangerous
Mari's Prey
Crayon Shin-chan: Adventure in Henderland
Soul of the Game
Himmat (1996 film)
The Hunchback of Notre Dame (1996 film)
Lying Eyes
A Petal
Nandagopaalante Kusruthikal
Striptease (film)
Taken for a Ride
Portland (film)
Srikaram
A Cold, Cold Winter
Lilian's Story
Down Under the Big Top
Bowl of Oatmeal
Rakshak
Children of the Corn IV: The Gathering
Conversation with the Beast
Tata Birla
Fantozzi - Il ritorno
26 Summer Street
Rusalka (1996 film)
Smuggler (1996 film)
A Small Domain
Dying to Go Home
Marvin's Room (film)
Primal Fear (film)
Sacred Silence
Fever Lake
Blood and Wine
Earth (1996 film)
Kill the Love
Un Asunto Privado
American Strays
The Rock (film)
Poove Unakkaga
From Hare to Eternity
Forest Warrior
Predictions of Fire
A Girl Called Rosemary
Big Night
Mondo (film)
Zone 39
Flame (1996 film)
Cannes Man
Video Fool for Love
Prepoznavanje
Oui (film)
Joe's So Mean to Josephine
O Amor Natural
Offspring (1996 film)
Sweet Angel Mine
Coyote Summer
Le magique
Darkdrive
Kaalam Maari Pochu (1996 film)
The Cremaster Cycle
Le Fils de Gascogne
Schizopolis
Crocodile (1996 film)
Boys (1996 film)
Multiplicity (film)
The Draughtsmen Clash
Ilona Arrives with the Rain
Al Corazón
Os Olhos da Ásia
Close Your Eyes and Hold Me
Akkada Ammayi Ikkada Abbayi
Surviving Picasso
Fly Away Home
Aladdin and the King of Thieves
Perfumed Ball
Zarkorr! The Invader
Matilda (1996 film)
The Frighteners
Roam Sweet Home
Kazhakam
Men, Women: A User's Manual
Dastak (1996 film)
Trees Lounge
Temptress Moon
Deep Crimson
Tenchi the Movie: Tenchi Muyo in Love
Bangarada Mane
Haru (1996 film)
Atashi wa juice
Ee Puzhayum Kadannu
Luna e l'altra
Bombay Priyudu
Category:Lists of 1996 films by country or language
Jack Frost (1997 film)
Urban Safari
Merlin's Shop of Mystical Wonders
Day of the Warrior
Operation Happy New Year
Phenomenon (film)
A Summer in La Goulette
My Fellow Americans
The Cherokee Kid
Hidden in America
Holiday Affair (1996 film)
Papa Kehte Hai
Hommage à Noir
Broken Silence (1996 film)
Best of the Best 3: No Turning Back
Oblivion 2: Backlash
Meendum Savithri
Sundara Purushan (1996 film)
Five Days, Five Nights (1996 film)
Sengottai (film)
Aruva Velu
Midnight in Saint Petersburg
Eva Perón: The True Story
Mr. Bechara
Mahjong (1996 film)
Megalopolis Expressway Trial
Raja Hindustani
Thinner (film)
Women at a Secret Meeting: From Wives to Coeds
Project Shadowchaser IV
Kadhal Desam
Saajan Chale Sasural
Unhook the Stars
Vibrations (film)
Too Late (1996 film)
Young and Dangerous 3
Sunset Park (film)
Six O'Clock News (film)
Josh Kirby... Time Warrior!
Buenos Aires Vice Versa
Mystery Science Theater 3000: The Movie
True Love and Chaos
Ultraman Zearth
Basquiat (film)
Saamoohyapaadam
Mother Night (film)
Henequen (film)
The Last Supper (1995 film)
Désiré (film)
Stella Does Tricks
Let's Hope it Lasts
The Bruce (film)
Mr. Clean (film)
DoReMi
Daraar
The Funeral (1996 film)
The Disappearance of Kevin Johnson
Beaumarchais (film)
Fourbi
Race the Sun
Long Day's Journey into Night (1996 film)
A Story of Healing
The Sunshine Boys (1996 film)
Dead Sure
Teen Spirit: The Tribute to Kurt Cobain
Big Bullet
Different for Girls
Feel 100%
Man of the Match (film)
Color of a Brisk and Leaping Day
East Palace, West Palace
The Nymph
Sun on the Stubble
Prisoner of Zenda, Inc.
Mr. Wrong
Jim Loves Jack
Hanging Around (film)
Strangled Lives
Skyscraper (1996 film)
Spy Hard
Escape Clause (film)
XX: Beautiful Prey
The Triumph of Time (film)
Vishwasghaat
Slayers Return
Life (1996 film)
Ramudochadu
Harvey (1996 film)
Parallel Sons
Irma Vep
Alexander (1996 film)
Dangan Runner
Heidi Fleiss: Hollywood Madam
God's Comedy
In Love and War (1996 film)
Family Resemblances
Ghost Mamma
Box of Moonlight
Celtic Pride
Mookkilla Rajyathu Murimookkan Rajavu
The Hunters (1996 film)
Mahaprabhu (film)
The Rapeman
No Way Home
The Grass Harp (film)
Meghasangeetham
Sulthan Hyderali
How Angels Are Born
Muqaddar
Eko Eko Azarak (manga)
Pusher (1996 film)
Shiva Sainya
Great Post Road (film)
Iron Monkey 2
Dorf on the Diamond
Chor Machaye Shor (1996 film)
Daanveer
Semne în pustiu
Zordaar
Category:1996 horror films
Miss Nobody (1996 film)
Lumière and Company
Supermarket Woman
The Successor (film)
Tell the Truth and Run: George Seldes and the American Press
Agni Prem
Drifting Clouds (film)
Picnic (1996 film)
Target (1995 film)
Bambola
Exit in Red
Must Be the Music (film)
Hamlet (1996 film)
Ransom (1996 film)
Everything to Gain
The Prince (1996 film)
Kalki (1996 film)
Rats in the Ranks
Scream (1996 film)
Triumph of the Nerds
La Passione
Yash (film)
They Bite
Tere Mere Sapne (1996 film)
Dushman Duniya Ka
That Thing You Do!
Bloodsport II: The Next Kumite
Army Daze
Element of Doubt
Padanayakan
At Full Gallop
Smuggler (film)
The Eighth Day (1996 film)
Ishtamanu Nooru Vattam
Tu Chor Main Sipahi
Clando
Encore (1996 film)
Maa Aavida Collector
Mettukudi
Agni Sakshi (1996 film)
De Zeemeerman
A Summer's Tale
When the Cat's Away (1996 film)
Last Dance (1996 film)
Gakkō no Kaidan 2
Chain Reaction (film)
A Thin Life
Fine Powder
Poison Ivy II: Lily
The Other Side of Sunday
Terminal Voyage
Kaalapani
Losing Chase
Karmina (film)
I Love You, I Love You Not
Buckminster Fuller: Thinking Out Loud
The Celluloid Closet
Brilliant Lies
Mayoora Nritham
Father's Day (1996 film)
Cosi (film)
Laagland (film)
The Liars (film)
Oedipus Mayor
Kids in the Hall: Brain Candy
Vanarasena
Wild Animals
Fled
The Arrow
The Disappearance of Finbar
Vol-au-vent (film)
Stripped to Kill II: Live Girls
The Cable Guy
Snowboard Academy
The Arrival (film)
The Chamber (film)
Le Jaguar
Return of Techno-Destructo
The Empty Mirror
