And Hope to Die
Dil Ka Raja
The Mad Bomber (1972 film)
Napoleon and Samantha
Three on a Meathook
Anweshanam
Bartleby (1972 film)
A Dancer's Life
Grave of the Vampire
The Dagger (1972 film)
Una cavalla tutta nuda
Something to Hide
The Olsen Gang's Big Score
Two Sons of Trinity
Kulla Agent 000
Dastaan (1972 film)
A Thief in the Night (film)
Gentle Strangers
Shadows Unseen
The Flower Girl
Execution Squad
The Ragman's Daughter
Gaon Hamara Shaher Tumhara
Idhaya Veenai
Shriman Prithviraj
The Black Tavern
Lady Caroline Lamb (film)
The Assassination of Trotsky
And the Word Was Made Flesh
The Banana Splits in Hocus Pocus Park
Dr. Jekyll y el Hombre Lobo
Ananthasayanam
Lady Whirlwind
Thiruneelakandar
The Last House on the Left (1972 film)
Sambizanga (film)
Steptoe and Son (film)
Dirty Little Billy
Manthrakodi
The Red Queen Kills Seven Times
Daughters of Satan
The Pied Piper (1972 film)
Katy (series)
Your Vice Is a Locked Room and Only I Have the Key
Samadhi (1972 film)
Tora-san's Dear Old Home
Pulp (1972 film)
Affection (film)
Get to Know Your Rabbit
The Matchmaking of Anna
The Stationmaster (film)
Liza with a Z
The Cannibal Man
The Big Bird Cage
Balablok
I Want What I Want (film)
Hundertwasser's Rainy Day
Cancel My Reservation
Four Dimensions of Greta
Oru Sundariyude Katha
Northeast of Seoul
Crimes Are To Be Paid
Subah-O-Shaam
Cats' Play
Georgia, Georgia
The Salzburg Connection
The Night Stalker (film)
Execution in Autumn
The Boy Turns Man
Sukeban (film)
Bad Company (1972 film)
Kanimuthu Paappa
Mappusakshi
The Blood Spattered Bride
The Loners (1972 film)
Hammer (film)
The Day the Clown Cried
Computer Networks: The Heralds of Resource Sharing
Hide and Seek (1972 film)
Sergeant Swell of the Mounties
Ukradená bitva
Raman Thediya Seethai (1972 film)
Deliverance
Ciao! Manhattan
Taming of the Fire
Tanhai (film)
Devil in the Brain
Acı Zafer
The Infamous Column
Papam Pasivadu
Breaktime
The Admarid Girl
Crush (1972 film)
Kranti Veera
Man of the East
Hapkido (film)
La Neva Francia
My Dearest Senorita
The Fiend (film)
Double Cross (1972 film)
Bawarchi
Angry Guest
The Most Wonderful Evening of My Life
Piloto de pruebas
César and Rosalie
Running Scared (1972 film)
The Life and Times of Judge Roy Bean
Man from the Deep River
Private Collection (film)
Pocket Money
Fingers That Kill
The Proud and Damned
This Tiny World
The Devil Has Seven Faces
Frankenstein 80
Tomorrow (1972 film)
Blacula
The Canterbury Tales (film)
Reminiscences of a Journey to Lithuania
Piranha (1972 film)
Such a Gorgeous Kid Like Me
Kansas City Bomber
La Rose de Fer
Changing Love
Escape to the Sun
Eat the Document
The Great Waltz (1972 film)
The Ghostly Face
I Am Frigid... Why?
Elvis on Tour
Avoir 20 ans dans les Aurès
Winnie-the-Pooh and a Busy Day
Top of the Heap (film)
Meine Tochter – Deine Tochter
L'udienza
Carry On Matron
Solaris (1972 film)
Tabi no Omosa
Black Rodeo
Fist of Fury
Jheel Ke Us Paar
Chek Deth
Cries and Whispers
Janwar Aur Insaan
Boccaccio (1972 film)
Sa-Re-Ga-Ma-Pa
Kasethan Kadavulada
Victoria (1972 film)
The Triple Echo
Die Sister, Die!
The Human Goddess
Haar Jeet (1972 film)
Santa and the Ice Cream Bunny
Black Gunn
A White Dress for Marialé
The Killer (1972 film)
Kouami
All I Want Is You... and You... and You...
When the Legends Die
Avasara Kalyanam
Rentadick
Sattar Khan (film)
Gora Aur Kala
The Master Touch
Naked Girl Killed in the Park
Umrao Jaan Ada (film)
La Scoumoune
Me enamoré sin darme cuenta
Sakthi (1972 film)
Ek Bar Mooskura Do
Greaser's Palace
Bordellet
Big School-Break
The Groundstar Conspiracy
Dr. Popaul
Aankhon Aankhon Mein
Letter to Jane
State of Siege
Tower of Evil
Hearth Fires
Man of La Mancha (film)
Sipayi Ramu
A Girl Fighter
Sambhavami Yuge Yuge
Punarjanmam
Annadata (1972 film)
Tragic Ceremony
Olga, la hija de aquella princesa rusa
Sweet Sugar (film)
Kalam Marindi
Blood Feast (1972 film)
The Concert for Bangladesh (film)
All the Way, Boys
Boxcar Bertha
Death Line
The Visitors (1972 film)
Neither by Day nor by Night
Sub Ka Saathi
Parichay (film)
Tata Manavadu
Made (1972 film)
How Far Away, How Near
Embassy (film)
The Ribald Decameron
Nalla Neram
The Astronaut
Le Viager
Stand Up and Be Counted
Black Girl (1972 film)
Deep Throat (film)
You'll Like My Mother
A Computer Animated Hand
Velli Vizha
Delightful Forest
Man Called Amen
Winter Soldier (film)
Slap the Monster on Page One
The Stoolie
Amar Prem
Hot Dogs for Gauguin
Sitting Target
Ubalda, All Naked and Warm
The Saplings
The Goalkeeper's Fear of the Penalty
The Rats Are Coming! The Werewolves Are Here!
King, Queen, Knave (film)
La prima notte di quiete
Baron Blood (film)
Journey Through the Past (film)
As Ilf and Petrov rode a tram (film)
Lupič Legenda
La cabina
Brink of Disaster!
La Resistencia
Hickey & Boggs
Seven Blood-Stained Orchids
The Offence
Postmane Kananilla
Tonta, tonta, pero no tanto
Vamsha Vriksha
Raampur Ka Lakshman
The Effect of Gamma Rays on Man-in-the-Moon Marigolds (film)
Jiban Saikate
Godzilla vs. Gigan
Blind Boxer
The Mad Trapper (1972 film)
The Outside Man
The Big Fight (1972 film)
Veronica (1972 film)
Up the Sandbox
Anteojito y Antifaz, mil intentos y un invento
Cheating Panorama
The Eroticist
Cocksucker Blues
Calcutta 71
Ardeshir Mohasses & His Caricatures
Metzitzim
This Is Stompin' Tom
The Discreet Charm of the Bourgeoisie
Raaste Kaa Patthar
Doppia coppia con Regina
Heroine (1972 film)
The Black Enforcer
Come Back, Charleston Blue
Kandavarundo
Amuck!
Tout Va Bien
Tarzan and the Brown Prince
The Heath Is Green (1972 film)
History Lessons
God Is My Colt .45
Chipollino (film)
L'uccello migratore
Child's Play (1972 film)
Casa d'appuntamento
The Wonderful World of Puss 'n Boots
Valerie Inside Outside
Between Time and Timbuktu
Sree Guruvayoorappan (1972 film)
Jeet (1972 film)
Ra (1972 film)
Nirthasala
The Alf Garnett Saga
Limbo (1972 film)
Play It as It Lays (film)
La mala ordina
The Office Picnic
Demons of the Mind
Raja Jani
The Monk (1972 film)
The Silent Revolution
Zaroorat
Doomsday Machine (film)
Koshish
Naadan Premam (film)
The Wrath of God
Pearl in the Crown
Sonny and Jed
The True Nature of Bernadette
King Boxer
The Final Comedown
Images (film)
Women in Revolt
Black List (1972 film)
Lusty Sisters
The Rowdyman
Mehmil
Babul Ki Galiyaan
Ekta Jeev Sadashiv
Straight On till Morning (film)
Asylum (1972 horror film)
Thottilla
Tie malé výlety
Ichijo's Wet Lust
Hector the Mighty
The Dark Alley
Topoli (film)
Life Is Tough, Eh Providence?
Raja (1972 film)
Portnoy's Complaint (film)
Soul Soldier
Ek Bechara
Conquest of the Planet of the Apes
Hammersmith Is Out
Eagle in a Cage
Junior Bonner
Tangewala
Play It Again, Sam (film)
Samaanta
Unholy Rollers
Bianco, rosso e...
A Reason to Live, a Reason to Die
Lukket avdeling
Tup Tup
Mayiladumkunnu
Milap
Dr. Phibes Rises Again
Eolomea
The Brutal Boxer
Haunts of the Very Rich
Ripped Off
Without Family
Plot (film)
After School (1972 film)
The Black Decameron
Lion's Heart
Selling Out (film)
Vampire Circus
Il generale dorme in piedi
Snoopy, Come Home
Woman on the Night Train
Morgiana (film)
Hot Snow (film)
Category:1972 television films
Dharkan
Innocent Bystanders (film)
The Harder They Come
The War Between Men and Women
El Picnic de los Campanelli
What? (film)
João and the Knife
Henry VIII and His Six Wives
Olsenbanden tar gull
Maaya (film)
Love in the Afternoon (1972 film)
Sultana Daku
Brother Sun, Sister Moon
Maalik (1972 film)
Ruslan and Ludmila (film)
Night of Fear (film)
The Flesh and Blood Show
When Women Lost Their Tails
Joroo Ka Ghulam
Wandering Ginza Butterfly
Prathikaram
The Candidate (1972 film)
Glastonbury Fayre
Horror Rises from the Tomb
The Poseidon Adventure (1972 film)
The Morals of Ruth Halbfass
Snow Job (film)
Fasthand
So Sweet, So Dead
Hrudaya Sangama
Bhai Ho To Aisa
Sleuth (1972 film)
Piya Ka Ghar
Shehzada
Bala Mitrula Katha
Lo chiameremo Andrea
The Bloody Fists
Felix și Otilia
Liza (1972 film)
Thumb Tripping
Zameen Aasmaan (1972 film)
Welcome Home, Johnny Bristol
Norman Rockwell's World... An American Dream
Prvi splitski odred
Estoy hecho un demonio
Dheivam
Gang War in Naples
Mirage (1972 film)
The Fugitive (1972 film)
Anokhi Pehchan
Kalippava
Bangaarada Manushya
Daigoro vs. Goliath
Soft Shoulders, Sharp Curves
Janma Rahasya
1931: Once Upon a Time in New York
Painters Painting
The Escape (1972 film)
The Twelve Months (1972 film)
The Twilight People
Ludwig (film)
They Only Kill Their Masters
Hardcase (1972 film)
The Pebbles of Etratat
The Amazing Mr. Blunden
The Killer Is on the Phone
To Love a Maori
Garam Masala (1972 film)
Parchhaiyan (film)
Four Riders
Siddhartha (1972 film)
Nu går den på Dagmar
The Asphyx
Annamitta Kai
And God Smiled at Me
Lakshyam (1972 film)
The Wold Shadow
Slaughterhouse-Five (film)
On Any Sunday
Rainbow Bridge (film)
Pete 'n' Tillie
The Heartbreak Kid (1972 film)
A House Without Boundaries
Figaro-ci, Figaro-là
Slaughter (1972 film)
Superbeast (film)
Saazish (1975 film)
Weekend of a Champion
Shri Krishnanjaneya Yuddham
Sazaa (1972 film)
Man Jaiye
Kanna Nalama
The Revengers (film)
An American Hippie in Israel
Azhimukham
The Expropriation
Glass Houses (film)
Cyrano de Bergerac (1972 film)
Chronicle of a Homicide
Street Mobster
Love Hunter
Pandanti Kapuram
Dealing: Or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues (film)
Oh, to Be on the Bandwagon!
Blood Freak
Horror Express
Family Flight
Hit Man (film)
Pilate and Others
Female Convict Scorpion: Jailhouse 41
The Bar at the Crossing
What Have You Done to Solange?
Long Live the Island Frogs
Boxer from Shantung
Behind the Green Door
Bloody Duel: Life and Death
Preethi
Tears of Blood
The Inner Eye
Apna Desh
Pulliman (1972 film)
Blue Money (film)
Vidhyarthikale Ithile Ithile
Furious Slaughter
Super Fly (film)
La Colimba no es la guerra
Naked Seven
With Children at the Seaside
Trois milliards sans ascenseur
The Two Faces of Fear
The Cowboys
The Night of the Devils
The Long Darkness
Intimate Confessions of a Chinese Courtesan
Butterflies Are Free
The Case of the Bloody Iris
Jeevana Jokali
Last Tango in Paris
Pope Joan (1972 film)
La morte accarezza a mezzanotte
St. Michael Had a Rooster
Finger of Doom
Trouble Man (film)
Maravil Thirivu Sookshikkuka
The Cruel Sea (1972 film)
Fatma Bacı
Manushyabandhangal
Snowball Express
Shaft's Big Score
The Goat Horn
Omana
When Women Were Called Virgins
The Other Side of the Underneath
The King of Marvin Gardens
Girl Boss Guerilla
Bombay to Goa
Lalkaar
Voyage with Jacob
Black Fantasy
Shaadi Ke Baad
Then I Sentenced Them All to Death
Nosotros los feos
Upaharam (1972 film)
Mehdi in Black and Hot Mini Pants
Peil Dael Truv Yum
Anuraag (1973 film)
Evil Come, Evil Go
Baharon Phool Barsao
Walter Defends Sarajevo
Swayamvaram
Malcolm X (1972 film)
Nidhanaya
The Burglar (1972 film)
Chaochow Guy
One Is a Lonely Number
Money Talks (1972 film)
Repeated Absences
Jai Jwala
Another Nice Mess
The Seduction of Mimi
Argentinísima
Do Gaz Zameen Ke Neeche
Maru Piravi
Category:1972 martial arts films
Jeremiah Johnson (film)
Buck and the Preacher
The Honkers
Blood Compact (film)
Tintin and the Lake of Sharks
Across 110th Street
Fritz the Cat (film)
Our Lady of the Sphere
Nari Munidare Mari
Melinda (film)
Bronze Head And Steel Arm
Au Pair Girls
Summer and Smoke
Ecstasy of the Angels
Lucifer Rising (film)
Action Tae Kwon Do
Mareyada Deepavali
Mere Bhaiya
Future Shock (film)
Rivaaj
Dirty Money (film)
Pursuit (1972 film)
Sange Muzhangu
Vallejos
The Seventh Bullet
Living Free
Bless This House (film)
The Getaway (1972 film)
La criada bien criada
Ferocious Brothers
Skyjacked (film)
Pink Flamingos
The Count of Luxemburg (1972 film)
Lady Sings the Blues (film)
Avanti!
Gomti Ke Kinare
Disputas en la cama
Dracula A.D. 1972
Smile Before Death
Il sindacalista
Nya hyss av Emil i Lönneberga
Marco Polo Junior Versus the Red Dragon
Fiorina la vacca
Chembarathi
L.A. Plays Itself
OffOn
Panhandle 38
Gli ordini sono ordini
The Thing with Two Heads
The Devil's Mirror
Dil Daulat Duniya
Sunshine Daydream
Rage (1972 film)
Theodor Hierneis oder Wie man ehem. Hofkoch wird
Endless Night (1972 film)
Do Bachche Dus Haath
The Devil (1972 film)
Il coltello di ghiaccio
Black Belly of the Tarantula
Mi hijo Ceferino Namuncurá
Çöl Kartalı
The Legend of Nigger Charley
To Find a Man
Past and Present (1972 film)
Everything You Always Wanted to Know About Sex* (*But Were Afraid to Ask) (film)
Now You See Him, Now You Don't
A Reflection of Fear
The Last Lion
We Won't Grow Old Together
Las Píldoras
Rani Mera Naam
Black Turin
Tender Are the Feet
Puthisean Neang Kong rey (film)
Sunstruck
Pattikada Pattanama
A Day in the Death of Joe Egg (film)
Baharo Phool Barsao
Aankh Micholi
The Man Who Quit Smoking
Cry for Me, Billy
Under Milk Wood (1972 film)
Khalli Balak Min ZouZou
The Weapon, the Hour & the Motive
Cool Breeze (film)
Ora Egaro Jon
Long Arm of the Godfather
1776 (film)
The Red Headed Corpse
Dav Bakdong Meas
Yeh Gulistan Hamara
The Biscuit Eater (1972 film)
Jus primae noctis (film)
Traces of a Black Haired Girl
The Water Margin (film)
Young Winston
Kadhalikka Vanga
Kurathi Magan
I due gattoni a nove code... e mezza ad Amsterdam
Shor (film)
The New Centurions
Night of the Lepus
The Possession of Joel Delaney
The Rebel Jesus
Desa Nisa
Hari Darshan
Prime Cut
Adventures of a Brown Man in Search of Civilization
Invasion of the Blood Farmers
Stigma (film)
Carry On Abroad
Propala Hramota
The Last Target
Night of the Cobra Woman
Nanda Gokula
Z.P.G.
Cry of the Wild
Sabse Bada Sukh
Bansi Birju
Heat (1972 film)
Ek Hasina Do Diwane
F.T.A.
Be-Imaan
Alvin Purple
The Castle of Purity
Sting of the West
Four More Years
L'ospite
Antony and Cleopatra (1972 film)
Jaga Mecchida Maga
Lone Wolf and Cub: Sword of Vengeance
Chow Ken
Poslijepodne jednog fazana
100 Fäuste und ein Vaterunser
Zee and Co.
The Death Duel
Dushman (1972 film)
Mutiny on the Buses
Bone (1972 film)
Tora-san's Dream-Come-True
The Fury of the Wolfman
El Profesor Tirabombas
Who Saw Her Die?
Welcome Home, Soldier Boys
Street Musique
La Vallée (film)
Jangal Mein Mangal
Pushpanjali (film)
Aera! Aera! Aera!
Battles with the Red Boy
Roop Tera Mastana
The Sicilian Connection
Aan Baan (1972 film)
Mome Ki Gudiya
Hanzo the Razor
Winged Devils
Sette scialli di seta gialla
Tecumseh (film)
Journey (1972 film)
Badi Panthulu
Dougal and the Blue Cat
Fillmore (film)
The Other
Way of the Dragon
Red Psalm
Category:Lists of 1972 films by country or language
Miss Mary (1972 film)
Necromancy (film)
The Moonstone
The Ruling Class (film)
The Young Teacher
Blood of the Leopard
Bala Bharatam
Five Summer Stories
Suburban Wives
Sri Krishna Satya
I Am a Dancer
Pinocchio (1972 film)
The Big Bust Out
Left Hand of Gemini
Iddaru Ammayilu
The Mattei Affair
The Deathless Devil
Category:1972 animated films
Anne of Green Gables (miniseries)
La calandria (1972 film)
Alfredo, Alfredo
Gandharavakshetram
Teav Aek
The Return of Clint the Stranger
Aromalunni
Young People (1972 film)
The Great Northfield Minnesota Raid
Follow Me! (1972 film)
The Bitter Tears of Petra von Kant
Run, Cougar, Run
Pyaar Diwana
The Sicilian Checkmate
Aguirre, the Wrath of God
The Boy Who Turned Yellow
Nawab Naarkali
The Living Truth
Thavapudhalavan
Needhi
Lone Wolf and Cub: Baby Cart to Hades
Together for Days
Zindagi Zindagi
Nathalie Granger
The Darwin Adventure
Il caso Pisciotta
Stadium Nuts
Ek Khiladi Bawan Pattey
Cu mâinile curate
Iniyoru Janmam Tharu
Far from the Trees
Ek Nazar
The Assassin of Rome
Achanum Bappayum
Apradh
National Mechanics
Aşk Fırtınası
Tales from the Crypt (film)
Beati i ricchi
Man of Iron (1972 film)
Mere Jeevan Saathi (1972 film)
Salah Asuhan (film)
Danny Jones (film)
Symmoria eraston
Mi amigo Luis
Aadhyathe Katha
Something Evil
Anokha Daan
Caliber 9
The Hot Box
A Separate Peace (film)
Dear Louise
Sathi (1972 film)
What Became of Jack and Jill?
Angels' Wild Women
Fat City (film)
Tatlı Dillim
Wedding in White
Temptation in the Summer Wind
Rivals (1972 film)
Silent Running
Los Hijos de Fierro
Lone Wolf and Cub: Baby Cart at the River Styx
Faustine et le Bel Été
Puthra Kamekhi
Garden of the Dead
Lenin, You Rascal, You
The Daredevil Men
The Carey Treatment
Lucifera Demon Lover
Legends of Lust
Bluebeard (1972 film)
The Gore Gore Girls
Kage Gari
The Man (1972 film)
The Genesis Children
Who Killed the Prosecutor and Why?
Molly and Lawless John
Private Parts (1972 film)
Arcana (film)
Where Does It Hurt?
Kompull Boros Mok 2
Naan Yen Pirandhen
Rakhi Aur Hathkadi
Chaplinesque, My Life and Hard Times
Devi (1972 film)
Ooh… You Are Awful
Alice's Adventures in Wonderland (1972 film)
What's Up, Doc? (1972 film)
Cisco Pike
Seeta Aur Geeta
Pinjra (film)
Sex and Blood in the Trail of the Treasure
Naa Mechida Huduga
K-Z
Under the Flag of the Rising Sun
Professor (1972 film)
Yaar Mera
The Surveyors
The Mechanic (1972 film)
The Merchant of Four Seasons
Bhale Huchcha
Fear in the Night (1972 film)
The Summertime Killer
When the Gods Fall Asleep
Ben and Charlie
Flower In The Rain
The Mighty Anselmo and His Squire
The Countess of Corfu
The Culpepper Cattle Co.
The Deer Hunt
Her Third
The Old Maid (1972 film)
Brother of the Wind
The Tide of Traffic
The Champion of Champions
The Dead Are Alive
Puthrakameshti
Corky (film)
Cabaret (1972 film)
Crocodile Man
The Call of the Wild (1972 film)
Fata Morgana (1971 film)
Black Rage (film)
Fear Is the Key (film)
J. W. Coop
