Human Highway
Kamikaze 1989
Violence in a Women's Prison
Nanna Devaru
The Night of the Shooting Stars
Passion (1982 film)
Garuda Saukiyama
The Thing (1982 film)
Ormakkayi
Frances (film)
The Pokrovsky Gate
Variola Vera
Tangiers (1982 film)
Split Image (film)
G'olé!
Oro, Plata, Mata
Kelkkaatha Sabdham
Santa Claus Is a Stinker
Pagliacci (1982 film)
Timerider: The Adventure of Lyle Swann
Begin the Beguine (film)
Brothers from the Walled City
Gandhi (film)
It's Your Move (1982 film)
Sakalakala Vallavan
Vítr v kapse
Woman of Fire '82
Hammett (film)
Flight of the Eagle
Norman Loves Rose
Miss All-American Beauty
The Shaolin Drunken Monk
The Weavers: Wasn't That a Time!
The Tragedy of Romeo and Juliet (film)
Apprehension (film)
Kadawunu Poronduwa (1982 film)
A Thousand Billion Dollars
O periergos
Aalolam
Boardinghouse (film)
Viuuulentemente mia
Endangered Species (1982 film)
Allemaal tuig!
Forty Deuce
Luz del Fuego (film)
Aranjaanam
An Unsuitable Job for a Woman (film)
Techno Police 21C
Perempuan Bergairah
Veedu (1982 film)
Time Stands Still (film)
Angel (1982 Greek film)
Mountain Strawberries
Amrutha Geetham
Stopped Train
Oarmakkay
Jimmy the Kid
The Border (1982 film)
Prima Rock
Thyagi
Garuda Rekhe
The Brave Archer and His Mate
Deadly Game (1982 film)
De Boezemvriend (film)
The Slayer (film)
Dard Ka Rishta
Pray TV (1982 film)
Beyond the Door (1982 film)
Dead End Street
Wild Flowers (1982 film)
La bête lumineuse
The Ballroom of Romance
Kayam (1982 film)
Manal Kayiru
Aces Go Places
Sarah (film)
Manhattan Baby
Penitentiary II
Treasure Island (1982 film)
Puthukavithai
Charodei
Thanikattu Raja
Tron
Five Days One Summer
Aamne Samne (1982 film)
Oru Vilippadakale
Arohan (film)
Adventures of Robinson Crusoe, a Sailor from York
Personal Best (film)
Football (film)
Poetry in Motion (film)
Dark Circle (film)
La magia de Los Parchís
Kanne Radha
Murder in the Central Committee
La Gran aventura de Los Parchís
Hamari Bahu Alka
Forced Vengeance
Kachche Heere
Satan's Mistress
Bara (film)
Koritharicha Naal
L'amour des femmes
Main Intequam Loonga
Heeron Ka Chor
Bayou Romance
Do Dishayen
Ayer me echaron del pueblo
The Pirate Movie
Golos (film)
Le choc
Citizen: I'm Not Losing My Mind, I'm Giving It Away
Diner (film)
Onimasa
Mehndi Rang Layegi
Heidi's Song
Half a Life (film)
The Plains of Heaven
Theerpu
Heads I Win, Tails You Lose
The Chorus (1982 film)
No Thanks, Coffee Makes Me Nervous
O Kadın
Madrasile Mon
Dear Mr. Wonderful
Yeh To Kamaal Ho Gaya
Island Trader
Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean (film)
Brimstone and Treacle
The Dark Room (1982 film)
Health (film)
Gopichand Jasoos
Gods of Metal (film)
Devdas (1982 film)
Butterfly (1982 film)
Sophie's Choice (film)
The Return of Martin Guerre
Mylanji (film)
Still of the Night (film)
Die Weiße Rose (film)
A Woman Called Golda
Pink Floyd – The Wall
Bomber (1982 film)
Sogni mostruosamente proibiti
Tony (1982 film)
Monty Python Live at the Hollywood Bowl
Death Wish II
Le Cadeau
Gaanam
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales
Latitude 55°
Ilanjodigal
Saravarsham
Ilakkangal
Kaalam (film)
Besa e kuqe
Ithum Oru Jeevitham
Blood Link
Last Days of the Victim
Once Upon a Dog
Une chambre en ville
That Championship Season (1982 film)
Toña, nacida virgen (Del oficio)
Naa Desam
Category:1982 horror films
Biththi Hathara
The Killing of America
Ladies and Gentlemen, The Fabulous Stains
Chilanthivala
Tingu Rangadu
Magane Magane
Thooku Medai
Desh Premee
Oliver Twist (1982 TV film)
The Issa Valley (film)
The Haunted House (1982 film)
Incomplete Eclipse
Anokha Bandhan
Mathruka Kudumbam
Karmika Kallanalla
Unhinged (film)
Saath Saath (film)
Crosstalk (film)
Enthino Pookunna Pookal
Room Service (1982 film)
La Operación
Halloween III: Season of the Witch
Running on Empty (1982 film)
Ente Mohangal Poovaninju
Enikkum Oru Divasam
Parasite (film)
Když rozvod, tak rozvod
Ninja in the Dragon's Den
Boat People (film)
Demi-Gods and Semi-Devils (1982 film)
The Simple-Minded Murderer
First Blood
Ben's Mill
Sree Ayyappanum Vavarum
The Loveless
Friday the 13th Part III
Nadodi Raja
Theerpugal Thiruththapadalam
Swami Dada
Ethiraalikal
Savannah Smiles
Divorce Wars: A Love Story
Ranga (film)
Nagamadathu Thampuratti
Poltergeist (1982 film)
Zločin u školi
Beyond Reasonable Doubt (film)
The Beastmaster
They Call Me Bruce?
Enigma (1982 film)
Night Warning
Red Bells
Mazhu
Losing Ground (1982 film)
Against All Hope
I'm Dancing as Fast as I Can
The Miracle Fighters
On the Run (1982 film)
Once Upon a Mirage
The Last Horror Film
The Royal Romance of Charles and Diana
Aadharshila
Les Sous-doués en vacances
Magic Journeys
Baadada Hoo
To Live or Let Die
Vatican Conspiracy
Dotonbori River
Death Valley (1982 film)
Antha Rathirikku Satchi Illai
Moondram Pirai
The Girl from Trieste
Troyee
Romance with Amelie
I Enjoy the World with You
Tattoo Ari
Antonieta
Nizhal Thedum Nenjangal
Bad Blood (1982 film)
The World According to Garp (film)
She Grazed Horses on Concrete
Heatwave (film)
Mon Curé Chez les Nudistes
A Shocking Accident
The Deer's Bell
Shocktrauma
Prem Rog
The Clairvoyant (1982 film)
Koncert (1982 Polish film)
Maanasa Sarovara
Homework (1982 film)
Ithu Njangalude Katha
Imperative (film)
The Pool Hustlers
Superstition (1982 film)
1990: The Bronx Warriors
Fall Guy
Star (1982 film)
Plaché příběhy
Stuck on You!
Sheshakriya
Scusa se è poco
Preeyasakhi Radha
Hécate
Chorni
Ashes and Embers
Symbiosis (film)
Vidhaata
Amrita Kumbher Sandhane
Fitzcarraldo
Out (1982 film)
Pink Motel
Banana Joe (film)
Breakfast in Paris
Eine deutsche Revolution
Smithereens (film)
Vai avanti tu che mi vien da ridere
Arcadia of My Youth
Doctor Faustus (1982 film)
Koyaanisqatsi
Ehrengard
Tenebrae (film)
Sitadevi
Cannery Row (film)
One Down, Two To Go
Idiyum Minnalum
Brij Bhoomi (film)
Blade Runner
Nikaah
Cavalleria rusticana (1982 film)
Samraat (film)
The Phantom Treehouse
Devata (1982 film)
Anthiveyilile Ponnu
Honkytonk Man
Deathtrap (film)
Shila (film)
Walter (1982 film)
Author! Author! (film)
Sweet Inquest on Violence
The State of Things (film)
Shaukeen
Le gendarme et les gendarmettes
Deveni Gamana
Sorceress (1982 film)
Don't Go to Sleep
Highpoint (film)
Vaa Kanna Vaa
Badle Ki Aag
Asari-chan
Love Strange Love
Hell Has No Boundary
The Seduction (film)
How the World Is Losing Poets
Dogs of Hell
Devil Returns
Panchajanyam (1982 film)
National Lampoon's Class Reunion
We of the Never Never (film)
Ambitious Kung Fu Girl
Silent Rage
Darling, Darling, Darling
Mitahat La'af
Next of Kin (1982 film)
Auto Raja (1982 film)
Karwat
Paradise (1982 film)
Chaappa
Dulha Bikta Hai
Dheera
Kin Kiesse
Night Crossing
Dream Flight
Pra Frente, Brasil
Komaram (film)
Thunai
Yagam (1982 film)
Nightbeast
Kanalukku Karaiyethu
Vasandhathil or Naal
The Queen of Spades (1982 film)
Don't Play with Tigers
Porca vacca
Situm (film)
Sangili (film)
That Night in Varennes
Star Trek II: The Wrath of Khan
Doraemon: Nobita and the Haunts of Evil
A Piano for Mrs. Cimino
Oorukku Oru Pillai
Paritchaikku Neramaachu
Veer Tejaji
Aasha (1982 film)
Aa Divasam
Tempest (1982 film)
Land of Look Behind
Velicham Vitharunna Penkutty
The House of Bernarda Alba (1982 film)
Gossip (unfinished film)
Post Mortem (1982 film)
Kazhumaram
Sindoora Sandhyakku Mounam
Njan Ekananu
Qu'est-ce qu'on attend pour être heureux!
The Dark Crystal
Dünyayı Kurtaran Adam
Namkeen
Mukhangal
Kaamchor
Kalyana Kalam
Thadakom
Sciopèn
Namak Halaal
Cat vs Rat
On Top of the Whale
Minuet (film)
Little Mad Guy
Boy Meets Girl (1982 film)
Better Late Than Never (film)
Satan's Baby Doll
Impressions de France
Ninaivellam Nithya
Kiss Me Goodbye (film)
Dharam Kanta
Rokk í Reykjavík
Wrong Is Right
The Hatter's Ghost
Modesty Blaise (1982 film)
The Sender
Konopielka
Forbidden Zone
Raksha (1982 film)
To Trap a Kidnapper
Carl Gustav, gjengen og parkeringsbandittene
Oru Sisu Jananam
Return of the Ewok
Scorpion with Two Tails
Via degli specchi
The Assistant (1982 film)
Hisab Nikas
John Jaffer Janardhanan
Brothers (1982 film)
Mullina Gulabi
Metti (film)
Lakshmi (1982 film)
Novemberinte Nashtam
Ustadi Ustad Se
The Incubus (film)
Sandstorm (1982 film)
Croaked: Frog Monster from Hell
Station for Two
Khud-Daar
Irattimadhuram
Anuraagakkodathi
Teeny Little Super Guy
Basket Case (film)
Grand Hotel Excelsior
Early Frost
The Escape Artist
Golconda Abbulu
The Song of the Old Days
Victor Victoria
Hard Feelings
Historia de una mujer escandalosa
Safari 3000
The Beach Girls
Blow to the Heart
Curse of the Cannibal Confederates
Ana (film)
Alone in the Dark (1982 film)
Pagadai Panirendu
Yol
Ghost Rider (1982 film)
The Trout (film)
Haathkadi (1982 film)
Dhrohi
O'Hara's Wife
The Sword of the Barbarians
A Ilha dos Amores
Strike of Thunderkick Tiger
Farewell to the Land
Hasyaratna Ramakrishna
The Vulture (1982 film)
Alice (1982 film)
The Klan: A Legacy of Hate in America
Le Lit
La Morte Vivante
Adhisayappiravigal
A Tight Spot
The Worthless (film)
Sahasa Simha
Servantes iz Malog Mista
The Grinch Grinches the Cat in the Hat
Five and the Skin
Android (film)
Malice in Wonderland (1982 film)
Le Beau Mariage
Cat People (1982 film)
Who Shall Live and Who Shall Die
Turkey Shoot (1982 film)
Ascendancy (film)
Time Walker
Aboout an Old Man, an Old Woman and Thiere Hen Ryaba
P'tang, Yang, Kipperbang
Aayudham (1982 film)
Chiriyo Chiri
Hey Good Lookin' (film)
Snow: The Movie
Niram Marunna Nimishangal
Aparoopa
À toute allure
Enthino Pookunna Pookkal
Coolie Killer
Island of Blood (1982 film)
Dead Men Don't Wear Plaid
Purple Haze (film)
Charda Suraj
The Wind (1982 film)
Bemisal
The Outcasts (1982 film)
Ezhavathu Manithan
Alaloum
The King of Comedy (1983 film)
Yeh Nazdeekiyan
Vincent (1982 film)
Chatak Chandni
Fast Times at Ridgemont High
Moonlighting (film)
Espion, lève-toi
The Postman Strikes Back
Boro Bhalo Lok Chhilo
Nenjangal
Burst City
Rani Theni
Padayottam
Love and Money (film)
The House Where Evil Dwells
Miles of Smiles, Years of Struggle
Khadeema Kallaru
Shaari Alla Shaarada
Manchu Pallaki
Heart and Guts
The Toy (1982 film)
Los Líos de Estefanía
Vidhichathum Kothichathum
Megaforce
Insaan (1982 film)
Luger (film)
Café Flesh
I camionisti
The Comeback Trail
Kurukkante Kalyanam
Bonnie and Clyde Italian Style
Soup for One (film)
Michael Jackson's Thriller (music video)
Labyrinth of Passion
Archanai Pookal
Six Weeks
Ivan Oru Simham
The Donkey's Hide
Raaste Pyar Ke
Echchil Iravugal
Liar's Moon
Bazaar (1982 film)
Ezham Rathri
Tac-tac
Suspicion (1982 film)
Not a Love Story: A Film About Pornography
Category:1982 animated films
Amityville II: The Possession
Mighty Mouse in the Great Space Chase
Intlo Ramayya Veedhilo Krishnayya
Vijeta
Fire and Sword
Blood Tide
Shoot the Moon
Serangan Fajar
Evil Under the Sun (1982 film)
Cecilia (1982 film)
Moondru Mugam
Images of Liberation
La Balance
Farz Aur Kanoon
Snehapoorvam Meera
Querelle
Gaano Kadalas ang Minsan (TV series)
Talli Kodukula Anubandham
Sweet Hours (Dulces horas)
Agni Sakshi (1982 film)
Les Maîtres du temps
Another Way (film)
Hamsin (film)
Kakka (film)
Ivanhoe (film)
Future War 198X
Hero (1982 film)
The Secret of NIMH
Creepshow
Tex (film)
Category:1982 television films
Happy Sixteen
The Wizard of Oz (1982 film)
Eradu Nakshatragalu
Hours for Jerome
Vice Squad (1982 film)
Hunters of the Golden Cobra
Tag: The Assassination Game
Eating Raoul
Triumphs of a Man Called Horse
Bheegi Palkein
Interrogation (film)
I Know That You Know That I Know
Sewing Woman
La combi asesina
Neil Simon's I Ought to Be in Pictures
A Portrait of Giselle
Andagaadu
Hosa Belaku
Anna to the Infinite Power
Privileged (1982 film)
Oorum Uravum
Alsino and the Condor
Yamakinkarudu
Sun Sajna
The Missionary
Far East (film)
Beedi Kunjamma
Annie (1982 film)
Monkey Grip (film)
The God Makers
Nandri, Meendum Varuga
Oorige Upakari
Kilukilukkam
Xtro
Breathless (1982 film)
Strange Friends
Richard Pryor: Live on the Sunset Strip (film)
Midnight (1982 film)
On Top (film)
House of Traps
The Best Little Whorehouse in Texas (film)
Johny I Love You
Blood Song
Trick or Treats
Liebeskonzil
Aidankaatajat eli heidän jälkeensä vedenpaisumus
Mamiyara Marumagala
Death of Yazdgerd
In the Custody of Strangers
Innalenkil Nale
Angachamayam
I Was a Zombie for the F.B.I.
Things Are Tough All Over
Shakti (1982 film)
Kill Squad
Anuraga Devata
The Treasure Planet
It Came from Hollywood
Attack Force Z
Raktha Sakshi
Noa at 17
The Plague Dogs (film)
Dragon Lord
Will: G. Gordon Liddy
Fanny and Alexander
Manjal Nila
Chambalkadu
Gikor (1982 film)
The Aftermath (1982 film)
An Officer and a Gentleman
Kraftprobe
Ayiram Muthangal
Anandha Ragam
A Letter to Freddy Buache
Hitler Umanath
Invitation au voyage
Qortimet e vjeshtës
Ted Baryluk's Grocery
Victoria L
Battletruck
Za humny je drak
Jinxed (1982 film)
Talcum Powder (film)
Mary from Beijing
A Day in a Taxi
Journey with Papa
Squizzy Taylor (film)
It Takes Two (1982 film)
Theeraatha Bandhangal
Get My Son Dead or Alive
Thaai Mookaambikai
Poslední propadne peklu
Do Ustad
Fun with Mr. Future
Starstruck (1982 film)
Karthavyam (1982 film)
The Prefab People
The Story of Chaim Rumkowski and the Jews of Lodz
The Executioner's Song (film)
Deadly Eyes
The Secret Policeman's Other Ball
Lonely Fifteen
Hospital Massacre
Payanangal Mudivathillai
The Great Chess Movie
Witness for the Prosecution (1982 film)
Lady Chatterley's Lover (1981 film)
Jumbulingam
The Challenge (1982 film)
Hansel and Gretel (1982 film)
Death Screams
Pokkuveyil
Jönssonligan och Dynamit-Harry
Esto es vida
Nipputo Chelagaatam
Anametrisi
Ma femme s'appelle reviens
The Children's Story
Who Dares Wins (film)
Aakrosham
La colmena (film)
Arth (film)
In Our Water
A Stranger Is Watching (film)
Delitto sull'autostrada
Naked Campus
Son of the Northeast
The Clinic (1982 film)
Airplane II: The Sequel
Demons in the Garden
The Haircut
Kaliyugaya (film)
Trapped (1982 film)
Coming Soon (1982 film)
Anguram
Eera Vizhi Kaaviyangal
Memphis Cathouse Blues
Peel (film)
Afsana Do Dilon Ka
Eccezzziunale... veramente
A Question of Silence
Vakil Babu
Ashanti (1982 film)
The Letter (1982 film)
Partners (1982 film)
Taqdeer Ka Badshah
Monsignor (film)
Hoću živjeti
Teri Kasam
Sawaal (film)
Chillu
A Little Sex
Umbartha
Hanky Panky (film)
Missing (film)
Meghasandesam
Button (film)
Free Woman
Olangal
All My Friends Part 2
Tootsie
Twilight Time (film)
Vaarikuzhi
Rockpalast (film)
Batch '81
Wolf Devil Woman
Cries from the Deep
Thadaakam
Suyunchi
Apradhi Kaun
Pokkiri Raja (1982 film)
Uvvu
All Fired Up (film)
Ebba the Movie
Nadiya Ke Paar (1982 film)
Theeram Thedunna Thira
Crazy Romance
The Last Unicorn (film)
Les Misérables (1982 film)
Simla Special
Yavanika
Om Shakti
The Scarecrow (1982 film)
The Magic Mountain (1982 film)
Idi Pellantara
Legendary Weapons of China
Deux heures moins le quart avant Jésus-Christ
Fluteman
Comeback (film)
The Little Feller
Shadow of the Earth
Aladdin and the Wonderful Lamp (1982 film)
The Boys in Blue
Sweet Lies and Loving Oaths
Choothaattam
Barbarosa
Van de koele meren des doods (film)
Ator, the Fighting Eagle
Wehshi Daku
Pieces (film)
The Compleat Beatles
Pedda Gedda
Suraag 1982 film
Kelviyum Naane Pathilum Naane
Oasis of the Zombies
Epitafium dla Barbary Radziwiłłówny
Céleste (film)
Enter Life
Inter Nos
Summer Lovers
The Angel (1982 film)
Zakhmee Insaan
The Ghost (1982 film)
Jeeo Aur Jeene Do
Grease 2
O Canada! (film)
Traveling Hopefully
Rooster (film)
Jimmy Gallu
Zapped!
Ee Nadu
Oru Thira Pinneyum Thira
Best Friends (1982 film)
Njan Onnu Parayatte
The Sea Prince and the Fire Child
Himala
Wacko (film)
The Slumber Party Massacre
Count Tacchia
Meharbaani
Love Is Forever (film)
Jekyll and Hyde... Together Again
The Eyes, the Mouth
Sportloto-82
A Dog in a Drawer
Lonely Hearts (1982 film)
Valibamey Vaa Vaa
Rendezvous in Paris
Bandhalu Anubandhalu
Apna Bana Lo
Ace of Aces (1982 film)
Sanam Teri Kasam (1982 film)
Trail of the Pink Panther
Ponnum Poovum
Melanie (film)
Mother Lode (film)
Pod Odnim Nebom
Kozhi Koovuthu (1982 film)
Q (film)
Una aventura llamada Menudo
Dil-e-Nadaan
Pattanathu Rajakkal
Yes, Giorgio
The Return of the Soldier (film)
Funny Money (1982 film)
The Last American Virgin
T-Bird at Ako
Thuranna Jail
Grog (film)
Ithiri Neram Othiri Karyam
Dial 100 (1982 film)
Der Fan
Amazones d'Hier, Lesbiennes d'Aujourd'hui
Mansion of the Living Dead
An Egyptian Story
She (1982 film)
White Dog
Sandhyakku Virinja Poovu
Burden of Dreams
Raw Force
Shiv Charan
Ente Sathrukkal
Foxfire Light
Spring Fever (1982 film)
Wanda Whips Wall Street
Grihajuddha
Glissando (film)
Mondi Ghatam
Nomad (1982 film)
Friend or Foe (film)
Yaju-deka
Abbas in Flower
A Dangerous Summer
Aagaman
I, the Jury (1982 film)
Six Pack (film)
Kilu Kilukkam
The Painter (film)
Giro City
Satte Pe Satta
Bheeman
Yeh Vaada Raha
La gorilla
Nana, the True Key of Pleasure
Duet for Four
Vieni avanti cretino
The Soldier (film)
Angoor (1982 film)
Aadat Se Majboor
Ghazab
Scandale (film)
Chokh
Neram Vandhachu
The Concrete Jungle (film)
Love Child (1982 film)
The Great Cognito
Fiebre amarilla
Comfort and Indifference
E.T. the Extra-Terrestrial
The Forest (1982 film)
The Man from Snowy River (1982 film)
Raped with Eyes: Daydream
Elippathayam
Vazhvey Maayam
Alolam
Gopurangal Saivathillai
Storm Riders (1982 film)
The Salt Prince
The Long Haul (1988 film)
Cyclops (1982 film)
Kanavugal Karpanaigal
Leyla İle Mecnun
Swamp Thing (film)
W la foca
The Head Hunter
A Midsummer Night's Sex Comedy
Kaattile Paattu
Idhayam Pesugirathu
The Grey Fox
Making Love
The Personals (1982 film)
Rickshaw Boy (film)
Giovani, belle... probabilmente ricche
Marmaram
Bhagawat
Rajput (film)
Toute une nuit
L'imitateur
The Beast Within
Angel (1982 Irish film)
Framed Youth: The Revenge of the Teenage Perverts
Daulat (1982 film)
Bachana Chahane Haru
The Roaring Forties
Ode to Gallantry (film)
Pakkathu Veetu Roja
Repeat Dive
Los Fierecillos indomables
Lookin' to Get Out
The New York Ripper
Category:Lists of 1982 films by country or language
Jeevan Dhaara
48 Hrs.
Ponmudy (film)
Ina (film)
Pelleedu Pillalu
Liquid Sky
Little Wars (film)
Maro Malupu
Vinobraní
Aadharsam
Thooral Ninnu Pochchu
The Hunchback of Notre Dame (1982 film)
Hum Hain Lajawab (1984 film)
A Hole in the Wall
Spaghetti House
Private Life (film)
A Nameless Band
Mullillatha Roja
Agaya Gangai (film)
Chalisuva Modagalu
Sattam Sirikkiradhu
