Doctor Detroit
The Lords of Discipline (film)
Eddie Macon's Run
The Sandwich Man (1983 film)
Fearless Hyena Part II
Fireback (film)
Nathi Muthal Nathi Vare
Eddie and the Cruisers
Confidentially Yours
Benvenuta (film)
Sookha
Romance (1983 film)
Goodbye Paradise
Where's Picone?
The Day After
The Return of Captain Invincible
Let's Spend the Night Together (film)
Oru Swakaryam
The Crimson Permanent Assurance
Mickey's Christmas Carol
Ananda Bhairavi (film)
Maa Inti Premayanam
The Kid Who Couldn't Miss
Der stille Ozean
Justice Chaudhury
Among Grey Stones
The Falcon (film)
Mausoleum (film)
Un Loco en acción
Camera de Afrique
Eettillam
Luggage of the Gods!
Overdrawn at the Memory Bank
High Road to China
Oru Indhiya Kanavu
Tramps (film)
Parasparam
Lady Is the Boss
Tight Quarters
L'Argent (1983 film)
Body Scent
Videodrome
El pico
Oru Mukham Pala Mukham
Ico, el caballito valiente
İhtiras Fırtınası
10 to Midnight
The Dragon That Wasn't (Or Was He?)
Gudachari No.1
Lekhayude Maranam Oru Flashback
Americana (film)
Bade Dil Wala
Thudikkum Karangal
The Illusionist (1983 film)
En Priyame
Rock & Rule
Koyaanisqatsi
Nightmares (1983 film)
Warrior of the Lost World
The Big Score (1983 film)
Lucien Brouillard
Mawaali
A Time to Die (1983 film)
De Lift
Chained Heat
The Gold Diggers (1983 film)
The Tin Flute (film)
Sergeant Getulio
Zappa (film)
Lal Chunariya (film)
The Dead Zone (film)
Mantri Gari Viyyankudu
Kids From Shaolin
Three Crowns of the Sailor
An Uneventful Story
Coqueta
The Hound of the Baskervilles (1983 film)
Mutthaide Bhagya (1983 film)
Le Bal (1983 film)
Fantasy Mission Force
The Last Pullman Car
Gorky Park (film)
Shubh Kaamna (1983 film)
Rang Birangi
Le Halua Le
Sudden Impact
Ee Yugam
Son contento
Sahara (1983 film)
Possessed (1983 film)
Toothache (film)
Segni particolari: bellissimo
Escape from the Bronx
Sundae in New York
Samjhana
Crime and Punishment (1983 film)
Sesham Kazhchayil
Listen to Your Heart (1983 film)
Touched (1983 film)
Aces Go Places 2
Buddies (1983 film)
Category:1983 television films
Lady Assassin
Brussels by Night
Thai Veedu
Mouna Raagam (1983 film)
Prime Times
We of the Never Never (film)
Nate and Hayes
Exposed (1983 film)
Beauty and the Beast (1983 film)
Chakravyuha (1983 film)
A Love in Germany
On the Wrong Track
Monty Python's The Meaning of Life
Sassi Punnu (1983 film)
Okinawan Boys
Eettappuli
The Treasures of Agra
Si Buta Lawan Jaka Sembung
Achha Bura
La Garce
Marvin & Tige
O, more, more!
Gramps Is in the Resistance
Lovers (1983 film)
Category:Lists of 1983 films by country or language
The Fourth Man (1983 film)
Kaaryam Nissaaram
Naseema
Scarface (1983 film)
Aayiram Nilave Vaa
Imaigal
Wartime Romance
Lontano da dove
Trading Places
The Star Chamber
Frightmare (1983 film)
Hakujasho
Aa Raathri
Yentl (film)
Mortuary (1983 Indian film)
The Wicked Lady (1983 film)
Lalach
Bastard Swordsman
American Nightmare (film)
Eureka (1983 film)
Budak Nafsu
Banzaï
Toki o Kakeru Shōjo (1983 film)
Karune Illada Kanoonu
One Dark Night
Ee Vazhi Mathram
City of Blood
Grass Labyrinth
Maga Maharaju
A Killer in the Family
Esprit d'amour
Geek Maggot Bingo
Kings and Desperate Men
Aanandha Kummi
Doosri Dulhan
Starflight: The Plane That Couldn't Land
The Kid with the 200 I.Q.
Kandagawa Pervert Wars
Swapname Ninakku Nandi
Angst (1983 film)
Rangula Kala
Édith et Marcel
The Coastline
Prasnam Gurutharam
Octopussy
Going Down (1983 film)
Rendu Jella Sita
The Very Late Afternoon of a Faun
Up to a Certain Point
Marakkillorikkalum
Bullshot (film)
Molly (1983 film)
My Breakfast with Blassie
The Catch (1983 film)
The Magic of Herself the Elf
The Last Fight (film)
My Memories of Old Beijing (film)
The Osterman Weekend (film)
Mr. Halpern and Mr. Johnson
Scrubbers
Joysticks (film)
Thursday's Child (1983 film)
Sant Ravidas Ki Amar Kahani
Kann Sivanthaal Mann Sivakkum
La Espera
Stryker (1983 film)
Na odsiecz Wiedniowi
Without Witness
Barefoot Gen (1983 film)
In the White City
Midnite Spares
Wadda Khan
Now and Forever (1983 film)
The Graduates of Malibu High
Return from Hell
Time and Tide (1983 film)
Valley Girl (film)
Time for Loving
Psycho II (film)
Good-bye, Cruel World
Night Rehearsal
The Fight Between the Snipe and the Clam
Health Warning
Dolce e selvaggio
Changatham
Neethibathi
My Best Friend's Girl (1983 film)
The Man Who Wasn't There (1983 film)
Cracking Up (film)
Apasionata
Mr. Mom
Heat and Dust (film)
Curtains (1983 film)
Local Hero
The Scarlet and the Black
Baby Sister (film)
My Brother's Wedding
Maria Chapdelaine (1983 film)
Made in Britain
Warming Up (1983 film)
Class (film)
Paalam
Educating Rita (film)
Spacehunter: Adventures in the Forbidden Zone
Liberty Belle (film)
Zelig
Legend of Sealed Book
Gandharvagiri
Self Defense (film)
Twice Upon a Time (1983 film)
Petanqui
Noel's Fantastic Trip
Mystery Mansion (1983 film)
Mercedes Sosa: como un pájaro libre
Faraib (1983 film)
El amor es un juego extraño
Espérame mucho
Love by Request
WarGames
My Aunt Nora
Danton (1983 film)
An Bloem
Papa, Can You Hear Me Sing
Sunshine Reggae in Ibiza
Taqdeer (1983 film)
Agentti 000 ja kuoleman kurvit
Without a Trace (film)
The Roaring Fifties
The House of the Yellow Carpet
Andhra Kesari
The Princess (1983 film)
For Those I Loved
Naukar Biwi Ka
The Boxer's Omen
La Belle captive
Running Brave
Himmatwala (1983 film)
Paayum Puli (1983 film)
The Millennial Bee
Faleze de nisip
Roosevelt, New Jersey: Visions of Utopia
Manju (film)
Hanna K.
Another Time, Another Place (1983 film)
The Right Stuff (film)
Memorial Day (1983 film)
Great Transport
Abhinoy Noy
Trishulam (film)
Justice Raja
Belt Mathai
Eyes of Fire (film)
Le Prix du Danger
Ashleelotar Daye
The Charmkins
Ente Katha (film)
The Key (1983 film)
Questo e Quello
BMX Bandits (film)
Skullduggery (1983 film)
Malamukalile Daivam
Sugar Cane Alley
Exterminators of the Year 3000
Max Dugan Returns
The Revolt of Job
Theater of Life
Pappa e ciccia
Pinnilavu
Evita, quien quiera oír que oiga
Deadline Auto Theft
The Devonsville Terror
Jára Cimrman Lying, Sleeping
Angel in a Devil's Body
The Pirates of Penzance (film)
Sweet Sixteen (1983 film)
Occhio, malocchio, prezzemolo e finocchio
Growing Up (1983 film)
One and Eight
Eenam
Of the Flesh
Endgame (1983 film)
Mazdoor
Adutha Varisu
Knowhutimean? Hey Vern, It's My Family Album
Jaane Jaan
My Friend (film)
Pyaas
Going Berserk
Kinaram
Asthram
The Survivors (1983 film)
Nastik (1983 film)
The Makioka Sisters (film)
Sapore di mare 2 - Un anno dopo
Triumphs of a Man Called Horse
Sididedda Sahodara
Sing Sing (film)
Adaminte Vaariyellu
2019, After the Fall of New York
El coyote emplumado
"FF.SS." – Cioè: "...che mi hai portato a fare sopra a Posillipo se non mi vuoi più bene?"
Rita Hayworth: The Love Goddess
Betaab
Pallamkuzhi
Thaavalam
Stray Dogs (1983 film)
Équateur (film)
First Name: Carmen
The Death of Mario Ricci
Reuben, Reuben
Of Unknown Origin
The Eight Diagram Pole Fighter
Thunveni Yamaya
Scalps
Pengantin Pantai Biru (1983 film)
Forbidden Relations
Kinnaram
Thunder Warrior
Love Forever (film)
Aalaya Sikharam
Saagaram Santham
The Pod People
Two of a Kind (1983 film)
Phar Lap (film)
Der er et yndigt land (film)
Vaashi
Les Compères
Boogeyman II
Winter 1960
Phaniyamma
Joe's Bed-Stuy Barbershop: We Cut Heads
The Deadly Spawn
Brady's Escape
Jazz Is My Native Language
Benkiya Bale
City of Pirates
Blood Debts
Thaalam Thettiya Tharattu
Angelo My Love
Uruvangal Maralam
Kitty and the Bagman
Merry Christmas, Mr. Lawrence
Karyam Nissaram
Bloodbath at the House of Death
Sestřičky
Sadma
Lousy Little Sixpence
A Blade in the Dark
Banker Margayya
Jamuna Kinare
O Trapalhão na Arca de Noé
Himam
Quarterback Princess
Copper Mountain (film)
Dot and the Bunny
Matilde (1983 film)
River Without Buoys
Pukar (1983 film)
Thangaikkor Geetham
Romantic Comedy (1983 film)
Oomakkuyil
Emanuelle Escapes from Hell
Thimingalam
The Other Woman (1983 film)
The Man Who Loved Women (1983 film)
Frida Still Life
Kolakkomaban
Spring Break (film)
Mella Pesungal
Sweet Gang
Soorakottai Singakutti
Cave-In!
Angam (1983 film)
Breathless (1983 film)
Le braconnier de Dieu
Choices of the Heart
Mansoru Maha Samudram
Khaidi
Austeria
The Sting II
Scales of Justice (miniseries)
Saattai Illatha Pambaram
Treasure of the Four Crowns
Streamers (film)
Brandende liefde
Aadyathe Anuraagam
City of Lost Souls (1983 film)
Slayground
Mahabali (film)
Nelavanka
Eettillum
A Hill on the Dark Side of the Moon
Careful, He Might Hear You
Dagger Eyes
Ethanai Konam Ethanai Parvai
One Deadly Summer
Swapnalokum
El Norte (film)
México 2000
Inimai Idho Idho
Rathilayam
Final Yamato
Oru Madapravinte Katha
Who Dares Wins (film)
Life Is a Bed of Roses
Man, Woman and Child (film)
Margo the Mouse
One More Chance (1983 film)
The Keep (film)
Puli Bebbuli
The Being
The Turning Point (1983 film)
Des Pardes (1983 film)
Sandhya Mayangum Neram
Ilamai Kaalangal
Superman III
Villiyanur Matha
Al bar dello sport
Le Marginal
Kingini Kombu
Vacanze di Natale
The Dresser
Pastorale heroica
The City's Edge
Lost (1983 film)
Chena Achena (1983 film)
Simhapuri Simham
No Trace of Sin
Mortuary (1983 American film)
Gore Vidal: The Man Who Said No
Masoom (1983 film)
Prathijnja
Tough Enough (film)
Innocent Prey
Man of Flowers
Haadsa
The Bicycle Racer
Abhilasha
America America (1983 film)
Qayamat
Asuran (1983 film)
All in Good Taste
Love Brokers
Jaane Bhi Do Yaaro
Wend Kuuni
In the King of Prussia
Thavalam (1983 film)
The Second Wedding Night
Onde Guri
Peter and the Magic Egg
Jacobo Timerman: Prisoner Without a Name, Cell Without a Number
Fatih Sultan Muhammad
When the Mountains Tremble
Enne Njan Thedunnu
Dead on Time (1983 film)
Yellowbeard
Guru Dakshina (1983 film)
Deadly Circuit
Bella Donna (1983 film)
Basileus Quartet
Sleepaway Camp
Survival Zone (film)
So Long, Stooge
Burroughs: The Movie
Mundadugu
The Courtesans of Bombay
Curse of the Pink Panther
Carmen (1983 film)
Poikkal Kudhirai
Stroker Ace
Fanny Hill (1983 film)
Engane Nee Marakkum
Uyirullavarai Usha
Strangers Kiss
A Night to Dismember
Maniyara
The Home at Hong Kong
Nelly's Version
Party Party (film)
Antha Sila Naatkal
The Demons of Ludlow
Chaaram
Avala Neralu
Di Balik Kelambu
List of Captain Tsubasa episodes
At Last... Bullamakanka: The Motion Picture
Kaamana Billu
The Black Stallion Returns
The Pendulum, the Pit and Hope
S.P.U.K.
Project A
Krull (film)
Voyage in Time
Malibu (film)
Where Is Parsifal?
Razia Sultan (film)
The Family Game
Christine (1983 film)
Bog (film)
The Atlantis Interceptors
Get Crazy
I Am a Hotel
Kissi Se Na Kehna
Lola the Truck Driver
Zu Warriors from the Magic Mountain
The Longest Night (1983 film)
Lianna
Yuganthaya (film)
Aadhipathyam
Gabriela (1983 film)
The Ballad of Narayama (1983 film)
Bekaraar
Dharmaatmudu
Prem Tapasya
Sagara Sangamam
Rumble Fish
A Night in Heaven
A Christmas Story
Those Glory Glory Days
Style Wars
Jon (film)
La matiouette ou l'arrière-pays
Urangatha Ninaivugal
Hearts and Armour
Category:1983 horror films
Wait till Your Mother Gets Home!
News Items
Leuchtturm des Chaos
Saigon: Year of the Cat
Bandham (1983 film)
You Are Free (film)
Ibbani Karagithu
Samarpane
Surumaitta Kannukal
The Prodigal Planet
Tora-san's Song of Love
Born in Flames
Ponnethooval
Benkiyalli Aralida Hoovu
Alai Payum Nenjangal
Visa (film)
Spasms
Woh Saat Din
Second Thoughts (1983 film)
The Big Chill (film)
The Denouncement of Chu Liu Hsiang
Aattakalasam
The Terry Fox Story
Sandhyakku Virinja Poovu
Doraemon: Nobita and the Castle of the Undersea Devil
Kalluveene Nudiyithu
Duvar
Vigilante (film)
The Wind in the Willows (1983 film)
Panic Beats
Homecoming Song
Les Écuelles
Log Kya Kahenge
Pauline at the Beach
Himavaahini
Star 80
The World of Don Camillo
Baby It's You (film)
All the Right Moves (film)
Ek Baar Chale Aao
Strange Brew
Going Back (film)
The South (film)
Prema Pichollu
Shaolin and Wu Tang
A School Outing
Stacy's Knights
Jako kníže Rohan
Sitaara
The War of the Worlds: Next Century
Nokkukuthi
Circulez y'a rien à voir
Silk Silk Silk
Miruthanga Chakravarthi
State buoni se potete
Gehri Chot - Urf: Durdesh
Macabre (1980 film)
Izakaya Chōji
Clash of Loyalties
Zille and Me
The Salt Prince
Gandugali Rama
Arpan
Scusate il ritardo
Passport (1983 film)
Fellow Citizen
Kaathirunna Divasam
Dara Baloch
Devil Fetus
Sandhippu
Trackdown: Finding the Goodbar Killer
Hero (1983 film)
China Lake (film)
Yudham
A Boy and a Girl
And the Ship Sails On
Anney Anney
Return Engagement (1983 film)
Something Wicked This Way Comes (film)
Pasáček z doliny
Private School (film)
Roshagadu
Flashdance
Dream of a Summer Night
Farewell (1983 film)
Mahaan
Dharani Mandala Madhyadolage
Spaces: The Architecture of Paul Rudolph
Testament (film)
Uncommon Valor
National Lampoon's Vacation
Amityville 3-D
I Am the Cheese (film)
Dempsey (film)
Moon in the Gutter
The Man in the Silk Hat
Last Year's Snow Was Falling
Boys and Girls (1983 film)
Kathi (film)
Daniel (film)
Ghost Dance (film)
Nishaan (1983 film)
Pallavi Anu Pallavi
The Ballad of the Valiant Knight Ivanhoe
Ahangaaram
Avtaar
Bad Boys (1983 film)
Katha (1983 film)
Dies rigorose Leben
Losin' It
Sumangali (1983 film)
Petomaniac
Liquid Sky
Gayathri Maduve
Independence Day (1983 film)
Tin Man (1983 film)
Le bourreau des cœurs
Space Raiders (film)
Sivappu Sooriyan
The Deal (1983 film)
Brainstorm (1983 film)
Among the Cinders
Sangharshana
Prisoners of the Lost Universe
Guaguasi
The Third Key
Rugma
Toxic Love
Undercover (1983 film)
Cat and Dog
Il tifoso, l'arbitro e il calciatore
Utopia (1983 film)
Nýtt líf
Mujhe Insaaf Chahiye
Zara Si Zindagi
